year,total,foreign,best
1930,13,Chile:Hungary|Peru:Spain|Paraguay:Argentina,group stage:Chile|Peru|Paraguay
1934,16,Argentina:Italy|Egypt:Scotland|France:England|Netherlands:England|Sweden:Hungary,quarter-finals:Sweden
1938,15,Sweden:Hungary|Switzerland:Austria|Belgium:England|Netherlands:England,semi-finals:Sweden
1950,13,Sweden:England|Bolivia:Italy,final 4:Sweden
1954,16,Mexico:Spain|Turkey:Italy|Switzerland:Austria|Italy:Hungary|Belgium:Scotland,quarter-finals:Switzerland
1958,16,Sweden:England|Mexico:Spain,final:Sweden
1962,16,Colombia:Argentina|Switzerland:Austria|Spain:France,group stage:Colombia|Switzerland|Spain
1966,16,Switzerland:Italy|Bulgaria:Czechoslovakia|Portugal:Brazil,semi-finals:Portugal
1970,16,El Salvador:Chile|Peru:Brazil|Morocco:Yugoslavia,quarter-finals:Peru
1974,16,Zaire:Yugoslavia,group stage:Zaire
1978,16,Netherlands:Austria,final:Netherlands
1982,24,Cameroon:France|Peru:Brazil|Kuwait:Brazil|New Zealand:England,group stage:Cameroon|Peru|Kuwait|New Zealand
1986,24,Iraq:Brazil|Mexico:Yugoslavia|Canada:England|Denmark:Germany|Morocco:Brazil,quarter-finals:Mexico
1990,24,Cameroon:USSR|Costa Rica:Yugoslavia|UAE:Brazil|Ireland:England,quarter-finals:Cameroon|Ireland
1994,24,Switzerland:England|USA:Serbia|Cameroon:France|Bolivia:Spain|Nigeria:Netherlands|Ireland:England|Saudi Arabia:Argentina,round of 16:Saudi Arabia|Nigeria|Ireland|Switzerland|USA
1998,32,Morocco:France|Cameroon:France|Chile:Uruguay|Denmark:Sweden|Saudi Arabia:Brazil|South Africa:France|Nigeria:Serbia|Paraguay:Brazil|Tunisia:Poland|Jamaica:Brazil,quarter-finals:Denmark
2002,32,Senegal:France|Paraguay:Italy|China:Serbia|South Korea:Netherlands|Cameroon:Germany|England:Sweden|Ecuador:Colombia|Japan:France,semi-finals:South Korea
2006,32,Ecuador:Colombia|England:Sweden|Paraguay:Uruguay|Trinidad and Tobago:Netherlands|Ivory Coast:France|Iran:Croatia|Mexico:Argentina|Portugal:Brazil|Ghana:Serbia|Australia:Netherlands|Japan:Brazil|South Korea:Netherlands|Togo:Germany|Saudi Arabia:Brazil|Tunisia:France,semi-finals:Portugal
2010,32,South Africa:Brazil|Greece:Germany|Nigeria:Sweden|England:Italy|Australia:Netherlands|Ghana:Serbia|Cameroon:France|Paraguay:Argentina|Ivory Coast:Sweden|Chile:Argentina|Honduras:Colombia|Switzerland:Germany,quarter-finals:Ghana|Paraguay
2014,32,Cameroon:Germany|Chile:Argentina|Colombia:Argentina|Greece:Portugal|Ivory Coast:France|Japan:Italy|Costa Rica:Colombia|Ecuador:Colombia|Honduras:Colombia|Switzerland:Germany|Iran:Portugal|USA:Germany|Algeria:Bosnia|Russia:Italy,quarter-finals:Colombia|Costa Rica
2018,32,Egypt:Argentina|Saudi Arabia:Spain|Iran:Portugal|Morocco:France|Australia:Netherlands|Denmark:Norway|Peru:Argentina|Nigeria:Germany|Mexico:Colombia|Belgium:Spain|Panama:Colombia|Colombia:Argentina,semi-finals:Belgium
2022,32,Ecuador:Argentina|Qatar:Spain|Iran:Portugal|Mexico:Argentina|Saudi Arabia:France|Costa Rica:Colombia|Belgium:Spain|Canada:England|South Korea:Portugal,round of 16:South Korea
