country,office,name,party,start,end,spectrum
US,president,Dwight D. Eisenhower,Republican,20 January 1953,20 January 1961,right
US,president,John F. Kennedy,Democratic,20 January 1961,22 November 1963,left
US,president,Lyndon B. Johnson,Democratic,22 November 1963,20 January 1969,left
US,president,Richard Nixon,Republican,20 January 1969,9 August 1974,right
US,president,Gerald Ford,Republican,9 August 1974,20 January 1977,right
US,president,Jimmy Carter,Democratic,20 January 1977,20 January 1981,left
US,president,Ronald Reagan,Republican,20 January 1981,20 January 1989,right
US,president,George H. W. Bush,Republican,20 January 1989,20 January 1993,right
US,president,Bill Clinton,Democratic,20 January 1993,20 January 2001,left
US,president,George W. Bush,Republican,20 January 2001,20 January 2009,right
US,president,Barack Obama,Democratic,20 January 2009,20 January 2017,left
US,president,Donald Trump,Republican,20 January 2017,,right
US,senate,86,Democratic,3 January 1959,3 January 1961,left
US,senate,87,Democratic,3 January 1961,3 January 1963,left
US,senate,88,Democratic,3 January 1963,3 January 1965,left
US,senate,89,Democratic,3 January 1965,3 January 1967,left
US,senate,90,Democratic,3 January 1967,3 January 1969,left
US,senate,91,Democratic,3 January 1969,3 January 1971,left
US,senate,92,Democratic,3 January 1971,3 January 1973,left
US,senate,93,Democratic,3 January 1973,3 January 1975,left
US,senate,94,Democratic,3 January 1975,3 January 1977,left
US,senate,95,Democratic,3 January 1977,3 January 1979,left
US,senate,96,Democratic,3 January 1979,3 January 1981,left
US,senate,97,Democratic,3 January 1981,3 January 1983,left
US,senate,98,Republican,3 January 1983,3 January 1985,right
US,senate,99,Republican,3 January 1985,3 January 1987,right
US,senate,100,Democratic,3 January 1987,3 January 1989,left
US,senate,101,Democratic,3 January 1989,3 January 1991,left
US,senate,102,Democratic,3 January 1991,3 January 1993,left
US,senate,103,Democratic,3 January 1993,3 January 1995,left
US,senate,104,Republican,3 January 1995,3 January 1997,right
US,senate,105,Republican,3 January 1997,3 January 1999,right
US,senate,106,Republican,3 January 1999,3 January 2001,right
US,senate,107,Democratic,3 January 2001,20 January 2001,left
US,senate,107,Republican,20 January 2001,6 June 2001,right
US,senate,107,Democratic,6 June 2001,3 January 2003,left
US,senate,108,Republican,3 January 2003,3 January 2005,right
US,senate,109,Republican,3 January 2005,3 January 2007,right
US,senate,110,Democratic+Independent,3 January 2007,3 January 2009,left
US,senate,111,Democratic,3 January 2009,3 January 2011,left
US,senate,112,Democratic,3 January 2011,3 January 2013,left
US,senate,113,Democratic,3 January 2013,3 January 2015,left
US,senate,114,Republican,3 January 2015,3 January 2017,right
US,senate,115,Republican,3 January 2017,,right
US,house,86,Democratic,3 January 1959,3 January 1961,left
US,house,87,Democratic,3 January 1961,3 January 1963,left
US,house,88,Democratic,3 January 1963,3 January 1965,left
US,house,89,Democratic,3 January 1965,3 January 1967,left
US,house,90,Democratic,3 January 1967,3 January 1969,left
US,house,91,Democratic,3 January 1969,3 January 1971,left
US,house,92,Democratic,3 January 1971,3 January 1973,left
US,house,93,Democratic,3 January 1973,3 January 1975,left
US,house,94,Democratic,3 January 1975,3 January 1977,left
US,house,95,Democratic,3 January 1977,3 January 1979,left
US,house,96,Democratic,3 January 1979,3 January 1981,left
US,house,97,Democratic,3 January 1981,3 January 1983,left
US,house,98,Democratic,3 January 1983,3 January 1985,left
US,house,99,Democratic,3 January 1985,3 January 1987,left
US,house,100,Democratic,3 January 1987,3 January 1989,left
US,house,101,Democratic,3 January 1989,3 January 1991,left
US,house,102,Democratic,3 January 1991,3 January 1993,left
US,house,103,Democratic,3 January 1993,3 January 1995,left
US,house,104,Republican,3 January 1995,3 January 1997,right
US,house,105,Republican,3 January 1997,3 January 1999,right
US,house,106,Republican,3 January 1999,3 January 2001,right
US,house,107,Republican,3 January 2001,3 January 2003,right
US,house,108,Republican,3 January 2003,3 January 2005,right
US,house,109,Republican,3 January 2005,3 January 2007,right
US,house,110,Democratic,3 January 2007,3 January 2009,left
US,house,111,Democratic,3 January 2009,3 January 2011,left
US,house,112,Republican,3 January 2011,3 January 2013,right
US,house,113,Republican,3 January 2013,3 January 2015,right
US,house,114,Republican,3 January 2015,3 January 2017,right
US,house,115,Republican,3 January 2017,,right
France,president,Charles de Gaulle,UNR,8 January 1959,28 April 1969,right
France,president,Georges Pompidou,UDR,20 June 1969,2 April 1974,right
France,president,Valéry Giscard d'Estaing,RI/PR,27 May 1974,21 May 1981,right
France,president,François Mitterrand,PS,21 May 1981,17 May 1995,left
France,president,Jacques Chirac,RPR/UMP,17 May 1995,16 May 2007,right
France,president,Nicolas Sarkozy,UMP,16 May 2007,15 May 2012,right
France,president,François Hollande,SP,15 May 2012,14 May 2017,left
France,president,Emmanuel Macron,REM,14 May 2017,,centre
France,premier,Michel Debré,UNR,8 January 1959,14 April 1962,right
France,premier,Georges Pompidou,UNR,14 April 1962,10 July 1968,right
France,premier,Maurice Couve de Murville,UDR,10 July 1968,20 June 1969,right
France,premier,Jacques Chaban-Delmas,UDR,20 June 1969,6 July 1972,right
France,premier,Pierre Messmer,UDR,6 July 1972,27 May 1974,right
