source,target,date
Austria-Hungary,Serbia,28 Jul 1914
Germany,Russia,1 Aug 1914
Germany,Belgium,3 Aug 1914
Germany,France,3 Aug 1914
UK,Germany,4 Aug 1914
Montenegro,Austria-Hungary,5 Aug 1914
Austria-Hungary,Russia,6 Aug 1914
Serbia,Germany,6 Aug 1914
Montenegro,Germany,8 Aug 1914
UK,Austria-Hungary,12 Aug 1914
France,Austria-Hungary,12 Aug 1914
Japan,Germany,23 Aug 1914
Japan,Austria-Hungary,25 Aug 1914
Austria-Hungary,Belgium,28 Aug 1914
Russia,Ottoman Empire,1 Nov 1914
France,Ottoman Empire,5 Nov 1914
UK,Ottoman Empire,5 Nov 1914
Ottoman Empire,Japan,11 Nov 1914
Serbia,Ottoman Empire,2 Dec 1914
Montenegro,Ottoman Empire,3 Dec 1914
Italy,Austria-Hungary,23 May 1915
Italy,Ottoman Empire,21 Aug 1915
Italy,Germany,28 Aug 1915
Bulgaria,Serbia,14 Oct 1915
UK,Bulgaria,15 Oct 1915
Montenegro,Bulgaria,15 Oct 1915
Japan,Bulgaria,16 Oct 1915
France,Bulgaria,16 Oct 1915
Italy,Bulgaria,19 Oct 1915
Russia,Bulgaria,19 Oct 1915
Germany,Portugal,9 Mar 1916
Austria-Hungary,Portugal,15 Mar 1916
Romania,Austria-Hungary,28 Aug 1916
Germany,Romania,28 Aug 1916
Ottoman Empire,Romania,30 Aug 1916
Bulgaria,Romania,1 Sep 1916
USA,Germany,6 Apr 1917
Panama,Germany,7 Apr 1917
Cuba,Germany,7 Apr 1917
Greece,Austria-Hungary,27 Jun 1917
Greece,Germany,27 Jun 1917
Greece,Bulgaria,27 Jun 1917
Greece,Ottoman Empire,27 Jun 1917
Siam,Austria-Hungary,22 Jul 1917
Siam,Germany,22 Jul 1917
Liberia,Germany,4 Aug 1917
China,Austria-Hungary,14 Aug 1917
China,Germany,14 Aug 1917
Brazil,Germany,26 Oct 1917
USA,Austria-Hungary,7 Dec 1917
Panama,Austria-Hungary,10 Dec 1917
Guatemala,Germany,23 Apr 1918
Nicaragua,Austria-Hungary,6 May 1918
Nicaragua,Germany,6 May 1918
Costa Rica,Germany,23 May 1918
Haiti,Germany,12 July 1918
Honduras,Germany,19 July 1918
