language,639-1,639-2/T,639-2/B
Basque,eu,eus,baq
Bulgarian,bg,bul,bul
Catalan,ca,cat,cat
Croatian,hr,hrv,hrv
Czech,cs,ces,cze
Danish,da,dan,dan
Dutch,nl,nld,dut
English,en,eng,eng
Estonian,et,est,est
Finnish,fi,fin,fin
French,fr,fra,fre
Galician,gl,glg,glg
German,de,deu,ger
Greek,el,ell,gre
Hungarian,hu,hun,hun
Icelandic,is,isl,ice
Irish,ga,gle,gle
Italian,it,ita,ita
Latvian,lv,lav,lav
Lithuanian,lt,lit,lit
Luxembourgish,lb,ltz,ltz
Maltese,mt,mlt,mlt
Norwegian,no,nor,nor
Norwegian Bokmål,nb,nob,nob
Norwegian Nynorsk,nn,nno,nno
Polish,pl,pol,pol
Portuguese,pt,por,por
Romanian,ro,ron,rum
Russian,ru,rus,rus
Slovak,sk,slk,slo
Slovenian,sl,slv,slv
Spanish,es,spa,spa
Swedish,sv,swe,swe
Turkish,tr,tur,tur
Welsh,cy,cym,wel
