country,year,stamp,description
Austria,2010,http://glhsonline.org/images/stamps/austria2269rainbow.png,Rainbow Parade
Iceland,2013,https://i.colnect.net/b/3913/936/Town-Festivals---The-Reykjavik-Gay-Parade.jpg,Reykjavik Gay Parade
Uruguay,2013,http://glhsonline.org/images/stamps/uruguay2456antidiscrimination.png,Against Discrimination
Argentina,2014,https://i.colnect.net/b/3277/792/Equal-marriage.jpg,Equal Marriage
Greenland,2015,http://glhsonline.org/images/stamps/greenland700pride.png,Gay Pride
Netherlands,2016,https://i.imgur.com/DP5RtcM.jpg,EuroPride
Sweden,2016,https://i.colnect.net/b/4029/817/Pride-Flag.jpg,Pride
Canada,2017,https://i.colnect.net/b/4584/490/2005---Marriage-Equality.jpg,Marriage Equality
Denmark,2017,https://i.imgur.com/ntzPR1i.png,Pride
Australia,2019,https://i.imgur.com/5ovvM9j.jpg,Marriage Equality
Liechtenstein*,2019,https://i.colnect.net/b/6217/404/Promotion-of-Diversity.jpg,Diversity\n(*joint issue with\nSwitzerland)
Philippines,2020,http://glhsonline.org/images/stamps/philippines3850clove.png,Valentine's Day
Spain,2020,https://i.imgur.com/nAeSFac.jpg,International LGBT Pride Day
Greece,2021,https://i.imgur.com/pBYDctI.png,LGBTQIA+ We support you
Ireland,2021,http://glhsonline.org/images/stamps/ireland2311pride.png,Pride Movement
New Zealand,2021,http://glhsonline.org/images/stamps/newzealand2951pride.png,35 Year Decriminalization
Israel,2022,https://i.colnect.net/b/18975/416/LGTB-Community-in-Israel.jpg,LGBTQ Community
Norway,2022,https://i.imgur.com/dzoA1tj.jpg,50 Year Decriminalization
Switzerland,2022,https://i.colnect.net/b/18992/262/Marriage-for-All.jpg,Equal Marriage
UK,2022,https://i.imgur.com/2WBtgsm.jpg,50 Year Pride Marches

