year,name,image
0,The Iliad,"https://m.media-amazon.com/images/I/61YiWCFtuGL._AC_UF894,1000_QL80_.jpg"
1,The Odyssey,"https://m.media-amazon.com/images/I/71RZuClkzaL._AC_UF894,1000_QL80_.jpg"
1000,1001 Nights,"https://m.media-amazon.com/images/I/71X78JOXKOL._AC_UF894,1000_QL80_.jpg"
1759,Candide,"https://m.media-amazon.com/images/I/71qEMh9qzKL._AC_UF894,1000_QL80_.jpg"
1615,Don Quixote,"https://m.media-amazon.com/images/I/71sD3rscWbL._AC_UF894,1000_QL80_.jpg"
1740,Beauty and the Beast,"https://m.media-amazon.com/images/I/71IE3lLP2-L._AC_UF894,1000_QL80_.jpg"
1809,A History of New York,"https://m.media-amazon.com/images/I/71+QLfQB-LL._AC_UF894,1000_QL80_.jpg"
1831,The Hunchback of Notre Dame,"https://m.media-amazon.com/images/I/71Kelst95YL._AC_UF894,1000_QL80_.jpg"
1837,The Little Mermaid,"https://m.media-amazon.com/images/I/81+H696ZZ5L._AC_UF894,1000_QL80_.jpg"
1838,Oliver Twist,"https://m.media-amazon.com/images/I/81AooWB9diL._AC_UF894,1000_QL80_.jpg"
1843,A Christmas Carol,"https://m.media-amazon.com/images/I/61YP5xzZ5vL._AC_UF894,1000_QL80_.jpg"
1844,The Count of Monte Cristo,"https://m.media-amazon.com/images/I/811iBn28JdL._AC_UF894,1000_QL80_.jpg"
1844,The Snow Queen,"https://images.penguinrandomhouse.com/cover/9780399578502"
1860,The Woman in White,"https://m.media-amazon.com/images/I/51mVgstqOyL._AC_UF894,1000_QL80_.jpg"
1862,Les Misérables,"https://m.media-amazon.com/images/I/91teZUyg4QS._AC_UF894,1000_QL80_.jpg"
1869,War and Peace,"https://m.media-amazon.com/images/I/61UyS0rJc2L._AC_UF894,1000_QL80_.jpg"
1869,Fosca,"https://m.media-amazon.com/images/I/51jg+3sU6hL._AC_UF894,1000_QL80_.jpg"
1870,The Mystery of Edwin Drood,"https://m.media-amazon.com/images/I/81POFKdt0rL._AC_UF894,1000_QL80_.jpg"
