year,name,image
2019,A Strange Loop,https://assets.playbill.com/playbill-covers/A-Strange-Loop-Playbill-2022-4-6_Web.jpg
2016,Hadestown,https://assets.playbill.com/playbill-covers/44eab35f14a5b7f5d2861fcf24ce69bf-hadestown-playbill-2021-09-02-web.jpg
2013,Fun Home,https://assets.playbill.com/playbill-covers/0cccd1593f75da77a48c704aa2f6fc6d-fun-home-2015-03-27-web.jpg
2012,"Natasha, Pierre & The Great Comet of 1812",https://assets.playbill.com/playbill-covers/ba7d24678c35ff8a3ef7e2606a73fed7-natasha-pierre-and-the-great-comet-of-1812-playbill-2016-10-18-web.jpg
2008,Next to Normal,https://assets.playbill.com/playbill-covers/58e687ec7c1f04a70a9796c491760947-next-to-normal-playbill-2009-03-27-web.jpg
2007,In the Heights,https://assets.playbill.com/playbill-covers/7e1232ab6830bd766a5e228c844a6c33-in-the-heights-playbill-2008-02-14-web.jpg
2004,See What I Wanna See,https://cdn11.bigcommerce.com/s-i6magi2txm/images/stencil/1280x1280/products/272/669/see-what-i-see-playbill-cover__49826.1497238675.jpg?c=2
2001,Last Five Years,https://upload.wikimedia.org/wikipedia/en/2/26/The_Last_Five_Years_Playbill.jpeg
1994,Passion,https://assets.playbill.com/playbill-covers/4412b465aed2180edcd022ee6736b459-passion-playbill-1994-10-web.jpg
1992,Falsettos,https://assets.playbill.com/playbill-covers/9c1cb452ab9e244adab560e78ea64a6a-falsettos-playbill-1992-05-web.jpg
1992,Kiss of the Spiderwoman,https://assets.playbill.com/playbill-covers/6d0bbcbb0089dedf4d41b0a047662f1d-kiss-of-the-spider-woman-1993-05-web.jpg
1990,Assassins,https://i.ebayimg.com/images/g/hcYAAOSw6Ftj~Be3/s-l1600.jpg
1987,Into the Woods,https://assets.playbill.com/playbill-covers/c5ebaf5692173dbdc956fa577fd55478-into-the-woods-playbill-1987-11-web.jpg
1985,Sunday in the Park with George,https://assets.playbill.com/playbill-covers/5e564717252166f5d7c1119b57ef635a-sunday-in-the-park-with-george-playbill-1984-05-web.jpg
1982,Little Shop of Horros,https://assets.playbill.com/editorial/_embeddedGallerySize/65152cb7401c273dfdca9a8250036bf3-Little-Shop-of-Horrors-August-82-1.jpg
1981,Merrily We Roll Along,https://assets.playbill.com/playbill-covers/38c04f0e163558a2388ccb795eebcf49-merrily-we-roll-along-playbill-1981-10-web.jpg
1979,Sweeney Todd,https://assets.playbill.com/playbill-covers/6c0dc92e6a15ae1c72c0a6d36264a3d9-sweeney-todd-the-demon-barber-of-fleet-street-playbill-1979-02-web.jpg
1975,Pacific Overtures,https://assets.playbill.com/playbill-covers/5ec971b3cc14c88fe9fdb4069c825e71-pacific-overtures-playbill-1976-01-web.jpg
1972,Follies,https://assets.playbill.com/playbill-covers/98837ab65993d1f8f7ab6fb2ddb17f7b-follies-playbill-1971-05-web.jpg
1971,Company,https://assets.playbill.com/playbill-covers/6dc35e79ee107bfc8c16a7b373edc120-company-playbill-1970-12-web.jpg
1966,Cabaret,https://assets.playbill.com/playbill-covers/fc23624cb86abdb2f7e6b438941dd27f-cabaret-playbill-1967-01-web.jpg
1964,Fiddler on the Roof,https://assets.playbill.com/playbill-covers/1088f8558337743ed4e668213cc9d1d0-fiddler-on-the-roof-playbill-1964-09-web.jpg
1963,Oliver!,https://assets.playbill.com/playbill-covers/68bc087069e681460dc42238f3f6c96e-Oliver-Playbill-06-63.jpg
1962,A Funny Thing Happened on the Way to the Forum,https://assets.playbill.com/playbill-covers/42d0545c31743285fb3cee180d32aed3-a-funny-thing-happened-on-the-way-to-the-forum-playbill-1962-07-web.jpg
1959,The Sound of Music,https://assets.playbill.com/playbill-covers/93490eb13dad3a75e0707f957891ccfd-the-sound-of-music-playbill-1959-12-web.jpg
1959,Gypsy,https://assets.playbill.com/playbill-covers/0a90eed05049c92545f3096a73ee307d-gypsy-playbill-1959-05-21-web.jpg
1957,West Side Story,https://assets.playbill.com/playbill-covers/9d311424f38407d11ad1cddc0ae92b3f-west-side-story-playbill-1959-02-web.jpg
1956,Candide,https://assets.playbill.com/playbill-covers/38498431635f0d94a3e8c8e020c04af8-candide-playbill-1956-12-web.jpg
1949,South Pacific,https://assets.playbill.com/playbill-covers/9b641a5a15d046afbbc474c0706d822a-south-pacific-playbill-1949-04-web.jpg
1945,Carousel,https://assets.playbill.com/playbill-covers/d485a52ecd12a9662986e8bfca8d3115-carousel-playbill-1946-11-web.jpg
1944,On the Town,https://assets.playbill.com/playbill-covers/42f28ab4f5851724682dfec64a4cac94-on-the-town-playbill-1944-04-web.jpg
1941,Lady in the Dark,https://assets.playbill.com/playbill-covers/03bb54c6adde4f44860a948ff24d5469-Lady-in-the-Dark-Playbill-05-42.jpg
1937,The Cradle Will Rock,https://upload.wikimedia.org/wikipedia/commons/c/c6/The_Cradle_Will_Rock.jpg
1935,Porgy and Bess,https://bloximages.newyork1.vip.townnews.com/postandcourier.com/content/tncms/assets/v3/editorial/0/ec/0ec09728-074b-11eb-8073-db53ce6bea41/5f7b85337719d.image.jpg?resize=318%2C500
1934,Anything Goes,https://www.sondheimguide.com/porter/graphics/smanything1.jpg
1933,The Silver Lake,https://d3i71xaburhd42.cloudfront.net/653cfb7f302b5d73df6c60e681f25712b3fea307/112-Figure5-1.png
1929,Happy End,"https://m.media-amazon.com/images/I/71Ilvbt+SlL._AC_UF894,1000_QL80_.jpg"
1928,Threpenny Opera,https://upload.wikimedia.org/wikipedia/commons/f/fe/Dreigroschenoper.JPG
1927,Mahagonny Songspiel,"https://m.media-amazon.com/images/I/91VINhm27FL._AC_UF1000,1000_QL80_.jpg"
1927,Show Boat,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Show_Boat.jpg/640px-Show_Boat.jpg
