year,name,image
1975,Ivan Jacobs,https://i.scdn.co/image/ab67616d0000b273cb5129685c9fa262886b5605
1976,Astor & Méndez,https://i.imgur.com/taUQRxb.jpeg
1976,Ken Hill,https://static.wikia.nocookie.net/poto/images/c/cd/Programme150.jpg/revision/latest?cb=20170615184711
1986,"Lloyd Weber, Hart & Stilgoe",https://pbs.twimg.com/media/D7VphbXXoAEMK_X.jpg
1987,Grigal & Anderson,https://64.media.tumblr.com/7b232d963525c15c1150e5febc9d6b7d/tumblr_nkwjpnuAsg1qag9kno1_540.jpg
1988,Reiser & Sharkey,"https://m.media-amazon.com/images/I/81u4lgUkl-L._AC_UF894,1000_QL80_.jpg"
1990,Rosen & Schierhornun,https://m.media-amazon.com/images/M/MV5BMTIxMzc2NTIzNl5BMl5BanBnXkFtZTcwNDM1MTgxMQ@@._V1_.jpg
1991,Yeston & Kopit,https://static.wikia.nocookie.net/poto/images/2/2b/Phantom_musical.jpg/revision/latest?cb=20100301060638
1992,Alonso & Tilford,https://static.wikia.nocookie.net/poto/images/7/7f/PhantomProgram.jpg/revision/latest?cb=20230621041501
1992,Robinette & Chauls,https://static.wikia.nocookie.net/poto/images/0/03/The_phantom_of_the_opera_cover_web.jpg/revision/latest?cb=20231124022056
1997,Gerber & Wilhelm,https://i.imgur.com/VCtjOVC.jpeg
1998,Barron & Spencer,"https://m.media-amazon.com/images/I/51IzB2bNfRL._UF1000,1000_QL80_.jpg"
2006,Sasson & Sautter,https://www.phantomderoper.com/wp-content/uploads/2023/11/phantom-neuDPDO_Plakat_A1_2023-home.jpg
2010,Sgouros & Bell,https://static.wikia.nocookie.net/poto/images/c/ce/S_and_B.jpg/revision/latest?cb=20171004171525
2017,Wayne Scott,https://static.wikia.nocookie.net/poto/images/e/ee/21742808_10155866833300406_3247349146020615337_n.jpg/revision/latest?cb=20171010212022
