year,name,image
2024,Teeth,https://www.broadwayrecords.com/cdn/shop/files/teeth6_2048x2048.jpg?v=1715865351
2023,Days of Wine and Roses,https://m.media-amazon.com/images/I/81sONV5ft-L.jpg
2022,How to Dance in Ohio,"https://www.broadwayrecords.com/cdn/shop/files/859782988156_2048x2048.jpg?v=1705508205"
2021,Kimberly Akimbo,"https://m.media-amazon.com/images/I/81ri34JpgPL._UF894,1000_QL80_.jpg"
2019,A Strange Loop,"https://m.media-amazon.com/images/I/A1sxf5ss61L._UF894,1000_QL80_.jpg"
2018,Beetlejuice,"https://m.media-amazon.com/images/I/81zCfhnHo7L.jpg"
2017,Come From Away,"https://m.media-amazon.com/images/I/71v0t9-EyAL._UF894,1000_QL80_.jpg"
2016,Hadestown,"https://m.media-amazon.com/images/I/81otiSalM+L.jpg"
2015,Hamilton,"https://m.media-amazon.com/images/I/81n9mbvLheL._UF1000,1000_QL80_.jpg"
2014,Ghost Quartet,"https://upload.wikimedia.org/wikipedia/en/6/66/Ghost_Quartet.jpg"
2013,Fun Home,"https://i.scdn.co/image/ab67616d0000b2735e8ae8236931f31cf75f9820"
2012,Great Comet,"https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSOcQEjBKVjlhPEdT7UHVIMKEg657F-QU-gOGwOYmzU9xSFiqLHLkDh-L4j6cywK8sRKeIhtfOzHKssWF4DBQsNiB1CV8QQ&usqp=CAY"
2011,Bring It On,"https://m.media-amazon.com/images/I/61+eUOm9uxL._UF894,1000_QL80_.jpg"
2010,Scottsboro Boys,"https://www.cherryred.co.uk/media/catalog/product/2/b/2b147_vw.jpeg"
2009,Giant,"https://m.media-amazon.com/images/I/711bEWwhGIL._UF894,1000_QL80_.jpg"
2008,Next to Normal,"https://m.media-amazon.com/images/I/91pThBHSfJL._UF350,350_QL50_.jpg"
2007,In The Heights,"https://i.scdn.co/image/ab67616d0000b27366b1115c61aed2e5f646a3c1"
2006,Passing Strange,"https://m.media-amazon.com/images/I/81CsQI7DXgL._UF894,1000_QL80_.jpg"
2005,See What I Wanna See,"https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/50/bb/26/50bb2655-d17a-fdcc-9137-f23fa7fe083e/791558440836.jpg/1200x1200bb.jpg"
2004,Spelling Bee,"https://m.media-amazon.com/images/I/81dhugE+K9L._UF894,1000_QL80_.jpg"
2003,Elegies,"https://m.media-amazon.com/images/I/91-dz3NJNqL._UF894,1000_QL80_.jpg"
2002,Thoroughly Modern Millie,"https://m.media-amazon.com/images/I/71ITlINjk5L._UF894,1000_QL80_.jpg"
2001,Last 5 Years,"https://m.media-amazon.com/images/I/81aGM7eXaLL._UF894,1000_QL80_.jpg"
2000,The Full Monty,"https://m.media-amazon.com/images/I/51ohTX5zmyL._UF1000,1000_QL80_.jpg"
1999,Marie Christine,"https://m.media-amazon.com/images/I/81o6w0qpXqL._UF894,1000_QL80_.jpg"
1998,Parade,"https://m.media-amazon.com/images/I/71yzE-vRqyL._UF894,1000_QL80_.jpg"
1997,The Last Session,"https://m.media-amazon.com/images/I/51piDq1bjHL._UXNaN_FMjpg_QL85_.jpg"
1996,Ragtime,"https://m.media-amazon.com/images/I/71pPLCkrHTL._UF894,1000_QL80_.jpg"
1995,Songs for a New World,"https://i.scdn.co/image/ab67616d0000b27342993381fa4d3c14cc246b92"
1994,Passion,"https://images.genius.com/afd279d8464d039f3a564086464a793f.500x500x1.jpg"
1993,First Lady Suite,"https://m.media-amazon.com/images/I/51xHVYg4h9L._UF894,1000_QL80_.jpg"
1992,Falsettos,"https://m.media-amazon.com/images/I/51cCC1rodeL._UXNaN_FMjpg_QL85_.jpg"
1991,Children of Eden,"https://m.media-amazon.com/images/I/71fNi7I+wfL._UF894,1000_QL80_.jpg"
1990,Assassins,"https://m.media-amazon.com/images/I/71KE4JaW0RL._UF894,1000_QL80_.jpg"
1989,Elegies for Punks,"https://i.discogs.com/beTTx2OQyoyGk9taFtUx6VqYO1w-O-xTRXDDBWPFrcY/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzODkz/NTA0LTE1OTY4MDM4/ODktNjg0NC5qcGVn.jpeg"
1988,Lucky Stiff,"https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/33/e2/8f/33e28f8e-87c0-fc06-88f8-5ae2b844af53/22CRGIM33494.rgb.jpg/1200x1200bb.jpg"
1987,Into the Woods,"https://m.media-amazon.com/images/I/81UggRvUOHL._UF894,1000_QL80_.jpg"
1986,Rags,"https://m.media-amazon.com/images/I/51lSDd0Je1L._UF1000,1000_QL80_.jpg"
1985,Edwin Drood,"https://m.media-amazon.com/images/I/81napPpqltL._UF894,1000_QL80_.jpg"
1984,Chess,"https://i.ebayimg.com/images/g/G3IAAOSwYEJivcqL/s-l225.jpg"
1983,Sunday in the Park with George,"https://i.scdn.co/image/ab67616d0000b2736bb6e91876ff73b5c88dca80"
