year,name,image
2024,Three Houses,"https://i.imgur.com/if5HIVo.jpeg"
2023,Here We Are,https://m.media-amazon.com/images/I/41PKVWwZUBL._UXNaN_FMjpg_QL85_.jpg
2022,Some Like It Hot,"https://m.media-amazon.com/images/I/A1Dj5BYMqUL._UF894,1000_QL80_.jpg"
2021,Mr Saturday Night,"https://concord.com/wp-content/uploads/2023/03/MrSaturdayNight_GrammyNominee_Cover.jpg"
2019,Octet,https://upload.wikimedia.org/wikipedia/en/5/52/Octet_album_cover.jpg
2018,TGWDLM,"https://shop.teamstarkid.com/cdn/shop/products/e6254216-d575-408d-8f99-055ecc5a3e156133175112543638620-LARGE_515b7334-a7f6-4630-8699-759cf5a9af50_1200x1200.jpg?v=1694620819"
2017,Six,"https://m.media-amazon.com/images/I/61RDFWkHU7L._UF894,1000_QL80_.jpg"
2016,Groundhog Day,"https://m.media-amazon.com/images/I/71pGCPzFFzL._UF894,1000_QL80_.jpg"
2015,Waitress,https://m.media-amazon.com/images/I/81X-mJgXtRL.jpg
2014,Jasper,"https://m.media-amazon.com/images/I/61bAwcb86oL._UF894,1000_QL80_.jpg"
2013,Bridges of Madison County,"https://m.media-amazon.com/images/I/91um+ohG2wL._UF894,1000_QL80_.jpg"
2012,35MM,"https://i.scdn.co/image/ab67616d00001e023bffd8da61042dd9b80968eb"
2011,Little Miss Sunshine,"https://i1.sndcdn.com/artworks-FCixwiwVON6OLzOb-ySY4Vg-t240x240.jpg"
2010,Matilda,"https://shop.rsc.org.uk/cdn/shop/products/Clear_Sound_And_Vision_Matilda_Original_Cast_Recording_2011_1.jpg?v=1605010846"
2009,Catch Me If You Can,"https://i.scdn.co/image/ab67616d0000b27334bab233e07f1ace4cee5fcc"
2008,Ordinary Days,"https://i.scdn.co/image/ab67616d0000b273a7b671e7328de58546df8b37"
2007,Legally Blonde,"https://m.media-amazon.com/images/I/71VMMl5hQhL._UF894,1000_QL80_.jpg"
2006,Bernarda Alba,"https://i.scdn.co/image/ab67616d0000b273ca7d9af9e3d117c8557da8ab"
2005,Color Purple,"https://m.media-amazon.com/images/I/713wSxl5oML._UF894,1000_QL80_.jpg"
2004,Dirty Rotten Scoundrels,"https://m.media-amazon.com/images/I/6196CAVM1EL._UF894,1000_QL80_.jpg"
2003,Light in the Piazza,"https://m.media-amazon.com/images/I/81tX6gYQIlL._UF894,1000_QL80_.jpg"
2002,Hairspray,"https://m.media-amazon.com/images/I/81dbYzASglL._UF894,1000_QL80_.jpg"
2001,Tick Tick Boom,"https://m.media-amazon.com/images/I/713OjwZdaeL._UF894,1000_QL80_.jpg"
2000,Wild Party,"https://m.media-amazon.com/images/I/31hXxgscUKL._UY250_SCLZZZZZZZ_.jpg"
1998,A New Brain,"https://m.media-amazon.com/images/I/81rgNjfb4aL._UF894,1000_QL80_.jpg"
1997,Titanic,"https://m.media-amazon.com/images/I/71XxsYC7LLL._UF894,1000_QL80_.jpg"
1996,Rent,"https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/be/3f/27/be3f2788-6cd6-7068-44d3-96ee2bd8bc0f/00602547869074.rgb.jpg/600x600bf-60.jpg"
1995,Kristina,"https://i.ebayimg.com/images/g/-vUAAOSwfH9h~pw7/s-l640.jpg"
1994,Hello Again,"https://m.media-amazon.com/images/I/61CO7yB1a6L._UF1000,1000_QL80_.jpg"
1993,Sunset Boulevard,"https://m.media-amazon.com/images/I/91DgHm7j9RL._UF894,1000_QL80_.jpg"
