birthplace,category,countries,date,link,name,share
Netherlands,Chemistry,Netherlands,1901,http://en.wikipedia.org/wiki/Jacobus_Henricus_van_%27t_Hoff,Jacobus Henricus van 't Hoff,1
Germany,Chemistry,Germany,1902,http://en.wikipedia.org/wiki/Hermann_Emil_Fischer,Hermann Emil Fischer,1
Sweden,Chemistry,Sweden,1903,http://en.wikipedia.org/wiki/Svante_Arrhenius,Svante Arrhenius,1
UK_SCO,Chemistry,UK,1904,http://en.wikipedia.org/wiki/William_Ramsay,William Ramsay,1
Germany,Chemistry,Germany,1905,http://en.wikipedia.org/wiki/Adolf_von_Baeyer,Adolf von Baeyer,1
France,Chemistry,France,1906,http://en.wikipedia.org/wiki/Henri_Moissan,Henri Moissan,1
Germany,Chemistry,Germany,1907,http://en.wikipedia.org/wiki/Eduard_Buchner,Eduard Buchner,1
New Zealand,Chemistry,New Zealand|UK,1908,http://en.wikipedia.org/wiki/Ernest_Rutherford,Ernest Rutherford,1
Latvia,Chemistry,Latvia|Germany,1909,http://en.wikipedia.org/wiki/Wilhelm_Ostwald,Wilhelm Ostwald,1
Russia,Chemistry,Germany,1910,http://en.wikipedia.org/wiki/Otto_Wallach,Otto Wallach,1
Poland,Chemistry,Poland|France,1911,http://en.wikipedia.org/wiki/Marie_Curie,Marie Curie,1
France,Chemistry,France,1912,http://en.wikipedia.org/wiki/Victor_Grignard,Victor Grignard,1/2
France,Chemistry,France,1912,http://en.wikipedia.org/wiki/Paul_Sabatier_(chemist),Paul Sabatier,1/2
France,Chemistry,France|Switzerland,1913,http://en.wikipedia.org/wiki/Alfred_Werner,Alfred Werner,1
US_PA,Chemistry,US,1914,http://en.wikipedia.org/wiki/Theodore_William_Richards,Theodore William Richards,1
Germany,Chemistry,Germany,1915,http://en.wikipedia.org/wiki/Richard_Willst%C3%A4tter,Richard Willstätter,1
Poland,Chemistry,Germany,1918,http://en.wikipedia.org/wiki/Fritz_Haber,Fritz Haber,1
Poland,Chemistry,Germany,1920,http://en.wikipedia.org/wiki/Walther_Nernst,Walther Nernst,1
UK_ENG,Chemistry,UK,1921,http://en.wikipedia.org/wiki/Frederick_Soddy,Frederick Soddy,1
UK_ENG,Chemistry,UK,1922,http://en.wikipedia.org/wiki/Francis_William_Aston,Francis William Aston,1
Slovenia,Chemistry,Slovenia|Austria,1923,http://en.wikipedia.org/wiki/Fritz_Pregl,Fritz Pregl,1
Austria,Chemistry,Austria|Hungary,1925,http://en.wikipedia.org/wiki/Richard_Adolf_Zsigmondy,Richard Adolf Zsigmondy,1
Sweden,Chemistry,Sweden,1926,http://en.wikipedia.org/wiki/Theodor_Svedberg,Theodor Svedberg,1
Germany,Chemistry,Germany,1927,http://en.wikipedia.org/wiki/Heinrich_Otto_Wieland,Heinrich Otto Wieland,1
Germany,Chemistry,Germany,1928,http://en.wikipedia.org/wiki/Adolf_Otto_Reinhold_Windaus,Adolf Otto Reinhold Windaus,1
UK_ENG,Chemistry,UK,1929,http://en.wikipedia.org/wiki/Arthur_Harden,Arthur Harden,1/2
Germany,Chemistry,Germany|Sweden,1929,http://en.wikipedia.org/wiki/Hans_von_Euler-Chelpin,Hans von Euler-Chelpin,1/2
Germany,Chemistry,Germany,1930,http://en.wikipedia.org/wiki/Hans_Fischer,Hans Fischer,1
Germany,Chemistry,Germany,1931,http://en.wikipedia.org/wiki/Carl_Bosch,Carl Bosch,1/2
Poland,Chemistry,Germany,1931,http://en.wikipedia.org/wiki/Friedrich_Bergius,Friedrich Bergius,1/2
US_NY,Chemistry,US,1932,http://en.wikipedia.org/wiki/Irving_Langmuir,Irving Langmuir,1
US_IN,Chemistry,US,1934,http://en.wikipedia.org/wiki/Harold_Urey,Harold Urey,1
France,Chemistry,France,1935,http://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie,Frédéric Joliot-Curie,1/2
France,Chemistry,France,1935,http://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie,Irène Joliot-Curie,1/2
Netherlands,Chemistry,Netherlands|US,1936,http://en.wikipedia.org/wiki/Peter_Debye,Peter Debye,1
UK_ENG,Chemistry,UK,1937,http://en.wikipedia.org/wiki/Norman_Haworth,Norman Haworth,1/2
Russia,Chemistry,Switzerland,1937,http://en.wikipedia.org/wiki/Paul_Karrer,Paul Karrer,1/2
Austria,Chemistry,Germany|Austria,1938,http://en.wikipedia.org/wiki/Richard_Kuhn,Richard Kuhn,1
