name,field,year,group,grid_x,grid_y,image
Rabindranath Tagore,Literature,1913,BCr,0,0,https://upload.wikimedia.org/wikipedia/commons/d/d1/Rabindranath_Tagore.jpg
Amartya Sen,Economics,1998,BC,1,0,http://www.skytteprize.com/wp-content/uploads/2017/04/amartya-sen-1-800x450.jpg
Venkatraman Ramakrishnan,Chemistry,2009,Bco,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Venki_Ramakrishnan.jpg/1200px-Venki_Ramakrishnan.jpg
Ronald Ross,Medicine,1902,B,3,0,https://www.thefamouspeople.com/profiles/images/ronald-ross-3.jpg
Rudyard Kipling,Literature,1907,B,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Rudyard_Kipling_%28portrait%29.jpg/1200px-Rudyard_Kipling_%28portrait%29.jpg
C. V. Raman,Physics,1930,BCr,0,1,https://www.thefamouspeople.com/profiles/images/c-v-raman-2.jpg
Kailash Satyarthi,Peace,2014,BCr,1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Kailash_satyarthi.jpg/1200px-Kailash_satyarthi.jpg
Har Gobind Khorana,Medicine,1968,bco,2,1,https://www.thefamouspeople.com/profiles/images/har-gobind-khorana-2.jpg
Subrahmanyan Chandrasekhar,Physics,1983,bco,3,1,https://www.thesun.co.uk/wp-content/uploads/2017/10/nintchdbpict000361015235-e1508341774799.jpg?strip=all&w=960
Abdus Salam,Physics,1979,bc,2,2,https://i.pinimg.com/736x/f6/3b/d4/f63bd4682f55038b7fe93dbadf4dd237.jpg
Mother Teresa,Peace,1979,Cr,0,2,https://cruxnow.com/wp-content/uploads/2016/08/Mother-Teresa-1024x731.jpg
14th Dalai Lama,Peace,1989,r,1,2,https://upload.wikimedia.org/wikipedia/commons/5/55/Dalailama1_20121014_4639.jpg
V. S. Naipaul,Literature,2001,o,4,1,https://media.npr.org/assets/img/2011/06/02/51527389_custom-2f399fb04b4d3955be896d38cf67cbe5c330cc3e-s900-c85.jpg
Muhammad Yunus,Peace,2006,bc,3,2,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2011/09/25/1337256000000.cached_7.jpg
