Z,countries,name,symbol,types,x,y,year
1,uk,Hydrogen,H,,1,1,1766
2,fr|uk,Helium,He,myth,18,1,1868
3,se,Lithium,Li,,1,2,1817
4,fr,Beryllium,Be,,2,2,1798
5,fr,Boron,B,color,13,2,1808
6,,Carbon,C,,14,2,3750 BC
7,uk,Nitrogen,N,,15,2,1772
8,se,Oxygen,O,,16,2,1771
9,fr,Fluorine,F,,17,2,1810
10,uk,Neon,Ne,,18,2,1898
11,uk,Sodium,Na,,1,3,1807
12,uk,Magnesium,Mg,place,2,3,1755
13,dk,Aluminum,Al,,13,3,1825
14,se,Silicon,Si,,14,3,1823
15,de,Phosphorus,P,,15,3,1669
16,,Sulfur,S,,16,3,pre-2000 BC
17,se,Chlorine,Cl,color,17,3,1774
18,uk,Argon,Ar,,18,3,1894
19,uk,Potassium,K,,1,4,1807
20,uk,Calcium,Ca,,2,4,1808
21,se,Scandium,Sc,place,3,4,1879
22,uk,Titanium,Ti,myth,4,4,1791
23,mx,Vanadium,V,myth,5,4,1801
24,fr,Chromium,Cr,color,6,4,1797
25,se,Manganese,Mn,place,7,4,1774
26,,Iron,Fe,,8,4,pre-5000 BC
27,se,Cobalt,Co,myth,9,4,1735
28,se,Nickel,Ni,color,10,4,1751
29,,Copper,Cu,place,11,4,9000 BC
30,,Zinc,Zn,,12,4,pre-1000 BC
31,fr,Gallium,Ga,place,13,4,1875
32,de,Germanium,Ge,place,14,4,1886
33,,Arsenic,As,,15,4,c.800
34,se,Selenium,Se,myth,16,4,1817
35,fr|de,Bromine,Br,,17,4,1825
36,uk,Krypton,Kr,,18,4,1898
37,de,Rubidium,Rb,color,1,5,1861
38,uk,Strontium,Sr,place,2,5,1787
39,fi,Yttrium,Y,place,3,5,1794
40,de,Zirconium,Zr,color,4,5,1789
41,uk,Niobium,Nb,myth,5,5,1801
42,se,Molybdenum,Mo,,6,5,1778
43,it,Technetium,Tc,,7,5,1937
44,ru,Ruthenium,Ru,place,8,5,1844
45,uk,Rhodium,Rh,color,9,5,1804
46,uk,Palladium,Pd,myth,10,5,1803
47,,Silver,Ag,,11,5,pre-5000 BC
48,de,Cadmium,Cd,,12,5,1817
49,de,Indium,In,color,13,5,1863
50,,Tin,Sn,,14,5,3500 BC
51,,Antimony,Sb,,15,5,c.800
52,at,Tellurium,Te,,16,5,1782
53,fr,Iodine,I,color,17,5,1811
54,uk,Xenon,Xe,,18,5,1898
55,de,Caesium,Cs,color,1,6,1860
56,se,Barium,Ba,,2,6,1772
57,se,Lanthanum,La,,3,9,1838
58,de,Cerium,Ce,myth,4,9,1803
59,at,Praseodymium,Pr,color,5,9,1885
60,at,Neodymium,Nd,,6,9,1885
61,us,Promethium,Pm,myth,7,9,1942
62,fr,Samarium,Sm,person,8,9,1879
63,fr,Europium,Eu,place|myth,9,9,1896
64,ch,Gadolinium,Gd,person,10,9,1880
65,se,Terbium,Tb,place,11,9,1842
66,fr,Dysprosium,Dy,,12,9,1886
67,ch,Holmium,Ho,place,13,9,1878
68,se,Erbium,Er,place,14,9,1842
69,se,Thulium,Tm,place,15,9,1879
70,ch,Ytterbium,Yb,place,16,9,1878
71,at|fr,Lutetium,Lu,place,17,9,1906
72,dk,Hafnium,Hf,place,4,6,1922
73,se,Tantalum,Ta,myth,5,6,1802
74,se,Tungsten,W,,6,6,1781
75,jp,Rhenium,Re,place,7,6,1908
76,uk,Osmium,Os,,8,6,1803
77,uk,Iridium,Ir,color,9,6,1803
78,es,Platinum,Pt,,10,6,1748
79,,Gold,Au,color,11,6,pre-6000 BC
80,,Mercury,Hg,myth,12,6,pre-2000 BC
81,uk,Thallium,Tl,color,13,6,1861
82,,Lead,Pb,,14,6,7000 BC
83,fr,Bismuth,Bi,color,15,6,1753
84,fr|pl,Polonium,Po,place,16,6,1898
85,us,Astatine,At,,17,6,1940
86,ca,Radon,Rn,,18,6,1899
87,fr,Francium,Fr,place,1,7,1939
88,fr|pl,Radium,Ra,,2,7,1898
89,de,Actinium,Ac,,3,10,1902
90,se,Thorium,Th,myth,4,10,1829
91,de,Protactinium,Pa,,5,10,1913
92,de,Uranium,U,myth,6,10,1789
93,us,Neptunium,Np,myth,7,10,1940
94,us,Plutonium,Pu,myth,8,10,1940
95,us,Americium,Am,place|person,9,10,1944
96,us,Curium,Cm,person,10,10,1944
97,us,Berkelium,Bk,place|person,11,10,1949
98,us,Californium,Cf,place,12,10,1950
99,us,Einsteinium,Es,person,13,10,1952
100,us,Fermium,Fm,person,14,10,1952
101,us,Mendelevium,Md,person,15,10,1955
102,ru,Nobelium,No,person,16,10,1966
103,ru,Lawrencium,Lr,person,17,10,1961
104,ru,Rutherfordium,Rf,person,4,7,1969
105,ru,Dubnium,Db,place,5,7,1970
106,ru,Seaborgium,Sg,person,6,7,1974
107,de,Bohrium,Bh,person,7,7,1981
108,de,Hassium,Hs,place,8,7,1984
109,de,Meitnerium,Mt,person,9,7,1982
110,de,Darmstadtium,Ds,place,10,7,1995
111,de,Roentgenium,Rg,person,11,7,1995
112,de,Copernicium,Cn,person,12,7,1996
113,jp,Nihonium,Nh,place,13,7,2004
114,ru,Flerovium,Fl,person,14,7,2004
115,ru,Moscovium,Mc,place,15,7,2010
116,ru,Livermorium,Lv,place|person,16,7,2004
117,ru,Tennessine,Ts,place,17,7,2010
118,ru,Oganesson,Og,person,18,7,2006
57-71,,Lanthanides,...,,3,6,
89-103,,Actinides,...,,3,7,
