date,planets,description
antiquity,Moon|Mercury|Venus|Sun|Mars|Jupiter|Saturn,Ptolemy's 7 planetary spheres
1610,Moon|Mercury|Venus|Sun|Mars|Jupiter|Ganymede|Callisto|Io|Europa|Saturn,Galilean satellites
1656,Moon|Mercury|Venus|Sun|Mars|Jupiter|Ganymede|Callisto|Io|Europa|Saturn|Titan,Saturnian satellites...
1673,Moon|Mercury|Venus|Sun|Mars|Jupiter|Ganymede|Callisto|Io|Europa|Saturn|Titan|Iapetus|Rhea
1684,Moon|Mercury|Venus|Sun|Mars|Jupiter|Ganymede|Callisto|Io|Europa|Saturn|Titan|Iapetus|Rhea|Tethys|Dione
1700s,Mercury|Venus|Earth|Mars|Jupiter|Saturn,general acceptance of heliocentrism
1781,Mercury|Venus|Earth|Mars|Jupiter|Saturn|Uranus,Uranus
1801,Mercury|Venus|Earth|Mars|Ceres|Jupiter|Saturn|Uranus,asteroids...
1802,Mercury|Venus|Earth|Mars|Ceres|Pallas|Jupiter|Saturn|Uranus
1804,Mercury|Venus|Earth|Mars|Juno|Ceres|Pallas|Jupiter|Saturn|Uranus
1807,Mercury|Venus|Earth|Mars|Vesta|Juno|Ceres|Pallas|Jupiter|Saturn|Uranus
1845,Mercury|Venus|Earth|Mars|Vesta|Juno|Ceres|Pallas|Astraea|Jupiter|Saturn|Uranus,minor asteroids...
1846,Mercury|Venus|Earth|Mars|Vesta|Juno|Ceres|Pallas|Astraea|Jupiter|Saturn|Uranus|Neptune,Neptune
1847,Mercury|Venus|Earth|Mars|Vesta|Juno|Ceres|Pallas|Astraea|Hebe|Iris|Flora|Jupiter|Saturn|Uranus|Neptune
1848,Mercury|Venus|Earth|Mars|Vesta|Juno|Ceres|Pallas|Astraea|Hebe|Iris|Flora|Metis|Jupiter|Saturn|Uranus|Neptune
1849,Mercury|Venus|Earth|Mars|Vesta|Juno|Ceres|Pallas|Astraea|Hebe|Iris|Flora|Metis|Hygiea|Jupiter|Saturn|Uranus|Neptune
1850,Mercury|Venus|Earth|Mars|Vesta|Juno|Ceres|Pallas|Astraea|Hebe|Iris|Flora|Metis|Hygiea|Parthenope|Victoria|Egeria|Jupiter|Saturn|Uranus|Neptune
1851,Mercury|Venus|Earth|Mars|Vesta|Juno|Ceres|Pallas|Jupiter|Saturn|Uranus|Neptune,minor asteroids reclassified
1867,Mercury|Venus|Earth|Mars|Jupiter|Saturn|Uranus|Neptune,all asteroids reclassified
1930,Mercury|Venus|Earth|Mars|Jupiter|Saturn|Uranus|Neptune|Pluto,Pluto
2005,Mercury|Venus|Earth|Mars|Jupiter|Saturn|Uranus|Neptune|Pluto|Eris,Eris
2006,Mercury|Venus|Earth|Mars|Jupiter|Saturn|Uranus|Neptune,dwarf planets reclassified
