country,facevalue,year,image
Russia,"100,000 ruble",1922,https://i.colnect.net/b/5861/734/Science-and-Arts-surcharged.jpg
Ukraine,"100,000 karbovanets",1995,https://i.colnect.net/b/316/159/50th-anniversary-of-the-Victory.jpg
Romania,"145,000 leu",2004,https://i.colnect.net/b/5413/254/Trajan-s-Column.jpg
Bosnia & Herzegovina,"200,000 dinar",1994,https://i.colnect.net/b/19116/643/Ice-Hockey.jpg
Belarus,"500,000 ruble",1999,https://i.colnect.net/b/2508/756/Belorusian-Dance--Lyavoniha-.jpg
Poland,"3,000,000 marka",1924,https://i.colnect.net/f/8328/844/Eagle-on-a-Shield.jpg
Turkey,"3,500,000 lira",2004,https://i.colnect.net/b/19570/375/Old-Post-and-Telegraph-Ministry-Building-Istanbul.jpg
Greece,"5,000,000 drachma",1944,https://i.imgur.com/JDgP8Yk.jpg
Serbia & Montenegro,"400,000,000 dinar",1993,https://i.colnect.net/b/19304/094/Blagovesti-Mileseva.jpg
Germany,"50,000,000,000 reichsmark",1923,https://www.linns.com/images/default-source/news/rc1_0509_big.tmb-slide-1900.jpg?sfvrsn=7655afe5_0
Hungary,"500,000,000,000,000 pengő",1946,https://i.colnect.net/b/19357/246/Dove-and-Letter.jpg
