tier,name,img
S,Mother of Learning,"https://m.media-amazon.com/images/I/81NXjG0TyuL._UF1000,1000_QL80_.jpg"
S,Practical Guide to Sorcery,"https://www.royalroadcdn.com/public/covers-large/34009-a-practical-guide-to-sorcery.jpg?time=1687372325"
S,Years of Apocalypse,"https://www.royalroadcdn.com/public/covers-large/the-years-of-apocalypse-a-time-loop-progression.jpg?time=1706941233"
S,Mage Errant,"https://m.media-amazon.com/images/I/91FQ5UouzAL._UF1000,1000_QL80_.jpg"
A,Arcane Ascension,"https://m.media-amazon.com/images/I/71GgUeLlIpL._AC_UF894,1000_QL80_.jpg"
A,Mark of the Fool,"https://m.media-amazon.com/images/I/81G4s1DhHTL._UF1000,1000_QL80_.jpg"
A,Guild Mage,"https://www.royalroadcdn.com/public/covers-large/guild-mage-apprentice-paticipant-in-the-royal.jpg?time=1730394517"
B,Re: Birth,"https://www.royalroadcdn.com/public/covers-large/rebirth-118400.jpg?time=1736953671"
B,Summoner Awakens,"https://m.media-amazon.com/images/I/71tdGdujP9L.jpg"
C,Iron Prince,"https://m.media-amazon.com/images/I/81GLx+EaP2L._UF1000,1000_QL80_.jpg"
C,Evander Tailor,"https://m.media-amazon.com/images/I/81rGWRZbyUL._UF1000,1000_QL80_.jpg"
C,Art of the Adept,"https://m.media-amazon.com/images/I/91CyYl8jrfL._UF1000,1000_QL80_.jpg"
