"Golf Date","Arrival Time","Arrival Source","Depart Time","Depart Source",Club,Sighted?,"Golf Source",Comment
2017-02-04,"2017-02-04 09:33:00",https://twitter.com/markknoller/status/827966015808081920,"2017-02-04 14:05:00",_http://publicpool.kinja.com/subject-wh-travel-pool-report-5-1792001789,"Trump Intl, West Palm Beach, FL",Yes,_https://www.facebook.com/frostwine/photos/a.214590338569690.64653.213672025328188/1544762645552446,"<a href=""https://www.facebook.com/frostwine/photos/a.214590338569690.64653.213672025328188/1544762645552446"">Frost and Trump vs. Nieporte and Arrigo</a>"
2017-02-05,"2017-02-05 09:27:00",_http://publicpool.kinja.com/subject-travel-pool-1-golf-club-1792015480,"2017-02-05 14:08:00",_http://publicpool.kinja.com/subject-travel-pool-3-departing-trump-international-1792019219,"Trump Intl, West Palm Beach, FL",Likely,_,
2017-02-11,"2017-02-11 09:26:00",_http://publicpool.kinja.com/subject-print-travel-pool-report-3-1792253007,"2017-02-11 13:50:00",_http://publicpool.kinja.com/subject-print-travel-pool-report-4-1792256285,"Trump Natl, Jupiter, FL",Yes,https://www.nytimes.com/2017/02/12/us/politics/donald-trump-golf-obama.html,"<a href=""https://twitter.com/realDonaldTrump/status/830555911559249926"">18 holes with Shinzo Abe</a>"
2017-02-12,"2017-02-12 08:31:00",_http://publicpool.kinja.com/subject-print-travel-pool-report-1-1792269814,"2017-02-12 13:49:00",_http://publicpool.kinja.com/subject-2-18-travel-pool-2-1792515075,"Trump Natl, Jupiter, FL",Likely,_,
2017-02-19,"2017-02-19 08:58:00",_http://publicpool.kinja.com/subject-pool-report-4-1792533166,"2017-02-19 14:25:00",_http://publicpool.kinja.com/subject-pool-report-4-1792533166,"Trump Intl, West Palm Beach, FL",Yes,http://www.cnn.com/2017/02/20/politics/donald-trump-golfing-presidency/index.html,"<a href=""http://nolayingup.com/2017/02/20/rory-trump/"">With McIlroy, Mullen, and Levine</a>"
2017-02-18,"2017-02-18 08:51:00",_http://publicpool.kinja.com/subject-2-18-travel-pool-1-1792511186,"2017-02-18 13:16:00",_http://publicpool.kinja.com/subject-2-18-travel-pool-2-1792515075,"Trump Intl, West Palm Beach, FL",Yes,http://www.cnn.com/2017/02/20/politics/donald-trump-golfing-presidency/index.html,"<a href=""http://ktla.com/2017/02/20/aides-to-trump-critic-of-obamas-time-spent-golfing-try-to-hide-presidents-time-on-the-links/"">""Played a couple""</a>"
2017-03-04,"2017-03-04 09:26:00",_http://publicpool.kinja.com/subject-print-travel-pool-report-3-1792968675,"2017-03-04 13:05:00",_http://publicpool.kinja.com/subject-print-travel-pool-report-4-1792971903,"Trump Intl, West Palm Beach, FL",Likely,_,"<a href=""http://www.washingtonexaminer.com/trump-visits-golf-course-after-tweeting-obama-wiretap-accusations/article/2616451"">Wiretap tweet</a>"
2017-03-05,"2017-03-05 09:13:00",_http://publicpool.kinja.com/subject-travel-pool-report-2-golf-1792984718,"2017-03-05 12:48:00",_http://publicpool.kinja.com/subject-travel-pool-report-3-golf-club-depart-1792987436,"Trump Intl, West Palm Beach, FL",Yes,_https://www.instagram.com/p/BRRDqjaA4cc/,"<a href=""https://www.instagram.com/p/BRRDqjaA4cc/"">With David and Sean Frost</a>"
2017-03-11,"2017-03-11 12:39:00",_http://publicpool.kinja.com/subject-pool-report-3-1793186515,"2017-03-11 14:50:00",_http://publicpool.kinja.com/subject-pool-report-5-1793187992,"Trump Natl, Potomac Falls, VA",Likely,_,"<a href=""http://www.golf.com/tour-news/2017/03/11/president-trump-holds-partial-cabinet-meeting-trump-national-virginia"">Cabinet meeting</a>"
2017-03-18,"2017-03-18 09:40:00",https://twitter.com/markknoller/status/843099239639105536,"2017-03-18 14:44:00",_http://publicpool.kinja.com/subject-pool-report-5-1793406302,"Trump Intl, West Palm Beach, FL",Yes,https://twitter.com/chrisruddynmx/status/843164640054001664,"<a href=""http://www.washingtonexaminer.com/trump-poses-for-photo-with-former-romney-aide-at-golf-club/article/2617798"">Glove picture</a>"
