year,party1,party2,party3,votes1,votes2,votes3,votestotal,turnout,seats1,seats2,seats3,seatstotal
2019,C,L,LD,13966565,10269076,3696423,32131661,67.5,365,202,11,650
2017,C,L,LD,13667231,12874284,2371762,32181756,68.7,318,262,12,650
2015,C,L,UKIP,11300109,9347324,3881099,30691680,66.4,330,232,1,650
2010,C,L,LD,10703754,8609527,6836825,29687604,65.1,306,258,57,650
2005,L,C,LD,9552436,8784915,5985454,27148510,61.4,355,198,62,646
2001,L,C,LD,10724953,8357615,4814321,26368204,59.4,413,166,52,659
1997,L,C,LD,13518167,9600943,5242947,31286284,71.3,418,165,46,659
1992,C,L,LD,14093007,11560484,5999606,33614074,77.7,336,271,20,651
1987,C,L,SLA,13760935,10029270,7341651,32530204,75.3,376,229,22,650
1983,C,L,SLA,13012316,8456934,7780949,30661309,72.7,397,209,23,650
1979,C,L,LB,13697923,11532218,4313804,31221362,76,339,269,11,635
1974',L,C,LB,11457079,10462565,5346704,29189104,72.8,319,277,13,635
1974,L,C,LB,11645616,11872180,6059519,31321982,78.8,301,297,14,635
1970,C,L,LB,13145123,12208758,2117035,28305534,72,330,288,6,630
1966,L,C,LB,13096951,11418433,2327533,27264747,75.8,364,253,12,630
1964,L,C,LB,12205808,12002642,3099283,27657148,77,317,304,9,630
1959,C,L,LB,13750875,12216172,1640760,27862652,78.7,365,258,6,630
1955,C,L,LB,13310891,12405254,722402,26759729,76.8,345,277,6,630
1951,C,L,LB,13717851,13948385,730546,28596594,82.6,321,295,6,625
1950,L,C,LB,13226176,12494404,2621487,28771124,83.9,315,298,9,625
1945,L,C,LB,11967746,8716211,2177938,24073025,72.8,393,197,12,640
