year,party,votes,seats
2017,TOTAL,32204184,650
2017,Conservatives,13636684,317
2017,Labour,12877918,262
2017,Liberal Democrats,2371861,12
2017,SNP,977568,35
2015,TOTAL,30697525,650
2015,Conservatives,11299609,330
2015,Labour,9347273,232
2015,UKIP,3881099,1
2015,Liberal Democrats,2415916,8
2015,SNP,1454436,56
2010,TOTAL,29687604,650
2010,Conservatives,10703754,306
2010,Labour,8609527,258
2010,Liberal Democrats,6836824,57
2005,TOTAL,27148510,646
2005,Labour,9552436,355
2005,Conservatives,8784915,198
2005,Liberal Democrats,5985454,62
2001,TOTAL,26367383,659
2001,Labour,10724953,413
2001,Conservatives,8357615,166
2001,Liberal Democrats,4814321,52
1997,TOTAL,31286284,659
1997,Labour,13518167,418
1997,Conservatives,9600943,165
1997,Liberal Democrats,5242947,46
1992,TOTAL,33614074,651
1992,Conservatives,14093007,336
1992,Labour,11560484,271
1992,Liberal Democrats,5999606,20
1987,TOTAL,32529578,650
1987,Conservatives,13760583,376
1987,Labour,10029807,229
1987,Alliance,7341633,22
1983,TOTAL,30671137,650
1983,Conservatives,13012316,397
1983,Labour,8456934,209
1983,Alliance,7794770,23
1979,TOTAL,31221362,635
1979,Conservatives,13697923,339
1979,Labour,11532218,269
1979,Liberal,4313804,11
