Name,Type
Adlam,alphabet
Ahom,abugida
Anatolian_Hieroglyphs,logographic
Arabic,abjad
Armenian,alphabet
Avestan,alphabet
Balinese,abugida
Bamum,semi-syllabary
Bassa_Vah,alphabet
Batak,abugida
Bengali,abugida
Bhaiksuki,abugida
Bopomofo,semi-syllabary
Brahmi,abugida
Braille,alphabet
Buginese,abugida
Buhid,abugida
Canadian_Aboriginal,featural
Carian,alphabet
Caucasian_Albanian,alphabet
Chakma,abugida
Cham,abugida
Cherokee,syllabary
Common,common
Coptic,alphabet
Cuneiform,logographic
Cypriot,syllabary
Cyrillic,alphabet
Deseret,alphabet
Devanagari,abugida
Dogra,abugida
Duployan,alphabet
Egyptian_Hieroglyphs,logographic
Elbasan,alphabet
Elymaic,abjad
Emoji,common
Ethiopic,abugida
Georgian,alphabet
Glagolitic,alphabet
Gothic,alphabet
Grantha,abugida
Greek,alphabet
Gujarati,abugida
Gunjala_Gondi,abugida
Gurmukhi,abugida
Han,logographic
Hangul,featural
Hanifi_Rohingya,alphabet
Hanunoo,abugida
Hatran,abjad
Hebrew,abjad
Hiragana,syllabary
Imperial_Aramaic,abjad
Inherited,common
Inscriptional_Pahlavi,abjad
Inscriptional_Parthian,abjad
Javanese,abugida
Kaithi,abugida
Kannada,abugida
Katakana,syllabary
Kayah_Li,alphabet
Kharoshthi,abugida
Khmer,abugida
Khojki,abugida
Khudawadi,abugida
Lao,abugida
Latin,alphabet
Lepcha,abugida
Limbu,abugida
Linear_A,syllabary
Linear_B,syllabary
Lisu,alphabet
Lycian,alphabet
Lydian,alphabet
Mahajani,abugida
Makasar,abugida
Malayalam,abugida
Mandaic,abjad
Manichaean,abjad
Marchen,abugida
Masaram_Gondi,abugida
Mathematical_Notation,common
Medefaidrin,alphabet
Meetei_Mayek,abugida
Mende_Kikakui,syllabary
Meroitic_Cursive,abugida
Meroitic_Hieroglyphs,abugida
Miao,abugida
Modi,abugida
Mongolian,alphabet
Mro,alphabet
Multani,abugida
Myanmar,abugida
Nabataean,abjad
Nandinagari,abugida
New_Tai_Lue,alphabet
Newa,abugida
Nko,alphabet
Nushu,syllabary
Nyiakeng_Puachue_Hmong,alphabet
Ogham,alphabet
Ol_Chiki,alphabet
Old_Hungarian,alphabet
Old_Italic,alphabet
Old_North_Arabian,abjad
Old_Permic,alphabet
Old_Persian,semi-syllabary
Old_Sogdian,abjad
Old_South_Arabian,abjad
Old_Turkic,alphabet
Oriya,abugida
Osage,alphabet
Osmanya,alphabet
Pahawh_Hmong,semi-syllabary
Palmyrene,abjad
Pau_Cin_Hau,alphabet
Phags_Pa,alphabet
Phoenician,abjad
Psalter_Pahlavi,abjad
Rejang,abugida
Runic,alphabet
Samaritan,abjad
Saurashtra,abugida
Sharada,abugida
Shavian,alphabet
Siddham,abugida
SignWriting,featural
Sinhala,abugida
Sogdian,abjad
Sora_Sompeng,abugida
Soyombo,abugida
Sundanese,abugida
Syloti_Nagri,abugida
Syriac,abjad
Tagalog,abugida
Tagbanwa,abugida
Tai_Le,abugida
Tai_Tham,abugida
Tai_Viet,abugida
Takri,abugida
Tamil,abugida
Tangut,logographic
Telugu,abugida
Thaana,abugida
Thai,abugida
Tibetan,abugida
Tifinagh,abjad
Tirhuta,abugida
Ugaritic,abjad
Vai,syllabary
Wancho,alphabet
Warang_Citi,abugida
Yi,logographic
Zanabazar_Square,abugida
