state,language,motto,english
Alabama,Latin,Audemus jura nostra defendere,We dare defend our rights
Alaska,English,North to the Future,North to the Future
Arizona,Latin,Ditat Deus,God enriches 
Arkansas,Latin,Regnat populus,The people rule
California,Greek,Eureka,Eureka
Colorado,Latin,Nil sine numine,Nothing without providence
Connecticut,Latin,Qui transtulit sustinet,He who transplanted sustains 
Delaware,English,Liberty and Independence,Liberty and Independence
District of Columbia,Latin,Justitia Omnibus,Justice for All
Florida,English,In God We Trust,In God We Trust
Georgia,English,"Wisdom, Justice, Moderation","Wisdom, Justice, Moderation"
Hawaii,Hawaiian,"Ua mau ke ea o ka 'āina i ka pono","The life of the land is perpetuated in righteousness"
Idaho,Latin,Esto perpetua,Let it be perpetual
Illinois,English,"State sovereignty, national union","State sovereignty, national union"
Indiana,English,The Crossroads of America,The Crossroads of America
Iowa,English,Our liberties we prize and our rights we will maintain,Our liberties we prize and our rights we will maintain
Kansas,Latin,Ad astra per aspera,To the stars through difficulties
Kentucky,English,"United we stand, divided we fall","United we stand, divided we fall"
Louisiana,English,"Union, justice, confidence","Union, justice, confidence"
Maine,Latin,Dirigo,I lead
Maryland,Italian,"Fatti maschi, parole femine","Strong deeds, gentle words"
Massachusetts,Latin,"Ense petit placidam sub libertate quietem","By the sword we seek peace, but peace only under liberty"
Michigan,Latin,"Si quaeris peninsulam amoenam circumspice","If you seek a pleasant peninsula, look about you"
Minnesota,French,L'étoile du Nord,The star of the North
Mississippi,Latin,Virtute et armis,By valor and arms
Missouri,Latin,Salus populi suprema lex esto,Let the welfare of the people be the supreme law
Montana,Spanish,Oro y plata,Gold and silver
Nebraska,English,Equality before the law,Equality before the law
Nevada,English,All For Our Country,All For Our Country
New Hampshire,English,Live Free or Die,Live Free or Die
New Jersey,English,Liberty and prosperity,Liberty and prosperity
New Mexico,Latin,Crescit eundo,It grows as it goes
New York,Latin,Excelsior,Ever upward
North Carolina,Latin,Esse quam videri,"To be, rather than to seem"
North Dakota,English,"Liberty and union, now and forever, one and inseparable","Liberty and union, now and forever, one and inseparable"
Ohio,English,"With God, all things are possible","With God, all things are possible"
Oklahoma,Latin,Labor omnia vincit,Labor conquers all things
Oregon,Latin,Alis volat propriis,She flies with her own wings
Pennsylvania,English,"Virtue, liberty, and independence","Virtue, liberty, and independence"
Rhode Island,English,"Hope","Hope"
South Carolina,Latin,"Dum spiro spero","While I breathe, I hope "
South Dakota,English,"Under God the people rule","Under God the people rule"
Tennessee,English,"Agriculture and Commerce","Agriculture and Commerce"
Texas,English,"Friendship","Friendship"
Utah,English,"Industry","Industry"
Vermont,English,"Freedom and Unity","Freedom and Unity"
Virginia,Latin,"Sic semper tyrannis","Thus always to tyrants"
Washington,Chinook,Alki,By and by
West Virginia,Latin,Montani semper liberi,Mountaineers are always free
Wisconsin,English,Forward,Forward
Wyoming,English,Equal Rights,Equal Rights
