president,foreign,party,notes,img
George Washington,1g,U,English grandmother & (probably),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg/842px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg
Thomas Jefferson,1p,DR,English mother*,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg/858px-Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg
Andrew Jackson,2p,D,2 Irish parents,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Andrew_jackson_head.jpg/844px-Andrew_jackson_head.jpg
James Buchanan,1p2g,D,Irish father & 2 Irish grandparents,https://upload.wikimedia.org/wikipedia/commons/f/fd/James_Buchanan.jpg
Chester Arthur,1p,R,Irish father,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Chester_Alan_Arthur.jpg/882px-Chester_Alan_Arthur.jpg
Grover Cleveland,1g,D,1 Irish grandfather,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg/795px-Grover_Cleveland_-_NARA_-_518139_%28cropped%29.jpg
Woodrow Wilson,1p2g,D,Scottish mother & 2 Irish grandparents,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Woodrow_Wilson-H%26E.jpg/791px-Woodrow_Wilson-H%26E.jpg
Herbert Hoover,1p,R,Canadian mother,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/President_Hoover_portrait.jpg/576px-President_Hoover_portrait.jpg
Ronald Reagan,3g,R,2 English grandparents & 1 Canadian grandmother*,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Portrait_of_President_Reagan_1981.jpg/819px-Official_Portrait_of_President_Reagan_1981.jpg
Barack Obama,1p,D,Kenyan father,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Obama_portrait_crop.jpg/762px-Obama_portrait_crop.jpg
Donald Trump,1p2g,R,Scottish mother & 2 German grandparents,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Donald_Trump_official_portrait_%28cropped%29.jpg/742px-Donald_Trump_official_portrait_%28cropped%29.jpg
