state,groups,names
Alabama,"w,c,c","Helen Keller,Joseph Wheeler,(Jabez Curry)"
Alaska,"x,x","Bob Bartlett,Ernest Gruening"
Arizona,"x,x,x","Barry Goldwater,Eusebio Kino,(John Greenway)"
Arkansas,"c,c","James Paul Clarke*,U. M. Rose*"
California,"x,x,x","Ronald Reagan,Junípero Serra,(Thomas Starr King)"
Colorado,"w,x","Florence Sabin,Jack Swigert"
Connecticut,"x,x","Roger Sherman,Jonathan Trumbull"
Delaware,"x,x","John Clayton,Caesar Rodney"
Florida,"x,wa,c","John Gorrie,Mary McLeod Bethune,(Edmund Kirby Smith)"
Georgia,"x,c","Crawford Long,Alexander Stephens"
Hawaii,"x,n","Father Damien,Kamehameha I"
Idaho,"x,x","William Borah,George Shoup"
Illinois,"x,w","James Shields,Frances Willard"
Indiana,"x,x","Oliver P. Morton,Lew Wallace"
Iowa,"x,x,x","Norman Borlaug,Samuel Kirkwood,(James Harlan)"
Kansas,"w,x,x,x","Amelia Earhart,Dwight Eisenhower,(George W. Glick),(John James Ingalls)"
Kentucky,"x,x","Henry Clay,Ephraim McDowell"
Louisiana,"x,x","Huey Long,Edward Douglass White"
Maine,"x,x","Hannibal Hamlin,William King"
Maryland,"x,x","Charles Carroll,John Hanson"
Massachusetts,"x,x","Samuel Adams,John Winthrop"
Michigan,"x,x,x","Lewis Cass,Gerald Ford,(Zachariah Chandler)"
Minnesota,"x,w","Henry Mower Rice,Maria Sanford"
Mississippi,"c,c","Jefferson Davis,James Z. George"
Missouri,"x,x,x","Harry S. Truman,Francis Preston Blair Jr.,(Thomas Hart Benton)"
Montana,"w,x","Jeannette Rankin,Charles Marion Russell"
Nebraska,"n,x,x","Standing Bear,Julius Sterling Morton,(William Jennings Bryan)"
Nevada,"x,wn","Pat McCarran,Sarah Winnemucca"
New Hampshire,"x,x","John Stark,Daniel Webster"
New Jersey,"x,x","Philip Kearny,Richard Stockton"
New Mexico,"x,n","Dennis Chávez,Popé"
New York,"x,x","George Clinton,Robert R. Livingston"
North Carolina,"c,c","Charles Brantley Aycock*,Zebulon Baird Vance"
North Dakota,"x,wn","John Burke,Sacagawea"
Ohio,"x,x,x","Thomas Edison,James Garfield,(William Allen)"
Oklahoma,"x,n","Will Rogers,Sequoyah"
Oregon,"x,x","Jason Lee,John McLoughlin"
Pennsylvania,"x,x","Robert Fulton,Peter Muhlenberg"
Rhode Island,"x,x","Nathanael Greene,Roger Williams"
South Carolina,"c,c","John C. Calhoun*,Wade Hampton III"
South Dakota,"x,x","William Beadle,Joseph Ward"
Tennessee,"x,x","Andrew Jackson,John Sevier"
Texas,"x,x","Stephen F. Austin,Sam Houston"
Utah,"x,x","Philo Farnsworth,Brigham Young"
Vermont,"x,x","Ethan Allen,Jacob Collamer"
Virginia,"x,c","George Washington,(Robert E. Lee*)"
Washington,"w,x","Mother Joseph Pariseau,Marcus Whitman"
West Virginia,"x,x","John E. Kenna*,Francis Harrison Pierpont"
Wisconsin,"x,x","Robert M. La Follette,Jacques Marquette"
Wyoming,"w,n","Esther Hobart Morris,Washakie"

