year,name,score,description,region,image_url
1003,Edward the Confessor,0.8002055126089173,King of England,europe,http://www.socialstudiesforkids.com/graphics/edwardtheconfessor-color.jpg
1015,Harald Hardrada,0.7741863187408504,King of Norway,europe,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Harald_Hardrada_window_in_Kirkwall_Cathedral_detail.jpg/240px-Harald_Hardrada_window_in_Kirkwall_Cathedral_detail.jpg
1028,William the Conqueror,0.8720369547903531,King of England,europe,https://i.guim.co.uk/img/media/c108b53db7cfa2b268a4a3b5fa6c8cf6910f4536/0_782_3339_2003/master/3339.jpg?w=300&q=55&auto=format&usm=12&fit=max&s=168c98b0c959f488ed75fd4e484feca1
1033,Anselm of Canterbury,0.7756117487924854,archbishop & philosopher,europe,https://upload.wikimedia.org/wikipedia/commons/5/59/Anselm_of_Canterbury.jpg
1044,El Cid,0.7883466159492355,Castilian military leader,europe,http://www.badassoftheweek.com/elcid.jpg
1058,Al-Ghazali,0.7835799135626438,Persian theologian,middle east,http://www.durango.net.mx/biografias/uploadImagenes/200px-Algazel.jpg
1068,Henry I,0.8109170277638643,King of England,europe,https://www.wikitree.com/photo.php/1/11/King_of_England-68.jpg
1079,Peter Abelard,0.7452135199208348,French theologian,europe,http://www.greatthoughtstreasury.com/sites/default/files/wpid-abelard[1].jpeg
1084,David I,0.7364412125399137,King of Scotland,europe,https://www.britroyals.com/images/david1.jpg
1098,Hildegard of Bingen,0.7938493406549428,German mystic,europe,http://www.feministezine.com/feminist/images/HidegardvonBingen-01.jpg
1102,Empress Matilda,0.7821595925245455,English throne claimant,europe,http://nicolatallis.com/wp-content/uploads/2016/04/thumb_Empress_Mathilda.png
1114,Bhāskara II,0.7296017828431808,Indian mathematician,south asia,https://www.biphoo.com/product-images/celebrities-images/1Bhaskara%20II-2.jpg
1124,Eleanor of Aquitaine,0.8154529895971648,Queen of France and England,europe,http://nebula.wsimg.com/74a1f8e8644a74a0d0bd114b7649c26d?AccessKeyId=BDCD2A10AE82DD67CC3E&disposition=0&alloworigin=1
1137,Saladin,0.860118524033684,military leader & Sultan,middle east,https://upload.wikimedia.org/wikipedia/commons/a/ae/Portrait_of_Saladin_%28before_A.D._1185%3B_short%29.jpg
1141,Nizami Ganjavi,0.7291914671290195,Persian poet,middle east,https://upload.wikimedia.org/wikipedia/commons/a/ab/Nizami_Rug_Crop.jpg
1157,Richard I,0.8707592442763348,King of England,europe,https://www.angus-donald.com/wp-content/uploads/lionheart.jpg
1162,Genghis Khan,0.9163863099693412,Mongol ruler,east asia,https://upload.wikimedia.org/wikipedia/commons/3/35/YuanEmperorAlbumGenghisPortrait.jpg
1170,Fibonacci,0.7927173597150562,Italian mathematician,europe,http://www.mathstimes.com/wp-content/uploads/2014/10/leonardo-fibonacci-granger.jpg
1182,Francis of Assisi,0.854271879776407,Italian saint,europe,http://www.paginainizio.com/frasi/fonti/francescodassisi.jpg
1195,Anthony of Padua,0.7990381950124069,Portuguese friar,europe,https://www.passionistnuns.org/Saints/StAnthonyPadua/StAnthony_Padua.jpg
1207,Rumi,0.8505940830657364,Persian poet & mystic,middle east,https://images.gr-assets.com/authors/1217355543p5/875661.jpg
1215,Kublai Khan,0.8495879069007621,Mongol ruler,east asia,http://cdn-ak.f.st-hatena.com/images/fotolife/t/tokdaru/20160515/20160515171151.jpg
1225,Thomas Aquinas,0.8617518184504322,Italian theologian,europe,https://media1.britannica.com/eb-media/00/131500-004-4E3E4827.jpg
1239,Edward I,0.843266658833407,King of England,europe,https://s3.amazonaws.com/photos.geni.com/p13/3b/3b/4e/c4/53444842981a3909/edward_i_original.jpg
1241,Eleanor of Castile,0.7007426599133505,Queen of England,europe,https://s-media-cache-ak0.pinimg.com/originals/56/f0/91/56f091d7e58f11c172a9b6fad4bdc488.jpg
1254,Marco Polo,0.8706328971383273,Italian explorer,europe,http://kg-portal.ru/img/33499/33499_big.jpg
1265,Dante Alighieri,0.8410907715977094,Italian poet,europe,https://upload.wikimedia.org/wikipedia/commons/1/15/British_School_-_Dante_Alighieri.jpg
1270,William Wallace,0.8537243449246831,Scottish hero,europe,https://uagenealogies.as.ua.edu/wp-content/uploads/2015/04/portrait_sir_william.jpg
1284,Edward II,0.831047329790259,King of England,europe,http://www.historytoday.com/sites/default/files/edwardii.jpg
1295,Isabella of France,0.758531126979296,Queen of England,europe,https://s-media-cache-ak0.pinimg.com/736x/90/3b/76/903b76ad409319895e792fe069adec77--queen-of-england-frances-oconnor.jpg
1304,Ibn Battuta,0.8246241728248896,Moroccan explorer,middle east,http://apworldhistory2012-2013.weebly.com/uploads/9/9/9/6/9996001/8331677.jpg
1312,Edward III,0.8188133069063348,King of England,europe,"http://3.bp.blogspot.com/-ndvfiR4EGdc/U6kj0nhQpeI/AAAAAAAALgM/Xjz71wqTz0o/s1600/EDWARD+III,+king+of+england.jpg"
1325,John Wycliffe,0.7759533675263584,English theologian,europe,https://charliuss.files.wordpress.com/2012/06/john-wycliffe.jpg
1336,Timur,0.8304854189315554,Turkic conqueror,middle east,http://100leaders.org/sites/default/files/Tamerlane-Rijksmuseum.jpg
1343,Geoffrey Chaucer,0.8109852959945832,English writer,europe,https://www.biography.com/.image/t_share/MTE5NDg0MDU0OTIxMzgxMzkx/geoffrey-chaucer-9245691-1-402.jpg
1359,Owain Glyndŵr,0.7460582864538214,Welsh hero,europe,http://www.bbc.co.uk/staticarchive/0b987f24ad6c777dd2e393cabb42d1b80fd013e0.jpg
1367,Richard II,0.8023452652746957,King of England,europe,https://faculty.history.wisc.edu/sommerville/123/123images/richard2.jpg
1371,Zheng He,0.8279342087157643,Chinese explorer,east asia,http://4.bp.blogspot.com/-ZG5hwkwZhxk/UzPh5GrP1qI/AAAAAAAALzs/fdQokWaSTZY/w1200-h630-p-k-no-nu/zhenghe+(2).jpg
