link,year,disambiguation,length,pageviews,revisions,title,score
Harald_Hardrada,1015,False,236209,24050,1750,Harald Hardrada,0.7741863187408504
Ramanujacharya,1017,False,225582,18888,973,Ramanuja,0.7446703191651749
Harthacnut_(1020–1042),1019,False,160692,13386,473,Harthacnut,0.7002015006510686
Harthacnut,1018,False,160294,13386,473,Harthacnut,0.7001613855733432
Harold_Harefoot,1015,False,123061,10562,523,Harold Harefoot,0.6940785508130219
Pope_Benedict_IX,1012,False,188477,7628,411,Pope Benedict IX,0.6820111554036484
Robert_II_of_France,1014,False,147313,7810,415,Robert II of France,0.679312611898293
"Henry_III,_Holy_Roman_Emperor",1017,False,146164,4405,447,"Henry III, Holy Roman Emperor",0.6664046493987573
Nizam_al-Mulk,1018,False,105342,3727,435,Nizam al-Mulk,0.6555181147473268
Andrew_I_of_Hungary,1015,False,187875,1586,326,Andrew I of Hungary,0.625544675899394
Anawrahta,1014,False,145350,2010,274,Anawrahta,0.6228101454906236
Edward_the_Exile,1016,False,77130,3867,166,Edward the Exile,0.6101018144874673
Casimir_I_the_Restorer,1016,False,125676,1587,228,Casimir I the Restorer,0.6059377165920685
Michael_IV_the_Paphlagonian,1010,False,106812,1943,184,Michael IV the Paphlagonian,0.6006493259138613
Sima_Guang,1019,False,58307,1457,260,Sima Guang,0.5983591004089405
Isaac_Alfasi,1013,False,89155,1351,201,Isaac Alfasi,0.5912862704960358
Michael_Psellus,1018,False,83570,1386,184,Michael Psellos,0.5874994968307659
Emperor_Renzong_of_Song,1010,False,97001,1601,150,Emperor Renzong of Song,0.5845729304395835
Michael_V_Kalaphates,1015,False,77317,1656,146,Michael V Kalaphates,0.5814701217928882
"Robert_I,_Duke_of_Burgundy",1011,False,89446,2095,116,"Robert I, Duke of Burgundy",0.5786815241209718
Svein_Knutsson,1016,False,143140,932,168,Svein Knutsson,0.5774974726556434
Al-Bakri,1014,False,63195,1456,147,Al-Bakri,0.5755342366225866
Marpa_Lotsawa,1012,False,121563,1054,117,Marpa Lotsawa,0.563276797371306
Benno,1010,False,69757,652,162,Benno,0.5558056491123748
Zhou_Dunyi,1017,False,67973,915,124,Zhou Dunyi,0.5550449142418288
Sancha_of_León,1013,False,47638,729,135,Sancha of León,0.5473857931852161
Bermudo_III_of_León,1010,False,61477,813,115,Bermudo III of León,0.5468754907424671
Shao_Yong,1011,False,53288,685,125,Shao Yong,0.5434892295441354
"Richilde,_Countess_of_Hainaut",1018,False,43594,384,110,"Richilde, Countess of Hainaut",0.5165925549065422
Munjong_of_Goryeo,1019,False,41618,699,61,Munjong of Goryeo,0.5076355332963438
Cai_Xiang,1012,False,41056,379,90,Cai Xiang,0.5070992342689428
Alī_ibn_Ahmad_al-Nasawī,1010,False,71140,352,78,Alī ibn Ahmad al-Nasawī,0.5039155791214756
Zeng_Gong,1019,False,45407,377,75,Zeng Gong,0.4999553719643709
"Richeza_of_Poland,_Queen_of_Hungary",1013,False,45591,662,50,"Richeza of Poland, Queen of Hungary",0.4965847652535888
Beatrice_of_Lorraine,1017,False,51014,271,75,Beatrice of Lorraine,0.4899135482126439
Eleanor_of_Normandy,1011,False,33506,589,46,Eleanor of Normandy,0.485768036889574
Wen_Tong,1019,False,38707,290,68,Wen Tong,0.48521652716294034
Emperor_Xingzong_of_Liao,1016,False,44715,329,47,Emperor Xingzong of Liao,0.4730473476474665
Ralph_the_Staller,1011,False,28681,407,41,Ralph the Staller,0.46789801171250117
Deokjong_of_Goryeo,1016,False,41733,344,36,Deokjong of Goryeo,0.4595604099308175
Akkadevi,1010,False,31734,228,45,Akkadevi,0.4561462406182627
Ermesinda_of_Bigorre,1015,False,35278,330,31,Ermesinda of Bigorre,0.44846886485472
Gebhard_of_Salzburg,1010,False,36730,242,33,Gebhard of Salzburg,0.4433866950835883
Adalbero_of_Würzburg,1010,False,37194,122,52,Adalbero of Würzburg,0.4418247959012863
Empress_Cao_(Song_dynasty),1016,False,40708,192,26,Empress Cao (Song dynasty),0.42398471906378293
Fujiwara_no_Genshi,1016,False,41817,172,21,Fujiwara no Genshi,0.40835579860963156
Empress_Guo_(Renzong),1012,False,32168,151,20,Empress Guo (Renzong),0.3997791891434405
Không_Lộ,1016,False,24334,82,10,Không Lộ,0.3355288044379292
"Jeongjong,_10th_Monarch_of_Goryeo",1018,False,45984,0,51,"Jeongjong, 10th monarch of Goryeo",0.1258826284030386
