link,year,disambiguation,length,pageviews,revisions,title,score
Peter_Abelard,1079,False,107249,2397,396,Petrus Abaelardus,0.6388288287640264
"Lothair_II,_Holy_Roman_Emperor",1075,False,80625,2491,338,Lothar III. (HRR),0.6296679835824727
"Leopold_III,_Margrave_of_Austria",1073,False,70577,1814,257,Leopold III. (Österreich),0.6072930493491115
Hugues_de_Payens,1070,False,54253,658,146,Hugo von Payns,0.5488981423532541
"Tancred,_Prince_of_Galilee",1072,False,72127,464,150,Tankred von Tiberias,0.5412767671337385
Agnes_of_Germany,1072,False,50886,685,103,Agnes von Waiblingen,0.5344685781900627
David_the_Builder,1073,False,48222,391,138,Dawit IV. der Erbauer,0.5273660429409133
"William_IX,_Duke_of_Aquitaine",1071,False,53654,397,119,Wilhelm IX. (Aquitanien),0.5232374705691455
Conrad_II_of_Italy,1074,False,45220,391,92,Konrad (III.) (HRR),0.510130622080153
"Coloman,_King_of_Hungary",1070,False,48620,326,95,Koloman (Ungarn),0.5059981871548094
Alexander_I_of_Scotland,1078,False,41132,202,68,Alexander I. (Schottland),0.47310416758933055
"Edgar,_King_of_Scotland",1074,False,36640,182,63,Edgar (Schottland),0.4649568954138067
"Magnus_Erlendsson,_Earl_of_Orkney",1075,False,38839,130,80,Magnus Erlendsson,0.46189286479376496
Orderic_Vitalis,1075,False,43687,163,61,Ordericus Vitalis,0.46107191112370416
Emperor_Horikawa,1079,False,32856,107,67,Horikawa,0.445606965316858
Adelaide_del_Vasto,1075,False,33490,120,56,Adelheid von Savona,0.44336903952170015
Joseph_ibn_Migash,1077,False,28445,38,24,Josef ibn Migasch,0.3583779279644425
Mstislav_I_of_Kiev,1076,False,45785,13,73,Mstislaw I.,0.33069973559792276
"Maud,_Countess_of_Huntingdon",1074,,1,1,1,?,0.05448825167540282
"Constance_of_France,_Princess_of_Antioch",1078,,1,1,1,?,0.05448825167540282
Empress_Meng,1073,,1,1,1,?,0.05448825167540282
"Gertrude_of_Flanders,_Duchess_of_Lorraine",1070,,1,1,1,?,0.05448825167540282
Princess_Yasuko,1076,,1,1,1,?,0.05448825167540282
Empress_Liu_(Zhezong),1079,,1,1,1,?,0.05448825167540282
