link,year,disambiguation,length,pageviews,revisions,title,score
Frederick_the_Great,1712,False,202408,38633,3306,Friedrich II. (Preußen),0.8060938152930743
Jean-Jacques_Rousseau,1712,False,225503,22672,1846,Jean-Jacques Rousseau,0.7736367207195427
Maria_Theresa_of_Austria,1717,False,188095,26195,1682,Maria Theresia,0.7707470028900829
Denis_Diderot,1713,False,651863,4559,3028,Denis Diderot,0.7565331138921767
Louis_XV_of_France,1710,False,98724,11074,635,Ludwig XV.,0.6994141914068839
David_Hume,1711,False,165495,6499,689,David Hume,0.6966045269599447
Johann_Joachim_Winckelmann,1717,False,120263,4401,643,Johann Joachim Winckelmann,0.6774180919377014
Christoph_Willibald_Gluck,1714,False,121591,4083,564,Christoph Willibald Gluck,0.6704359210548421
Leopold_Mozart,1719,False,76048,4542,496,Leopold Mozart,0.6611591060252119
Carl_Philipp_Emanuel_Bach,1714,False,112354,3330,477,Carl Philipp Emanuel Bach,0.6567226248325104
Qianlong_Emperor,1711,False,175673,1188,686,Qianlong,0.641094218456446
Christian_Fürchtegott_Gellert,1715,False,80169,2660,286,Christian Fürchtegott Gellert,0.6247777152507611
Mikhail_Lomonosov,1711,False,82192,1821,374,Michail Wassiljewitsch Lomonossow,0.6241820257948745
Dorothea_Erxleben,1715,False,67964,1660,277,Dorothea Christiane Erxleben,0.6070433084501676
Charles_III_of_Spain,1716,False,125616,2052,195,Karl III. (Spanien),0.606895412715356
Jean_le_Rond_d'Alembert,1717,False,86057,1187,327,Jean-Baptiste le Rond d’Alembert,0.6058025791286621
Elisabeth_Christine_of_Brunswick-Wolfenbüttel-Bevern,1715,False,88868,1730,209,Elisabeth Christine von Braunschweig-Wolfenbüttel-Bevern,0.6004172798694498
Wilhelm_Friedemann_Bach,1710,False,70551,1343,237,Wilhelm Friedemann Bach,0.5947794528907975
Giovanni_Battista_Pergolesi,1710,False,75324,1496,208,Giovanni Battista Pergolesi,0.593654975814456
Peter_II_of_Russia,1715,False,56690,1775,182,Peter II. (Russland),0.5891814928227314
Pope_Pius_VI,1717,False,67378,1107,221,Pius VI.,0.5852491818864116
Johann_Wilhelm_Ludwig_Gleim,1719,False,72168,924,219,Johann Wilhelm Ludwig Gleim,0.5798794796306376
Alexander_Gottlieb_Baumgarten,1714,False,70086,913,211,Alexander Gottlieb Baumgarten,0.5776512817820846
Robert-François_Damiens,1715,False,50202,2044,133,Robert François Damiens,0.5772534678877901
"Wenzel_Anton,_Prince_of_Kaunitz-Rietberg",1711,False,95781,686,236,Wenzel Anton von Kaunitz-Rietberg,0.5759629716320708
"Adolf_Frederick,_King_of_Sweden",1710,False,77598,1180,159,Adolf Friedrich (Schweden),0.5753698104653281
Roger_Joseph_Boscovich,1711,False,76041,453,366,Rugjer Josip Bošković,0.5725315577503498
Laurence_Sterne,1713,False,77549,789,191,Laurence Sterne,0.570102240451508
Prince_Charles_Alexander_of_Lorraine,1712,False,124680,693,181,Karl Alexander von Lothringen,0.5690310540690894
"Ludwig_IX,_Landgrave_of_Hesse-Darmstadt",1719,False,92321,782,165,Ludwig IX. (Hessen-Darmstadt),0.5659335457840192
Thomas_Chippendale,1718,False,63665,1837,104,Thomas Chippendale,0.5655879362194529
Ernst_Gideon_Freiherr_von_Laudon,1717,False,67881,730,182,Gideon Ernst von Laudon,0.563949169057411
"John_Montagu,_4th_Earl_of_Sandwich",1718,False,49707,1115,130,"John Montagu, 4. Earl of Sandwich",0.5592340366160033
Claude_Adrien_Helvétius,1715,False,88401,427,232,Claude Adrien Helvétius,0.5567105202762983
"Charles_I,_Duke_of_Brunswick-Wolfenbüttel",1713,False,61204,651,156,Karl I. (Braunschweig-Wolfenbüttel),0.5526812417563639
Johann_Stamitz,1717,False,52971,782,134,Johann Stamitz,0.5505830007304577
Niccolò_Jommelli,1714,False,89041,494,169,Niccolò Jommelli,0.5505357967130354
Ewald_Christian_von_Kleist,1715,False,57098,498,184,Ewald Christian von Kleist,0.5489703109029296
"Frederick,_Margrave_of_Brandenburg-Bayreuth",1711,False,66906,628,136,Friedrich III. (Brandenburg-Bayreuth),0.546881302151917
Junípero_Serra,1713,False,55919,602,132,Junípero Serra,0.5421598507455767
Maria_Gaetana_Agnesi,1718,False,61867,332,217,Maria Gaetana Agnesi,0.5404269853464418
Horace_Walpole,1717,False,61137,449,153,"Horace Walpole, 4. Earl of Orford",0.5390184422421894
Marie-Angélique_Memmie_Le_Blanc,1712,False,44379,751,110,Marie-Angélique Memmie LeBlanc,0.5386119582331772
Ferdinand_VI_of_Spain,1713,False,83241,610,108,Ferdinand VI. (Spanien),0.5383883811682194
Sebastian_Sailer,1714,False,82186,350,176,Sebastian Sailer,0.5382512412563297
Joseph_I_of_Portugal,1714,False,47822,520,140,Joseph I. (Portugal),0.5378122375379631
Baron_Franz_von_der_Trenck,1711,False,43850,643,119,Franz von der Trenck,0.5370558118481634
Adam_Friedrich_Oeser,1717,False,73599,499,126,Adam Friedrich Oeser,0.5369914942091129
Étienne_Bonnot_de_Condillac,1714,False,58858,533,125,Étienne Bonnot de Condillac,0.5364217682340836
Thomas_Hutchinson_(governor),1711,False,110711,163,409,Thomas Hutchinson (Gouverneur),0.5337539933473606
Jacob_Christian_Schäffer,1718,False,96467,308,167,Jacob Christian Schäffer,0.5329766620887669
András_Hadik,1710,False,57001,392,149,Andreas Hadik von Futak,0.532290769874733
"William_IV,_Prince_of_Orange",1711,False,61199,688,92,Wilhelm IV. (Oranien),0.5315153808581728
William_Cullen,1710,False,55910,601,103,William Cullen,0.5314427630698609
George_Whitefield,1714,False,49866,395,145,George Whitefield,0.5300177955050643
Friedrich_Karl_Joseph_von_Erthal,1719,False,65797,395,131,Friedrich Karl Joseph von Erthal,0.5291272202435023
Mustafa_III,1717,False,57350,495,112,Mustafa III.,0.5290329234687493
Princess_Philippine_Charlotte_of_Prussia,1716,False,47954,666,92,Philippine Charlotte von Preußen,0.5277968124034226
Francesco_Guardi,1712,False,50533,417,123,Francesco Guardi,0.5256339723073812
Abraham_Roentgen,1711,False,57554,417,117,Abraham Roentgen,0.5250347663103816
"Charles_William_Frederick,_Margrave_of_Brandenburg-Ansbach",1712,False,47644,511,104,Karl Wilhelm Friedrich (Brandenburg-Ansbach),0.5248468856355943
David_Garrick,1717,False,55037,433,114,David Garrick (Schauspieler),0.5247798815562456
Johann_Andreas_Silbermann,1712,False,64196,347,133,Johann Andreas Silbermann,0.5247220654299399
Wilhelm_von_Knyphausen,1716,False,43156,905,73,Wilhelm zu Innhausen und Knyphausen,0.5242857749292699
Giovanni_Battista_Guadagnini,1711,False,33852,617,90,Giovanni Battista Guadagnini,0.5204469583216105
Louis-Joseph_de_Montcalm,1712,False,46913,541,87,Louis-Joseph de Montcalm,0.5185906187872165
Capability_Brown,1716,False,43513,627,78,Capability Brown,0.5171720820096672
Infanta_Mariana_Victoria_of_Spain,1718,False,89784,331,103,Maria Anna Viktoria von Spanien,0.516089077791705
Laura_Bassi,1711,False,56080,270,130,Laura Bassi,0.5129300603748376
"Nikolaus_I,_Prince_Esterházy",1714,False,50605,359,101,Nikolaus I. Joseph Esterházy de Galantha,0.5123502597283045
"Étienne_François,_duc_de_Choiseul",1719,False,59065,299,112,Étienne-François de Choiseul,0.5115824402366073
Princess_Augusta_of_Saxe-Gotha,1719,False,48853,548,73,Augusta von Sachsen-Gotha-Altenburg,0.5112301484984286
Abraham_Gotthelf_Kästner,1719,False,56497,294,114,Abraham Gotthelf Kästner,0.5111963359958708
Johann_David_Michaelis,1717,False,56642,287,111,Johann David Michaelis,0.509273900783546
Gottfried_August_Homilius,1714,False,48204,506,73,Gottfried August Homilius,0.5086566998239915
Duke_Anthony_Ulrich_of_Brunswick,1714,False,47340,402,85,Anton Ulrich von Braunschweig-Wolfenbüttel,0.5080970629450074
Georg_Christoph_Wagenseil,1715,False,42727,362,92,Georg Christoph Wagenseil,0.5069127243952334
Johann_Heinrich_Gottlob_Justi,1717,False,60960,285,103,Johann Heinrich Gottlob von Justi,0.5067739595269208
"Luc_de_Clapiers,_marquis_de_Vauvenargues",1715,False,44989,432,79,"Luc de Clapiers, Marquis de Vauvenargues",0.5066261122897261
Johann_Gottlob_Leidenfrost,1715,False,43969,277,112,Johann Gottlob Leidenfrost,0.5056611124014909
Kristijonas_Donelaitis,1714,False,60340,192,152,Kristijonas Donelaitis,0.5054437207584456
Princess_Friederike_Luise_of_Prussia,1714,False,48658,480,69,Friederike Luise von Preußen,0.5044463884038111
Percivall_Pott,1714,False,97467,377,69,Percivall Pott,0.5034788905186368
Prince_Moritz_of_Anhalt-Dessau,1712,False,43852,338,89,Moritz von Anhalt-Dessau,0.503431669116495
Francesco_Algarotti,1712,False,60875,223,120,Francesco Algarotti,0.5032601269063308
Charlotte_Sophie_of_Aldenburg,1715,False,81626,193,129,Charlotte Sophie Bentinck,0.5028224142227404
"Frederick_August_I,_Duke_of_Oldenburg",1711,False,73915,343,77,Friedrich August (Oldenburg),0.50281646824743
Luise_Gottsched,1713,False,43379,302,96,Luise Adelgunde Victorie Gottsched,0.5025277200925935
"John_Stuart,_3rd_Earl_of_Bute",1713,False,63129,228,108,"John Stuart, 3. Earl of Bute",0.5004964068120455
"Jeffrey_Amherst,_1st_Baron_Amherst",1717,False,56887,275,92,"Jeffrey Amherst, 1. Baron Amherst",0.5001611379876868
"Victor-François,_2nd_duc_de_Broglie",1718,False,46282,258,99,Victor-François de Broglie,0.4987085107755106
"Louis_François,_Prince_of_Conti",1717,False,52624,197,126,"Louis François I. de Bourbon, prince de Conti",0.49858395816873813
Guillaume_Thomas_François_Raynal,1713,False,52798,250,97,Guillaume Thomas François Raynal,0.49804703480698126
Claude_Bourgelat,1712,False,112800,232,87,Claude Bourgelat,0.49780590094635874
James_Lind,1716,False,57869,442,61,James Lind,0.49765460092594915
Thomas_Gray,1716,False,45274,263,95,Thomas Gray,0.4975416663115352
Johann_Joachim_Spalding,1714,False,53622,260,91,Johann Joachim Spalding,0.497071148248248
Lorenz_Christoph_Mizler,1711,False,73366,204,105,Lorenz Christoph Mizler,0.4964338730497344
Lewis_Nicola,1717,False,83093,178,118,Lewis Nicola,0.4963385092854036
Peter_III_of_Portugal,1717,False,41076,291,84,Peter III. (Portugal),0.4951030427815704
Thomas_Reid,1710,False,46711,259,88,Thomas Reid,0.4941815337419687
Count_Johann_Hartwig_Ernst_von_Bernstorff,1712,False,52229,270,81,Johann Hartwig Ernst von Bernstorff,0.49332059070533796
Claude_Joseph_Vernet,1714,False,47679,322,71,Claude Joseph Vernet,0.4927499665995058
Johann_Gottlieb_Gleditsch,1714,False,56291,164,124,Johann Gottlieb Gleditsch (Botaniker),0.4910030027656019
Sayat-Nova,1712,False,43892,197,104,Sayat Nova,0.48973533029974836
Philipp_Gotthard_von_Schaffgotsch,1716,False,49543,186,107,Philipp Gotthard von Schaffgotsch,0.4896890927317484
Jean-Joseph_de_Mondonville,1711,False,44359,186,110,Jean-Joseph Cassanéa de Mondonville,0.4896220074264592
Christian_Wilhelm_Ernst_Dietrich,1712,False,51324,235,82,Christian Wilhelm Ernst Dietrich,0.4886243376600881
Gottfried_Achenwall,1719,False,49680,212,88,Gottfried Achenwall,0.48732571886048964
"Charles,_Prince_of_Soubise",1715,False,40978,224,87,"Charles de Rohan, prince de Soubise",0.4870573760093539
Christian_Mayer_(astronomer),1719,False,46092,175,107,Christian Mayer (Physiker),0.48650867847702994
Marie-Anne_de_Mailly-Nesle_duchess_de_Châteauroux,1717,False,47962,592,43,Marie-Anne de Mailly-Nesle,0.48574584990268216
Ignaz_Holzbauer,1711,False,45961,253,73,Ignaz Holzbauer,0.48530471363684946
Nicolas_Louis_de_Lacaille,1713,False,56099,145,118,Nicolas-Louis de Lacaille,0.48393229862955695
George_Grenville,1712,False,55314,189,88,George Grenville,0.48390091377773625
Gottlieb_Heinrich_Totleben,1715,False,60575,128,134,Gottlob Curt Heinrich von Tottleben,0.4833729750669363
Charles-Michel_de_l'Épée,1712,False,43797,259,69,Charles-Michel de l’Epée,0.4832051468789699
Georg_Matthias_Monn,1717,False,43181,221,78,Matthias Georg Monn,0.4826191995417277
Johann_Georg_Wille,1715,False,53687,182,89,Johann Georg Wille,0.48257838557542926
Johann_Gottfried_Bernhard_Bach,1715,False,35397,281,60,Johann Gottfried Bernhard Bach,0.4776091894841269
Princess_Elisabeth_Albertine_of_Saxe-Hildburghausen,1713,False,40698,331,52,Elisabeth Albertine von Sachsen-Hildburghausen,0.47741415630685496
Franz_Wilhelm_Rabaliatti,1716,False,84805,127,104,Franz Wilhelm Rabaliatti,0.47728630762935376
Sidonia_Hedwig_Zäunemann,1711,False,44962,167,86,Sidonia Hedwig Zäunemann,0.4761749463368002
Alexis_Clairaut,1713,False,53438,135,103,Alexis-Claude Clairaut,0.4756071383943036
Johann_Elias_Schlegel,1719,False,45133,227,64,Johann Elias Schlegel,0.47554805977700504
Christoph_Anton_Migazzi,1714,False,49789,163,84,Christoph Anton von Migazzi,0.47523915806260386
William_Watson_(scientist),1715,False,74259,205,62,William Watson (Wissenschaftler),0.47490149675408033
Louis-Jean-Marie_Daubenton,1716,False,53886,126,107,Louis Jean-Marie Daubenton,0.47400180740734404
Princess_Amelia_of_Great_Britain,1711,False,52202,278,51,"Amelia Sophie von Großbritannien, Irland und Hannover",0.47321323645224955
Charles_Batteux,1713,False,43678,217,62,Charles Batteux,0.47224477200312903
Joanna_Elisabeth_of_Holstein-Gottorp,1712,False,69849,332,42,Johanna Elisabeth von Schleswig-Holstein-Gottorf,0.47138851100840395
Étienne_Maurice_Falconet,1716,False,44533,203,62,Étienne-Maurice Falconet,0.4700381483023614
Georg_Friedrich_Schmidt,1712,False,130477,107,96,Georg Friedrich Schmidt,0.4700337575340878
Marc-Antoine_Laugier,1713,False,39873,255,53,Marc-Antoine Laugier,0.4697601768260041
Johann_Heinrich_Rolle,1716,False,43491,190,64,Johann Heinrich Rolle,0.46878868415398206
John_Stanley_(composer),1712,False,34121,224,58,John Stanley,0.46806539927445345
Emer_de_Vattel,1714,False,47380,181,63,Emer de Vattel,0.46709229999485313
Thomas_Simpson,1710,False,41936,190,62,Thomas Simpson (Mathematiker),0.46708907818211504
Henry_Ernest_of_Stolberg-Wernigerode,1716,False,40043,146,80,Heinrich Ernst zu Stolberg-Wernigerode,0.4669239141565818
Joseph-Marie_Vien,1716,False,43060,223,54,Joseph-Marie Vien,0.46682144456000413
"Paul_II_Anton,_Prince_Esterházy",1711,False,36673,178,67,Paul II. Anton Esterházy de Galantha,0.46673015519295924
Count_Karl-Wilhelm_Finck_von_Finckenstein,1714,False,45764,204,57,Karl Wilhelm von Finckenstein,0.46672912690511503
Isaac_de_Pinto,1717,False,46846,116,97,Isaac de Pinto,0.46567537630108474
