link,year,disambiguation,length,pageviews,revisions,title,score
George_Kastrioti,1405,False,469356,19476,5580,Skanderbeg,0.8193203936867104
Gilles_de_Rais,1404,False,112761,35632,1745,Gilles de Rais,0.7697733453152122
John_Hunyadi,1406,False,306132,8277,3454,John Hunyadi,0.7691916630134848
Constantine_XI,1405,False,174082,17925,1244,Constantine XI Palaiologos,0.748100739564729
Charles_VII_of_France,1403,False,209120,17462,809,Charles VII of France,0.7339243591542823
Leon_Battista_Alberti,1404,False,130485,12346,936,Leon Battista Alberti,0.7222107526334304
Tommaso_Masaccio,1401,False,99730,10519,942,Masaccio,0.7132525302984254
Catherine_of_Valois,1401,False,158526,14063,520,Catherine of Valois,0.7053166160922858
Rogier_van_der_Weyden,1400,False,143632,6222,772,Rogier van der Weyden,0.6973399128277199
Annamacharya,1408,False,84239,7047,678,Annamacharya,0.6870467189656481
Owen_Tudor,1400,False,115573,9274,476,Owen Tudor,0.6857538007533842
Pope_Pius_II,1405,False,195399,6570,464,Pope Pius II,0.6836358242065412
Murad_II,1404,False,98499,10059,451,Murad II,0.6829241974040212
"Humphrey_Stafford,_1st_Duke_of_Buckingham",1402,False,277690,2946,719,"Humphrey Stafford, 1st Duke of Buckingham",0.6812670575800288
Nicholas_of_Cusa,1401,False,199152,4554,476,Nicholas of Cusa,0.6744554428741474
René_of_Anjou,1409,False,181429,3945,416,René of Anjou,0.6634036758845465
"Richard_Neville,_5th_Earl_of_Salisbury",1400,False,135493,4240,263,"Richard Neville, 5th Earl of Salisbury",0.6417217411068595
John_II_of_Castile,1405,False,134457,4236,227,John II of Castile,0.6348929439709914
Lorenzo_Valla,1407,False,77119,3023,305,Lorenzo Valla,0.6305233343486364
"John_Beaufort,_1st_Duke_of_Somerset",1404,False,124607,5055,191,"John Beaufort, 1st Duke of Somerset",0.6302392269675839
Francesco_I_Sforza,1401,False,64488,3117,257,Francesco I Sforza,0.621577350168464
Elizabeth_of_Luxembourg,1409,False,153872,1296,307,Elizabeth of Luxembourg,0.6139276986064431
"Jacqueline,_Countess_of_Hainaut",1401,False,132238,1513,271,"Jacqueline, Countess of Hainaut",0.6121849987655386
Basilios_Bessarion,1403,False,93082,1398,239,Basilios Bessarion,0.6000529004462065
Marie_of_Anjou,1404,False,110301,1950,168,Marie of Anjou,0.5970381358452992
Luca_della_Robbia,1400,False,69942,2259,163,Luca della Robbia,0.5938468430564251
Demetrios_Palaiologos,1407,False,104954,1197,202,Demetrios Palaiologos,0.5897362781132341
"Fernando,_the_Saint_Prince",1402,False,246046,634,211,Ferdinand the Holy Prince,0.5792560306790814
"Isabella,_Duchess_of_Lorraine",1400,False,47244,1204,192,"Isabella, Duchess of Lorraine",0.5774714893194467
Emperor_Shōkō,1401,False,74861,1291,144,Emperor Shōkō,0.5732413134902881
Jean_de_Dunois,1402,False,53053,1710,131,Jean de Dunois,0.5724943101816612
"John,_Lord_of_Reguengos_de_Monsaraz",1400,False,133144,811,158,"John, Constable of Portugal",0.56946691190763
"Eleanor_of_Aragon,_Queen_of_Portugal",1402,False,133168,1104,111,"Eleanor of Aragon, Queen of Portugal",0.5631441447223454
"Eleanor_of_Aragon,_Queen_of_Portugal",1402,False,133168,1104,111,"Eleanor of Aragon, Queen of Portugal",0.5631441447223454
"Leonello_d'Este,_Marquis_of_Ferrara",1407,False,136513,478,205,"Leonello d'Este, Marquis of Ferrara",0.5613338515115041
1409,1408,False,73328,688,159,1409,0.5574456404163807
"John_de_Vere,_12th_Earl_of_Oxford",1408,False,65496,1029,122,"John de Vere, 12th Earl of Oxford",0.5574073939806266
"James_Tuchet,_5th_Baron_Audley",1400,False,43810,670,177,"James Tuchet, 5th Baron Audley",0.5545192905382363
"Isabella_of_Urgell,_Duchess_of_Coimbra",1409,False,119773,388,214,"Isabella of Urgell, Duchess of Coimbra",0.553403494912835
"Jean_II,_Duke_of_Alençon",1409,False,101248,1056,96,"Jean II, Duke of Alençon",0.5517877274384053
"Charles_I,_Duke_of_Bourbon",1401,False,44129,1118,113,"Charles I, Duke of Bourbon",0.5514666538185886
"John_Sutton,_1st_Baron_Dudley",1400,False,39426,907,132,"John Sutton, 1st Baron Dudley",0.5508158840977507
"Maria_of_Castile,_Queen_of_Aragon",1401,False,125007,457,166,"Maria of Castile, Queen of Aragon",0.5506209277032074
"Albert_III,_Duke_of_Bavaria",1401,False,99376,716,102,"Albert III, Duke of Bavaria",0.5427815788822332
Thomas_de_Littleton,1407,False,79069,450,155,Thomas de Littleton,0.5424722279527351
"John_FitzAlan,_14th_Earl_of_Arundel",1408,False,87934,629,107,"John FitzAlan, 14th Earl of Arundel",0.5395498257432721
"John_FitzAlan,_14th_Earl_of_Arundel",1408,False,87934,629,107,"John FitzAlan, 14th Earl of Arundel",0.5395498257432721
John_IV_of_Trebizond,1403,False,64243,593,117,John IV of Trebizond,0.5381414414379685
Bernardo_Rossellino,1409,False,60023,676,108,Bernardo Rossellino,0.5380653804552601
Anne_of_Burgundy,1404,False,99880,730,91,Anne of Burgundy,0.5380432920833453
"Joan_of_Valois,_Duchess_of_Alençon",1409,False,85642,649,82,"Joan of Valois, Duchess of Alençon",0.5278345383915438
Louis_III_of_Naples,1403,False,51519,413,91,Louis III of Naples,0.5128826538700034
"Ulrich_II,_Count_of_Celje",1406,False,49300,413,90,"Ulrich II, Count of Celje",0.5119327813116139
Robert_Wingfield,1403,False,40722,467,82,Robert Wingfield,0.5097247262199371
"John,_Margrave_of_Brandenburg-Kulmbach",1406,False,99162,731,50,"John, Margrave of Brandenburg-Kulmbach",0.5067784827802402
"John_IV,_Duke_of_Brabant",1403,False,103621,435,63,"John IV, Duke of Brabant",0.5042323767905454
"Thomas_de_Ros,_8th_Baron_de_Ros",1406,False,89754,291,81,"Thomas de Ros, 8th Baron de Ros",0.5011266290744414
Guy_XIV_de_Laval,1406,False,61339,358,74,Guy XIV de Laval,0.5006549166121905
Helene_Kottanner,1400,False,49924,159,175,Helene Kottanner,0.49993471716307436
"Louis_I,_Landgrave_of_Hesse",1402,False,100383,642,46,"Louis I, Landgrave of Hesse",0.49859715375175895
"Margaret,_Countess_of_Vertus",1406,False,102336,271,78,"Margaret, Countess of Vertus",0.4980704332649037
"John_Stourton,_1st_Baron_Stourton",1400,False,38866,340,80,"John Stourton, 1st Baron Stourton",0.49777802358322315
Ashikaga_Yoshikazu,1407,False,99182,248,84,Ashikaga Yoshikazu,0.49772763647949714
"Isabel_le_Despenser,_Countess_of_Worcester",1400,False,90834,571,47,"Isabel le Despenser, Countess of Worcester",0.49567291052540224
"Louis_I,_Count_of_Montpensier",1405,False,37781,408,64,"Louis I, Count of Montpensier",0.49321791354453937
"Philip_I,_Duke_of_Brabant",1404,False,92662,311,63,"Philip I, Duke of Brabant",0.49223780790885857
Alessandro_Sforza,1409,False,40145,497,51,Alessandro Sforza,0.48841249165084333
Yamana_Sōzen,1404,False,40889,457,51,Yamana Sōzen,0.48618315730389194
"Jacob,_Margrave_of_Baden-Baden",1407,False,38311,385,56,"Jacob, Margrave of Baden-Baden",0.4851310056624414
Jadwiga_of_Lithuania,1408,False,43791,273,68,Hedwig Jagiellon (1408–1431),0.4843786015869955
"Henry_Beaufort,_2nd_Earl_of_Somerset",1401,False,30725,565,41,"Henry Beaufort, 2nd Earl of Somerset",0.47744782889600457
Thomas_Tuddenham,1401,False,64434,191,69,Thomas Tuddenham,0.4757136701663826
"Gilbert_Kennedy,_1st_Lord_Kennedy",1405,False,30976,403,44,"Gilbert Kennedy, 1st Lord Kennedy",0.47212587907342074
Philip_Courtenay_(died_1463),1404,False,52753,140,84,Philip Courtenay (died 1463),0.46954943483239053
"Marguerite,_bâtarde_de_France",1407,False,28808,306,43,"Marguerite, bâtarde de France",0.46217094032348716
Alain_de_Coëtivy,1407,False,33308,168,51,Alain de Coëtivy,0.4519821146418747
"Elisabeth_of_Brandenburg,_Duchess_of_Brzeg-Legnica_and_Cieszyn",1403,False,39517,147,49,"Elisabeth of Brandenburg, Duchess of Brzeg-Legnica and Cieszyn",0.44682774165128136
"Louis_VIII,_Duke_of_Bavaria",1403,False,33227,178,43,"Louis VIII, Duke of Bavaria",0.44612956986320756
Martin_of_Aragon_(heir_of_Sicily),1406,False,105505,86,36,Martin of Aragon (heir of Sicily),0.41917210695602747
Hans_Multscher,1400,False,43949,278,20,Hans Multscher,0.41867233676633037
Ichijō_Kaneyoshi,1402,False,37347,94,32,Ichijō Kaneyoshi,0.41019690271366344
Cecilia_of_Brandenburg,1405,False,34933,175,21,Cecilia of Brandenburg,0.40757948017993156
Katharina_of_Hanau,1408,False,70433,104,20,Katharina of Hanau,0.3932351343059359
Thomas_St_Clere,1401,False,49992,106,17,Thomas St Clere,0.3821100458763509
"William,_Margrave_of_Hachberg-Sausenberg",1406,False,42110,108,17,"William, Margrave of Hachberg-Sausenberg",0.38165542549447695
"Agnes_of_Baden,_Countess_of_Holstein-Rendsburg",1408,False,29796,90,15,"Agnes of Baden, Countess of Holstein-Rendsburg",0.36629634558737917
