link,year,disambiguation,length,pageviews,revisions,title,score
Urraca_of_Castile,1082,False,148451,6114,432,Urraca I de León,0.6745169912884709
Ramiro_II_of_Aragon,1086,False,119312,2243,373,Ramiro II de Aragón,0.6359590015752487
David_I_of_Scotland,1084,False,206438,725,316,David I de Escocia,0.5977157780092648
Louis_VI_of_France,1081,False,58082,1386,124,Luis VI de Francia,0.5652920680288436
"Teresa_of_León,_Countess_of_Portugal",1080,False,53890,742,93,Teresa de León,0.5328798559914324
John_II_Komnenos,1087,False,53983,459,89,Juan II Comneno,0.5158834157268462
Abbot_Suger,1081,False,40322,658,57,Suger,0.5021162530939922
1081,1086,False,51031,147,116,1081,0.48304613660056467
Bolesław_III_Wrymouth,1086,False,50389,191,71,Boleslao III de Polonia,0.47472523263321315
Anna_Komnene,1083,False,63495,456,35,Ana Comneno,0.4694284564744951
Irene_of_Hungary,1088,False,46054,202,54,Piroska de Hungría,0.4639867280524028
Emperor_Huizong_of_Song,1082,False,41219,161,40,Song Huizong,0.44103044127500457
Li_Qingzhao,1084,False,42486,110,20,Li Qingzhao,0.3919541219793089
Zhang_Zeduan,1085,False,28400,136,5,Zhang Zeduan,0.2859563903556807
Alberich_of_Reims,1085,False,29086,0,3,Albéric de Reims,0.09825480996396145
Adolf_III_of_Berg,1080,,1,1,1,?,0.05448825167540282
Florine_of_Burgundy,1083,,1,1,1,?,0.05448825167540282
Han_Shizhong,1089,,1,1,1,?,0.05448825167540282
Robert_fitz_Martin,1085,,1,1,1,?,0.05448825167540282
"Raoul_I,_Count_of_Vermandois",1085,,1,1,1,?,0.05448825167540282
Dahui_Zonggao,1089,,1,1,1,?,0.05448825167540282
Empress_Wang_(Huizong),1084,,1,1,1,?,0.05448825167540282
