link,year,disambiguation,length,pageviews,revisions,title,score
Sandro_Botticelli,1445,False,145803,22113,1268,Sandro Botticelli,0.7510669459759075
Pope_Julius_II,1443,False,107886,7905,356,Julio II,0.6681336452117724
Lorenzo_de'_Medici,1449,False,79779,10447,323,Lorenzo de Médici,0.665841439173282
Edward_IV_of_England,1442,False,149861,7054,263,Eduardo IV de Inglaterra,0.6564942532279515
Matthias_Corvinus,1443,False,476823,1417,304,Matías Corvino,0.6298684887759086
Donato_Bramante,1444,False,65470,4027,196,Donato d'Angelo Bramante,0.6166025307590792
Pietro_Perugino,1446,False,149634,1933,190,Pietro Perugino,0.6061566033479845
Domenico_Ghirlandaio,1449,False,124918,2174,176,Domenico Ghirlandaio,0.6038369466985033
Ivan_III_of_Russia,1440,False,67293,1848,167,Iván III de Rusia,0.5888611845391135
Vannozza_dei_Cattanei,1442,False,41574,2041,102,Vannozza Cattanei,0.5618517469513555
Aldus_Manutius,1449,False,69049,872,149,Aldo Manucio,0.5617492633969602
Alphonso_II_of_Naples,1448,False,53226,1419,73,Alfonso II de Nápoles,0.5385387609467677
"George_Plantagenet,_1st_Duke_of_Clarence",1449,False,103404,606,65,Jorge de Clarence,0.516005708792082
1441,1443,False,51671,298,103,1441,0.5067289607572366
Paolo_da_San_Leocadio,1447,False,39837,351,57,Paolo de San Leocadio,0.4835181231393903
Galeazzo_Maria_Sforza,1444,False,52454,321,57,Galeazo María Sforza,0.48332319026829373
Catherine_of_Genoa,1447,False,44414,325,50,Catalina de Génova,0.4757269595010253
Hartmann_Schedel,1440,False,58513,213,60,Hartmann Schedel,0.47275770317906707
"Albert_III,_Duke_of_Saxony",1443,False,47037,139,81,Alberto III de Sajonia-Meissen,0.46685186855671257
Margaret_of_York,1446,False,94164,449,30,Margarita de York,0.4628694342864245
Charlotte_of_Savoy,1441,False,47286,240,43,Carlota de Saboya (1441-1483),0.4591127305841402
Magdalena_of_France,1443,False,34433,196,42,Magdalena de Francia,0.44855575684044574
"Ernest,_Elector_of_Saxony",1441,False,38445,120,56,Ernesto de Sajonia,0.44454107590793984
Piero_del_Pollaiolo,1443,False,45885,130,48,Piero Pollaiuolo,0.4425397114996418
"Albert_IV,_Duke_of_Bavaria",1447,False,42266,119,47,Alberto IV de Baviera,0.43756768332345364
"Charles_de_Valois,_Duke_de_Berry",1446,False,33204,437,23,"Carlos de Valois, Duque de Berry",0.43680703744860244
Giovanni_Antonio_Amadeo,1447,False,44894,175,31,Giovanni Antonio Amadeo,0.4315644528647203
Alexander_Agricola,1446,False,35385,119,37,Alexander Agricola,0.42535168673407514
"Federico_I_Gonzaga,_Marquess_of_Mantua",1441,False,40148,107,34,Federico I Gonzaga,0.4184207055730587
"Anthony_Woodville,_2nd_Earl_Rivers",1442,False,49604,151,26,Antonio Woodville,0.4179992828557211
Philippe_de_Commines,1447,False,54700,101,33,Philippe de Commines,0.4170564186703505
Tamás_Bakócz,1442,False,42758,82,41,Tomás Bakócz,0.4169178761774145
Domenico_Gagini,1449,False,46295,62,54,Domenico Gagini,0.4160944680144099
Emperor_Go-Tsuchimikado,1442,False,37024,104,30,Go-Tsuchimikado Tennō,0.410737833272149
Bayezid_II,1447,False,48164,38,88,Bayezid II,0.4065783206321087
Chenghua_Emperor,1447,False,35754,97,21,Chenghua,0.38948157811342066
Albert_Brudzewski,1445,False,35712,42,44,Albert Brudzewski,0.3881550350328511
Lucas_Watzenrode,1447,False,36447,89,21,Lucas Watzenrode,0.3866986518083466
"Edmund,_Earl_of_Rutland",1443,False,95614,95,18,Edmundo de York,0.38573232723226164
Catherine_of_Poděbrady,1449,False,34488,76,20,Catalina Podiebrad,0.3782370969760028
"Elizabeth_of_York,_Duchess_of_Suffolk",1444,False,90709,127,14,"Isabel de York, Duquesa de Suffolk",0.37807363521425225
Nannina_de'_Medici,1448,False,33478,98,15,Nannina de Médici,0.3695660765510341
"Nicholas_I,_Duke_of_Lorraine",1448,False,29751,65,17,Nicolás de Lorena,0.363000961525109
Johann_Geiler_von_Kaisersberg,1445,False,41945,46,19,Juan Geiler de Kaisersberg,0.35783536513693265
Bona_of_Savoy,1449,False,90604,91,11,Bona de Saboya,0.3516276673088622
"John_de_Vere,_13th_Earl_of_Oxford",1442,False,37362,47,13,"John de Vere, XIII conde de Oxford",0.33756744000149635
Francesco_Gonzaga_(1444–1483),1444,False,36860,61,10,Francesco Gonzaga (1444-1483),0.32926778124946193
Ali-Shir_Nava'i,1441,False,102215,65,9,Ali-Shir Nava'i,0.32782261101894666
"Elisabeth_of_Bavaria,_Electress_of_Saxony",1443,False,35966,55,10,Isabel de Baviera (1443-1486),0.3260471063331298
"Philip,_Elector_Palatine",1448,False,45535,61,9,Felipe del Palatinado,0.3227415228647204
Ippolita_Maria_Sforza,1446,False,40081,98,7,Hipólita María Sforza,0.31383874434140857
Piero_Capponi,1447,False,27758,40,3,Piero Capponi,0.20901865559031213
Clara_Tott,1440,False,36629,0,18,Clara Tott,0.12102428515673391
Danjong_of_Joseon,1441,False,46586,0,7,Danjong de Joseon,0.11338457590787718
"Eberhard_I,_Duke_of_Württemberg",1445,False,52083,0,5,Everardo V de Wurtemberg,0.10896012229885095
Lodovico_Lazzarelli,1447,False,36861,0,5,Ludovico Lazzarelli,0.10879002961331896
"Eberhard_II,_Duke_of_Württemberg",1447,False,97250,0,3,Everardo VI de Wurtemberg,0.09872499062324203
John_III_of_Nassau-Weilburg,1441,,1,1,1,?,0.05448825167540282
Asakura_Ujikage,1449,,1,1,1,?,0.05448825167540282
"Henry,_Count_of_Württemberg",1448,,1,1,1,?,0.05448825167540282
Andrey_Bolshoy,1446,,1,1,1,?,0.05448825167540282
Adolf_III_of_Nassau-Wiesbaden-Idstein,1443,,1,1,1,?,0.05448825167540282
Wiguleus_Fröschl_of_Marzoll,1445,,1,1,1,?,0.05448825167540282
"Marie_of_Savoy,_Countess_of_Saint-Pol",1448,,1,1,1,?,0.05448825167540282
Ilham_Ghali_of_Kazan,1449,,1,1,1,?,0.05448825167540282
Dorotea_Gonzaga,1449,,1,1,1,?,0.05448825167540282
"Victor,_Duke_of_Münsterberg",1443,,1,1,1,?,0.05448825167540282
"Hedwig,_Abbess_of_Quedlinburg",1445,,1,1,1,?,0.05448825167540282
"Otto_III,_Duke_of_Pomerania",1444,,1,1,1,?,0.05448825167540282
Boček_IV_of_Poděbrady,1442,,1,1,1,?,0.05448825167540282
Adriana_of_Nassau-Dillenburg,1449,,1,1,1,?,0.05448825167540282
Jean_IV_de_Rieux,1447,,1,1,1,?,0.05448825167540282
Henry_IV_of_Neuhaus,1442,,1,1,1,?,0.05448825167540282
"Philipp_I,_Count_of_Hanau-Münzenberg",1449,,1,1,1,?,0.05448825167540282
Baeda_Maryam_of_Ethiopia,1448,,1,1,1,?,0.05448825167540282
Frederick_I_of_Liegnitz,1446,,1,1,1,?,0.05448825167540282
"John_de_Mowbray,_4th_Duke_of_Norfolk",1444,,1,1,1,?,0.05448825167540282
Srimanta_Sankardeva,1449,,1,1,1,?,0.05448825167540282
Muhammad_Jaunpuri,1443,,1,1,1,?,0.05448825167540282
"John_de_la_Pole,_2nd_Duke_of_Suffolk",1442,,1,1,1,?,0.05448825167540282
Nilakantha_Somayaji,1444,,1,1,1,?,0.05448825167540282
"Charlotte,_Queen_of_Cyprus",1444,,1,1,1,?,0.05448825167540282
Mandukhai_Khatun,1449,,1,1,1,?,0.05448825167540282
"Archibald_Douglas,_5th_Earl_of_Angus",1449,,1,1,1,?,0.05448825167540282
Ahmad_Zarruq,1442,,1,1,1,?,0.05448825167540282
Nicolas_Chuquet,1445,,1,1,1,?,0.05448825167540282
Giovanni_II_Bentivoglio,1443,,1,1,1,?,0.05448825167540282
"Anne_de_Beauchamp,_15th_Countess_of_Warwick",1443,,1,1,1,?,0.05448825167540282
