link,year,disambiguation,length,pageviews,revisions,title,score
"Philip_II,_Duke_of_Burgundy",1342,False,588684,3892,901,Philippe II de Bourgogne,0.7092075274843055
Catherine_of_Siena,1347,False,416827,3541,935,Catherine de Sienne,0.702592947408253
"John,_Duke_of_Berry",1340,False,251930,1744,317,Jean Ier de Berry,0.6312003728363584
Geoffrey_Chaucer,1343,False,96695,1530,262,Geoffrey Chaucer,0.6071086618675737
John_of_Gaunt,1340,False,225243,1331,203,Jean de Gand,0.602375889461006
Avignon_Pope_Clement_VII,1342,False,137097,757,215,Clément VII (antipape),0.5800675465147587
Eustache_Deschamps,1346,False,91428,685,138,Eustache Deschamps,0.5539118932075519
Saint_John_of_Nepomuk,1345,False,74933,678,141,Jean Népomucène,0.5522326815203846
John_of_Nepomuk,1340,False,74933,678,141,Jean Népomucène,0.5522326815203846
"John_I,_Count_of_La_Marche",1344,False,106994,999,94,Jean Ier de Bourbon-La Marche,0.5497309365912313
Charles_III_of_Naples,1345,False,85391,456,121,Charles III de Naples,0.533762055427494
1405,1349,False,88541,310,158,1405,0.5303144003677435
Fernando_I_of_Portugal,1345,False,91202,231,154,Ferdinand Ier (roi de Portugal),0.5177650238766002
Edmund_of_Langley,1341,False,171804,341,89,Edmond de Langley,0.5168151286261217
"Enguerrand_VII,_Lord_of_Coucy",1340,False,70017,394,93,Enguerrand VII de Coucy,0.5154147206610273
Levon_V_Lusignan_of_Armenia,1342,False,67691,279,85,Léon VI d'Arménie,0.4990562495706379
Julian_of_Norwich,1342,False,63321,356,58,Julienne de Norwich,0.48924900638347085
Andronikos_IV_Palaiologos,1348,False,143091,179,82,Andronic IV Paléologue,0.4870744313073209
Bonne_of_Bourbon,1341,False,169973,203,49,Bonne de Bourbon,0.4699938808667017
Marie_of_Valois_(1344-1404),1344,False,165665,214,46,Marie de France (1344-1404),0.4685339655201327
Eleanor_of_Arborea,1347,False,52813,126,67,Éléonore d'Arborée,0.4564275210246543
Blanche_of_Lancaster,1345,False,49861,269,37,Blanche de Lancastre,0.4553372105855817
Philip_van_Artevelde,1340,False,44328,179,46,Philippe van Artevelde,0.45198434635864526
Frederick_III_the_Simple,1341,False,46282,162,48,Frédéric III de Sicile,0.4507739254022599
Emperor_Go-Kameyama,1347,False,80685,124,53,Go-Kameyama,0.4494109945582607
Tommaso_Mocenigo,1343,False,69864,83,76,Tommaso Mocenigo,0.44512033049893995
Geert_Groote,1340,False,53958,113,55,Gérard Groote,0.44414006350386576
Elizabeth_of_Pomerania,1347,False,49380,108,53,Élisabeth de Poméranie,0.4400661393695751
Emperor_Chōkei,1343,False,84186,98,50,Chōkei,0.4375870729136194
Mary_Plantagenet,1344,False,153735,120,31,Marie d'Angleterre (1344-1362),0.42701996533883657
Albert_III_of_Austria,1349,False,53929,172,25,Albert III d'Autriche,0.4204525695206029
Margherita_of_Durazzo,1347,False,51404,94,34,Marguerite de Durazzo,0.4153084636080782
Dorothea_of_Montau,1347,False,50546,72,38,Dorothée de Montau,0.40942446070365357
Helen_of_Bosnia,1345,False,48876,62,41,Jelena Gruba,0.40587023622276264
Parameswara_(sultan),1344,False,38037,119,24,Parameswara,0.40400447247101123
Beatrix_of_Bavaria,1344,False,160184,57,32,Béatrice de Bavière,0.39863486854557606
"Hermann_II,_Landgrave_of_Hesse",1341,False,45616,77,27,Hermann II de Hesse,0.3958486822930648
Cansignorio_della_Scala,1340,False,101910,69,26,Cansignorio della Scala,0.39451645664675594
Alberto_d'Este,1347,False,51498,77,24,Alberto V d'Este,0.3907416280420778
"Richardis_of_Schwerin,_Queen_of_Sweden",1347,False,49697,48,30,Richardis de Schwerin,0.38161855304241316
Meinhard_III_of_Gorizia-Tyrol,1344,False,54831,78,18,Meinhard III de Bavière,0.3760386513501902
"William_I,_Margrave_of_Meissen",1343,False,41203,52,22,Guillaume Ier de Misnie,0.3698724764415322
"Margaret_Drummond,_Queen_of_Scotland",1340,False,55044,50,19,Marguerite Drummond,0.36260047996498407
Qu_You,1341,False,50641,45,18,Qu You,0.35521136210528104
Paolo_Alboino_della_Scala,1343,False,81789,56,10,Paolo Alboino della Scala,0.3301334298718221
Nang_Keo_Phimpha,1343,False,31749,30,15,Nang Keo P'imp'a,0.3270343983055987
"Frederick_III,_Duke_of_Austria",1347,False,43777,61,7,Frédéric III d'Autriche,0.3031687412087724
Azzo_X_d'Este,1344,False,33895,33,8,Azzo X d'Este,0.294566823439071
Haakon_VI_of_Norway,1340,False,93640,0,82,Håkon VI,0.1278125396199432
"Henry_Percy,_1st_Earl_of_Northumberland",1341,False,54438,0,60,Henry Percy (1er comte de Northumberland),0.12653427822605984
"John_Hastings,_2nd_Earl_of_Pembroke",1347,False,96552,0,51,Jean de Hastings (2e comte de Pembroke),0.1263364425009325
"Louis,_Duke_of_Durazzo",1341,False,167146,0,19,Louis de Navarre,0.12218333762577326
"Alexander_Stewart,_1st_Earl_of_Buchan",1343,False,78668,0,18,Alexandre Stuart (1er comte de Buchan),0.12147395990521645
"Humphrey_de_Bohun,_7th_Earl_of_Hereford",1342,False,49286,0,10,Humphrey de Bohun (7e comte de Hereford),0.1169790939680383
"Thomas_Percy,_1st_Earl_of_Worcester",1343,False,42281,0,10,Thomas Percy (1er comte de Worcester),0.11689276094866637
Alice_Perrers,1348,,1,1,1,?,0.05448825167540282
Macarius_of_Unzha,1349,,1,1,1,?,0.05448825167540282
"Infanta_Maria,_Marchioness_of_Tortosa",1342,,1,1,1,?,0.05448825167540282
"Eleanor_Maltravers,_2nd_Baroness_Maltravers",1345,,1,1,1,?,0.05448825167540282
"John_FitzAlan,_1st_Baron_Arundel",1348,,1,1,1,?,0.05448825167540282
"Margaret,_Countess_of_Pembroke",1346,,1,1,1,?,0.05448825167540282
"Constance_of_Aragon,_Queen_of_Sicily",1343,,1,1,1,?,0.05448825167540282
John_Trevisa,1342,,1,1,1,?,0.05448825167540282
Narayana_Pandit,1340,,1,1,1,?,0.05448825167540282
