link,year,disambiguation,length,pageviews,revisions,title,score
Charles_de_Gaulle,1890,False,745267,73261,6389,Charles de Gaulle,0.8718997790124343
Alfred_Hitchcock,1899,False,703515,25985,5011,Alfred Hitchcock,0.8324130839053963
Mao_Zedong,1893,False,426179,25752,2233,Mao Zedong,0.7956243233567645
Louis-Ferdinand_Céline,1894,False,333626,30780,2172,Louis-Ferdinand Céline,0.795122658782487
Agatha_Christie,1890,False,396571,28315,1741,Agatha Christie,0.7878229000222482
Francisco_Franco,1892,False,231768,30935,1693,Francisco Franco,0.7793225644411399
Louis_Aragon,1897,False,195369,29146,1854,Louis Aragon,0.7778187508084
René_Magritte,1898,False,185242,21906,1902,René Magritte,0.7700394978237622
Al_Capone,1899,False,186794,31290,1446,Al Capone,0.7696242823119892
J._R._R._Tolkien,1892,False,382037,19554,1396,J. R. R. Tolkien,0.7686297281609183
Joan_Miró,1893,False,432895,13088,1736,Joan Miró,0.7671165299613925
Marcel_Pagnol,1895,False,246927,21044,1476,Marcel Pagnol,0.7651219924462381
Paul_Éluard,1895,False,139059,28111,1449,Paul Éluard,0.7612735604881484
Joseph_Goebbels,1897,False,261740,20967,1148,Joseph Goebbels,0.7565048193865603
Erwin_Rommel,1891,False,373165,10493,1621,Erwin Rommel,0.7555141241521713
Nikita_Khrushchev,1894,False,540601,15343,909,Nikita Khrouchtchev,0.7505248539892636
H._P._Lovecraft,1890,False,384594,12210,1180,Howard Phillips Lovecraft,0.7489360017732748
Ernest_Hemingway,1899,False,226573,23756,886,Ernest Hemingway,0.7469006920973876
Hermann_Göring,1893,False,289065,15421,954,Hermann Göring,0.7426450671106154
André_Breton,1896,False,226185,13779,1087,André Breton,0.7404694561399839
Antonin_Artaud,1896,False,319370,8308,1298,Antonin Artaud,0.7379166719241315
George_VI,1895,False,348334,15170,763,George VI,0.7361584086741637
Dwight_D._Eisenhower,1890,False,361989,11924,843,Dwight D. Eisenhower,0.7341979562569535
Joseph_Kessel,1898,False,143851,13840,1131,Joseph Kessel,0.7341081398754138
Jean_Piaget,1896,False,204965,12966,772,Jean Piaget,0.7238281586899958
Sergei_Prokofiev,1891,False,118897,8637,1254,Sergueï Prokofiev,0.7210425025445462
Norman_Rockwell,1894,False,88433,15715,906,Norman Rockwell,0.7201828502489566
Rudolf_Hess,1894,False,233581,9610,809,Rudolf Hess,0.7195387819833791
1981,1890,False,303590,5780,1079,1981,0.7191657581355594
Pope_Paul_VI,1897,False,441722,5860,886,Paul VI,0.7179475987471463
Josip_Broz_Tito,1892,False,254214,9120,732,Josip Broz Tito,0.7154622226873644
Edward_VIII,1894,False,370301,9251,587,Édouard VIII,0.7125258489896614
Aldous_Huxley,1894,False,161045,12748,603,Aldous Huxley,0.7093184220293762
Bertolt_Brecht,1898,False,140841,10111,732,Bertolt Brecht,0.7087070089097155
Ho_Chi_Minh,1890,False,193975,9340,668,Hô Chi Minh,0.7081952539687055
Federico_García_Lorca,1898,False,138470,9445,734,Federico García Lorca,0.706663947783856
Friedrich_Hayek,1899,False,234045,5511,846,Friedrich Hayek,0.704827201830677
George_Gershwin,1898,False,161389,7094,804,George Gershwin,0.7045921323406854
Jorge_Luis_Borges,1899,False,171416,6989,782,Jorge Luis Borges,0.7040963735124302
Max_Ernst,1891,False,137005,7838,687,Max Ernst,0.6987599294062428
Buster_Keaton,1895,False,154011,7379,658,Buster Keaton,0.6973038536015439
M._C._Escher,1898,False,130225,7518,693,Maurits Cornelis Escher,0.6970848804587695
Jiddu_Krishnamurti,1895,False,240098,7141,557,Jiddu Krishnamurti,0.6966252975495875
Karl_Dönitz,1891,False,220967,6356,622,Karl Dönitz,0.6964686555922179
Arletty,1898,False,166472,7360,609,Arletty,0.695432155245612
Fritz_Lang,1890,False,209543,6234,626,Fritz Lang,0.6953485004620612
Alexander_Calder,1898,False,110139,6058,839,Alexander Calder,0.6951729054429089
Duke_Ellington,1899,False,176806,5702,664,Duke Ellington,0.6924013672958591
