link,year,disambiguation,length,pageviews,revisions,title,score
Minamoto_no_Yoshiie,1039,False,127913,13633,332,源義家,0.6810510273870009
Emperor_Go-Sanjō,1034,False,180127,5008,127,後三条天皇,0.6138246790172921
Su_Dongpo,1037,False,121356,3195,150,蘇軾,0.6063152717925014
Anselm_of_Canterbury,1033,False,81813,750,116,アンセルムス,0.5480091300893317
Emperor_Yingzong_of_Song,1032,False,46998,460,72,英宗 (宋),0.504787271754919
Matilda_of_Flanders,1031,False,137943,334,59,マティルダ・オブ・フランダース,0.4948389391173363
Roger_I_of_Sicily,1031,False,64645,251,75,ルッジェーロ1世,0.48942043016115766
Shen_Kuo,1031,False,45746,278,54,沈括,0.4747709070982386
Vsevolod_I_of_Kiev,1030,False,69156,140,57,フセヴォロド1世,0.4561676514015388
Emperor_Daozong_of_Liao,1032,False,46057,245,40,道宗 (遼),0.4558633532326209
Cheng_Yi_(philosopher),1033,False,34653,287,32,程頤,0.4461958775070179
Vratislav_II,1032,False,85664,99,43,ヴラチスラフ2世,0.43159249655218745
Hereward_the_Wake,1035,False,33418,435,21,ヘリワード・ザ・ウェイク,0.43070039843645597
Empress_Gao_(Song_dynasty),1032,False,33754,136,25,宣仁皇后,0.4097172013759969
Stanislaus_of_Szczepanów,1030,False,47225,104,22,シュツェパノフのスタニスラウス,0.3961907330069157
Kyansittha,1030,False,65886,53,12,チャンシッター,0.3394953473647799
"Hawise,_Duchess_of_Brittany",1037,False,33197,45,4,アヴォワーズ・ド・ブルターニュ,0.2438989196338563
"Sancho_Garcés,_Lord_of_Uncastillo",1038,,1,1,1,?,0.05448825167540282
"Baldwin_VI,_Count_of_Flanders",1030,,1,1,1,?,0.05448825167540282
Anselm_of_Lucca,1036,,1,1,1,?,0.05448825167540282
"Beatrice_I,_Abbess_of_Quedlinburg",1037,,1,1,1,?,0.05448825167540282
Judith_of_Flanders_(died_1095),1033,,1,1,1,?,0.05448825167540282
