link,year,disambiguation,length,pageviews,revisions,title,score
Dante_Alighieri,1265,False,141107,8433,256,ダンテ・アリギエーリ,0.658785942368769
Giotto_di_Bondone,1267,False,152713,2589,131,ジョット・ディ・ボンドーネ,0.596837492552356
Philip_IV_of_France,1268,False,152057,2603,126,フィリップ4世 (フランス王),0.5949509675144804
Emperor_Go-Uda,1267,False,177380,2171,102,後宇多天皇,0.5808995527828374
Emperor_Fushimi,1265,False,180651,1907,80,伏見天皇,0.5644522371787022
Meister_Eckhart,1260,False,66295,1348,119,マイスター・エックハルト,0.5642272398397729
Prince_Koreyasu,1264,False,61704,1438,73,惟康親王,0.5405759386896986
Pope_Clement_V,1264,False,145592,611,91,クレメンス5世 (ローマ教皇),0.5362191072388419
Duns_Scotus,1266,False,51394,498,78,ヨハネス・ドゥンス・スコトゥス,0.5119541827903958
Ladislaus_IV_of_Hungary,1262,False,169411,205,65,ラースロー4世,0.48367870918223854
Władysław_I_the_Elbow-high,1261,False,98626,190,75,ヴワディスワフ1世 (ポーランド王),0.48268650818635866
Emperor_Duanzong,1268,False,42694,451,46,端宗 (宋),0.4808171043822523
Ibn_Taymiyyah,1263,False,80095,396,35,イブン・タイミーヤ,0.4674702210980048
Daniel_of_Moscow,1261,False,73395,282,41,ダニール・アレクサンドロヴィチ,0.4654788508964212
Denis_of_Portugal,1261,False,67723,217,49,ディニス1世 (ポルトガル王),0.4652233018149587
James_II_of_Aragon,1267,False,82646,164,56,ハイメ2世 (アラゴン王),0.462911507052091
Guillaume_de_Nogaret,1260,False,32920,255,29,ギヨーム・ド・ノガレ,0.4368265621465881
"Otto_III,_Duke_of_Bavaria",1261,False,73212,114,36,オットー3世 (バイエルン公),0.427807609207174
Alfonso_III_of_Aragon,1265,False,62155,89,40,アルフォンソ3世 (アラゴン王),0.42185187918488365
Huang_Gongwang,1269,False,33932,201,24,黄公望,0.4193051965154318
"Yolande_of_Dreux,_Queen_of_Scotland",1263,False,41189,80,21,ヨランド・ド・ドルー (スコットランド王妃),0.38376539796378867
Konoe_Iemoto,1261,False,101410,327,11,近衛家基,0.3825083520700288
Kyawswa_of_Pagan,1260,False,49586,48,27,チョウスワー,0.3770404998119993
"Margaret_of_Scotland,_Queen_of_Norway",1261,False,45700,100,15,マーガレット・オブ・スコットランド (ノルウェー王妃),0.3719859824278797
"Arthur_II,_Duke_of_Brittany",1261,False,40083,115,14,アルテュール2世 (ブルターニュ公),0.3707999777159583
"Elizabeth_of_Carinthia,_Queen_of_Germany",1262,False,52007,123,12,エリーザベト・フォン・ケルンテン,0.3633814912537615
"Hugh_le_Despenser,_1st_Earl_of_Winchester",1261,False,72684,175,10,ヒュー・ル・ディスペンサー (初代ウィンチェスター伯),0.35956960766214324
Hedwig_of_Kalisz,1266,False,36872,94,12,ヤドヴィガ・ボレスワヴヴナ,0.354252612204834
"Eleanor_of_England,_Countess_of_Bar",1269,False,37553,83,6,エリナー・オブ・イングランド (バル伯爵夫人),0.2961982416351855
Roger_de_Flor,1267,False,76081,90,5,ルジェ・ダ・フロー,0.2822856025702088
Philip_of_Artois,1269,False,35712,59,4,フィリップ・ダルトワ (1269-1298),0.24897167506842055
Rigdzin_Kumaradza,1266,,1,1,1,?,0.05448825167540282
"Theobald_II,_Duke_of_Lorraine",1263,,1,1,1,?,0.05448825167540282
Matthew_III_Csák,1260,,1,1,1,?,0.05448825167540282
Maximus_Planudes,1260,,1,1,1,?,0.05448825167540282
"Bohemond_VII,_Count_of_Tripoli",1261,,1,1,1,?,0.05448825167540282
"Henry_de_Cobham,_1st_Baron_Cobham",1260,,1,1,1,?,0.05448825167540282
Constantine_Palaiologos_(son_of_Michael_VIII),1261,,1,1,1,?,0.05448825167540282
Margaret_of_Villehardouin,1266,,1,1,1,?,0.05448825167540282
Beatrice_Portinari,1266,,1,1,1,?,0.05448825167540282
Khutulun,1260,,1,1,1,?,0.05448825167540282
Walter_de_Stapledon,1261,,1,1,1,?,0.05448825167540282
"John_of_Castile,_Lord_of_Valencia_de_Campos",1260,,1,1,1,?,0.05448825167540282
Enguerrand_de_Marigny,1260,,1,1,1,?,0.05448825167540282
"Mahaut,_Countess_of_Artois",1268,,1,1,1,?,0.05448825167540282
Zhou_Daguan,1266,,1,1,1,?,0.05448825167540282
"Richard_FitzAlan,_8th_Earl_of_Arundel",1267,,1,1,1,?,0.05448825167540282
Hethum_II_of_Armenia,1266,,1,1,1,?,0.05448825167540282
Clare_of_Montefalco,1268,,1,1,1,?,0.05448825167540282
Maria_de_Molina,1265,,1,1,1,?,0.05448825167540282
"John_of_Brittany,_Earl_of_Richmond",1266,,1,1,1,?,0.05448825167540282
Albertino_Mussato,1261,,1,1,1,?,0.05448825167540282
Giovanna_da_Orvieto,1264,,1,1,1,?,0.05448825167540282
