link,year,disambiguation,length,pageviews,revisions,title,score
Empress_Matilda,1102,False,190272,3208,217,Матильда (королева Англии),0.6298022832537862
Afonso_I_of_Portugal,1109,False,122214,823,203,Афонсу I Великий,0.579370133755249
Pope_Alexander_III,1105,False,202208,783,139,Александр III (папа римский),0.5671427572769624
Melisende_of_Jerusalem,1105,False,138509,585,95,Мелисенда Иерусалимская,0.5363599759483694
Alfonso_VII_of_León,1105,False,130353,347,118,Альфонсо VII Император,0.5270559284243078
Héloïse_d'Argenteuil,1100,False,83604,1132,52,Элоиза,0.5188186245412985
Pope_Celestine_III,1106,False,141641,294,93,Целестин III,0.5116033530344725
Yue_Fei,1103,False,72515,469,63,Юэ Фэй,0.5032637833268797
William_Clito,1102,False,95420,416,58,Вильгельм Клитон,0.4979162320619799
Henry_II_of_Austria,1107,False,128509,225,76,Генрих II (герцог Австрии),0.49196288129965055
Adeliza_of_Louvain,1103,False,76070,358,58,Аделиза Лувенская,0.49110980661571646
Ibn_Tufail,1105,False,70876,270,71,Ибн Туфайль,0.49046137206830476
William_Adelin,1103,False,100948,540,43,Вильгельм Аделин,0.4899977464772377
Harald_IV_of_Norway,1103,False,80385,357,55,Харальд IV Гилли,0.48886976028765605
Matilda_of_Boulogne,1105,False,84233,201,76,Матильда I (графиня Булони),0.4840818230046247
"Robert_de_Beaumont,_2nd_Earl_of_Leicester",1104,False,99001,137,50,"Роберт де Бомон, 2-й граф Лестер",0.452288820912279
"Leopold_IV,_Duke_of_Bavaria",1108,False,75618,116,52,Леопольд IV (маркграф Австрии),0.44542252135449945
Alphonse_I_of_Toulouse,1103,False,115984,145,33,Альфонс I Иордан (граф Тулузы),0.43530344799134485
Bohemund_II_of_Antioch,1108,False,74071,154,28,Боэмунд II (князь Антиохии),0.4255239182292875
Minamoto_no_Yorimasa,1106,False,52973,395,18,Минамото-но Ёримаса,0.4212500209007538
Biddenden_Maids,1100,False,51725,139,24,Бидденденские девицы,0.4111581798455444
"Gilbert_de_Clare,_1st_Earl_of_Pembroke",1100,False,65062,82,33,"Гилберт де Клер, 1-й граф Пембрук",0.4101477495352939
Emperor_Toba,1103,False,122888,230,17,Император Тоба,0.4093739120608218
Emperor_Qinzong,1100,False,97486,118,16,Цинь-цзун (династия Сун),0.3852929083940462
"Baldwin_IV,_Count_of_Hainaut",1108,False,58331,80,20,Балдуин IV де Эно,0.38319011687229576
Emperor_Gaozong_of_Song,1107,False,97987,168,12,Гао-цзун (династия Сун),0.37458259967492524
Helena_of_Skövde,1101,,1,1,1,?,0.05448825167540282
Eleanor_of_Champagne,1104,,1,1,1,?,0.05448825167540282
Empress_Xing,1106,,1,1,1,?,0.05448825167540282
Queen_Gongye,1109,,1,1,1,?,0.05448825167540282
