link,year,disambiguation,length,pageviews,revisions,title,score
Isabella_of_France,1295,False,398214,4032,989,Изабелла Французская,0.7083329481257836
Algirdas,1296,False,183841,6071,455,Ольгерд,0.6797014328583402
Gregory_Palamas,1296,False,150331,2493,260,Григорий Палама,0.6275497641775127
Kęstutis,1297,False,132884,2158,232,Кейстут,0.6167417023595677
Philip_VI_of_France,1293,False,124340,3880,135,Филипп VI (король Франции),0.6062357872876997
Philip_V_of_France,1293,False,108587,3118,153,Филипп V (король Франции),0.6052286590694068
Charles_IV_of_France,1294,False,104405,2097,179,Карл IV Красивый,0.6013067123793129
John_VI_Kantakouzenos,1292,False,142264,1066,129,Иоанн VI Кантакузин,0.5699158555381691
"Margaret_of_Burgundy,_Queen_of_France",1290,False,75506,1713,109,Маргарита Бургундская (королева Франции),0.5681690138751994
John_of_Bohemia,1296,False,152838,804,130,Иоганн Люксембургский,0.5621147527546172
Blanche_of_Burgundy,1296,False,74593,1522,103,Бланка Бургундская,0.5620297693240214
Dmitri_of_Tver,1299,False,73823,1434,86,Дмитрий Михайлович Грозные Очи,0.5511768920367899
"John_IV,_Duke_of_Brittany",1295,False,119282,357,152,Жан V (герцог Бретани),0.5373679381436954
Andronikos_III_Palaiologos,1297,False,122006,653,77,Андроник III Палеолог,0.5284456839754593
Pope_Clement_VI,1291,False,147710,387,100,Климент VI,0.5251770125222616
Afonso_IV_of_Portugal,1291,False,90687,486,66,Афонсу IV,0.5088084564380376
Eleanor_de_Clare,1292,False,144914,349,59,Элинор де Клер,0.4967088239478236
Elizabeth_of_Bohemia_(1292–1330),1292,False,89498,403,54,Элишка Пржемысловна,0.49270138730555385
"Albert_II,_Duke_of_Austria",1298,False,83935,365,57,Альбрехт II (герцог Австрии),0.49175082261968095
Nicephorus_Gregoras,1295,False,84210,263,72,Никифор Григора,0.4917065478277634
Philippe_de_Vitry,1291,False,90466,284,49,Филипп де Витри,0.4766626576451102
Saint_Roch,1295,False,71582,583,34,Святой Рох,0.47518632710233777
"Odo_IV,_Duke_of_Burgundy",1295,False,84309,213,49,Эд IV (герцог Бургундии),0.46636461330775175
Kusunoki_Masashige,1294,False,52695,628,29,Кусуноки Масасигэ,0.4644127069926631
Marjorie_Bruce,1296,False,56863,193,38,"Брюс, Марджори",0.44722872921821366
"Walter_Stewart,_6th_High_Steward_of_Scotland",1293,False,112682,192,34,"Стюарт, Уолтер, 6-й лорд-стюард Шотландии",0.44629519037668614
"Leopold_I,_Duke_of_Austria",1290,False,65864,156,37,Леопольд I (герцог Австрии),0.43975523464923727
"Charles_II,_Count_of_Alençon",1297,False,63527,189,31,Карл II (граф Алансона),0.4366491366673936
Margaret_de_Clare,1293,False,123344,149,32,Маргарет де Клер,0.4350371929341217
Shi_Naian,1296,False,67121,187,30,Ши Найань,0.43491323108471547
Alfonso_IV_of_Aragon,1299,False,69519,221,23,Альфонсо IV (король Арагона),0.42466016016868846
Elizabeth_de_Clare,1295,False,49595,126,28,Элизабет де Клер,0.41603129407107475
"John,_Duke_of_Durazzo",1294,False,81952,183,20,Иоанн (герцог Дураццо),0.4115626028276817
"Charles,_Duke_of_Calabria",1298,False,57074,143,22,Карл Калабрийский,0.40769843084066504
Arnošt_of_Pardubice,1297,False,58075,68,37,Арношт из Пардубиц,0.4067763962396972
Jean_de_Muris,1290,False,53866,77,31,Иоанн де Мурис,0.40350696486770055
Nicholas_of_Autrecourt,1299,False,55593,85,22,Николай из Отрекура,0.3902459059059585
Aimone_of_Savoy,1291,False,57088,93,20,Аймон (граф Савойи),0.3882577561869901
Margareta_Ebner,1291,False,48878,67,19,"Эбнер, Маргарета",0.37303742533494977
Louis_of_Burgundy,1297,False,61566,87,10,Людовик Бургундский (князь Мореи),0.3416452035035416
Elisabeth_of_Carinthia,1298,False,67128,71,10,Елизавета Каринтийская (королева Сицилии),0.3363797070001968
John_of_Ruysbroeck,1293,False,84066,13,83,"Рёйсбрук, Ян ван",0.33586764920301837
Ranulf_Higdon,1299,False,50804,33,9,Ранульф Хигден,0.30387517076753445
Elisenda_of_Montcada,1292,False,61666,77,5,Элисенда де Монкада,0.2787612413675987
Charles_of_Taranto,1296,False,47887,75,5,Карл Тарентский,0.2774812485769776
Emperor_Hanazono,1297,False,146251,101,2,Император Ханадзоно,0.1595837397619487
Theodore_I_of_Montferrat,1291,False,127029,0,44,Теодор I Палеолог (маркграф Монферрата),0.12595686425330266
Maria_of_Aragon_(1299–1316),1299,False,52985,0,20,Мария Арагонская (1299—1316),0.12185579201833326
Joanna_of_Flanders,1295,False,50044,0,16,Жанна Фландрская (герцогиня Бретани),0.12049053213129733
Abu_al-Hasan_Ali_ibn_Othman,1297,False,56256,0,12,Абу-ль-Хасан Али I,0.11854423769334804
Sir_Andrew_Murray,1298,,1,1,1,?,0.05448825167540282
Roland_of_Sicily,1296,,1,1,1,?,0.05448825167540282
Pierre_Bertrand_de_Colombier,1299,,1,1,1,?,0.05448825167540282
William_Irvine_(soldier),1298,,1,1,1,?,0.05448825167540282
Malatesta_II_Malatesta,1299,,1,1,1,?,0.05448825167540282
Tamagusuku,1296,,1,1,1,?,0.05448825167540282
Fedlim_Ó_Conchobair,1293,,1,1,1,?,0.05448825167540282
Joseph_Caspi,1297,,1,1,1,?,0.05448825167540282
"Thomas_Wake,_2nd_Baron_Wake_of_Liddell",1297,,1,1,1,?,0.05448825167540282
"Joan_of_Valois,_Countess_of_Hainaut",1294,,1,1,1,?,0.05448825167540282
Henry_Burghersh,1292,,1,1,1,?,0.05448825167540282
Ibn_Juzayy,1298,,1,1,1,?,0.05448825167540282
"Reginald_de_Cobham,_1st_Baron_Cobham",1295,,1,1,1,?,0.05448825167540282
"Margaret_Wake,_3rd_Baroness_Wake_of_Liddell",1297,,1,1,1,?,0.05448825167540282
