link,year,disambiguation,length,pageviews,revisions,title,score
Nichiren,1222,False,71691,997,210,日莲,0.5806402782564237
Alexander_Nevsky,1220,False,94174,524,109,亚历山大·雅罗斯拉维奇·涅夫斯基,0.5350747739833742
Michael_VIII_Palaiologos,1225,False,91162,305,78,米海尔八世,0.5012723785312793
Baibars,1223,False,47592,297,84,拜巴尔一世,0.49732149529156056
Bonaventure,1221,False,321658,338,53,聖文德,0.496312682113278
Emperor_Go-Saga,1220,False,69784,303,45,後嵯峨天皇,0.47219930331833576
Pope_Nicholas_IV,1227,False,90347,144,76,尼各老四世,0.4713713069218368
Conrad_IV_of_Germany,1228,False,53555,153,69,康拉德四世,0.46554046793126125
Alfonso_X_of_Castile,1221,False,78214,267,28,阿方索十世 (卡斯蒂利亞),0.4428788907120642
Eleanor_of_Provence,1223,False,69129,172,24,普罗旺斯的埃莉诺,0.4197861473923089
Yaroslav_of_Russia,1220,False,72187,63,39,雅罗斯拉夫三世·雅罗斯拉维奇,0.40706071455180565
"Hethum_I,_King_of_Armenia",1226,False,37427,89,30,海屯一世 (小亚美尼亚),0.40509012864400806
"Louis_II,_Duke_of_Bavaria",1229,False,40825,62,32,路德维希二世 (上巴伐利亚),0.3942773171187485
Charles_I_of_Naples,1227,False,55511,74,19,查理一世 (那不勒斯),0.37731650172822423
Queen_Jeongsun_(Wonjong),1222,False,64889,61,14,順敬太后,0.3537164324857393
Kinga_of_Poland,1224,False,46219,72,9,波蘭的金加,0.32739512500436435
Margaret_of_Provence,1221,False,64405,97,3,普羅旺斯的瑪格麗特,0.2218618116334069
Thomas_Aquinas,1225,False,540976,0,0,多马斯·阿奎納,0.08422598027656739
David_VI_Narin,1225,False,41758,0,2,大卫六世,0.08361714074327442
"William_II,_Count_of_Holland",1227,,1,1,1,?,0.05448825167540282
"Hugh_le_Despencer,_1st_Baron_le_Despencer",1223,,1,1,1,?,0.05448825167540282
"Joan,_Countess_of_Toulouse",1220,,1,1,1,?,0.05448825167540282
Shihab_al-Din_al-Qarafi,1228,,1,1,1,?,0.05448825167540282
Salimbene_di_Adam,1221,,1,1,1,?,0.05448825167540282
Gertrude_of_Austria,1226,,1,1,1,?,0.05448825167540282
Andrei_II_of_Russia,1222,,1,1,1,?,0.05448825167540282
Przemysł_I_of_Poland,1220,,1,1,1,?,0.05448825167540282
Llywelyn_ap_Gruffudd,1223,,1,1,1,?,0.05448825167540282
"John_FitzAlan,_6th_Earl_of_Arundel",1223,,1,1,1,?,0.05448825167540282
Bar_Hebraeus,1226,,1,1,1,?,0.05448825167540282
"Elisabeth_of_Bavaria,_Queen_of_Germany",1227,,1,1,1,?,0.05448825167540282
Bolesław_the_Pious,1221,,1,1,1,?,0.05448825167540282
"Walter_de_Burgh,_1st_Earl_of_Ulster",1220,,1,1,1,?,0.05448825167540282
Sanchia_of_Provence,1228,,1,1,1,?,0.05448825167540282
"Alphonse,_Count_of_Poitiers",1220,,1,1,1,?,0.05448825167540282
Thomas_Ercildoun,1220,,1,1,1,?,0.05448825167540282
Isabelle_of_France_(saint),1225,,1,1,1,?,0.05448825167540282
"Richard_de_Clare,_6th_Earl_of_Gloucester",1222,,1,1,1,?,0.05448825167540282
Bolesław_V_the_Chaste,1226,,1,1,1,?,0.05448825167540282
