link,year,disambiguation,length,pageviews,revisions,title,score
Yuan_Shikai,1859,False,397384,18645,1595,袁世凯,0.7729632404159178
Vincent_van_Gogh,1853,False,207848,22270,744,文森特·梵高,0.7365598060290053
Sigmund_Freud,1856,False,273628,17215,656,西格蒙德·弗洛伊德,0.7292823945174548
Nikola_Tesla,1856,False,185056,15778,516,尼古拉·特斯拉,0.710388879320773
Theodore_Roosevelt,1858,False,259693,5625,482,西奥多·罗斯福,0.6849670738956001
Tongzhi_Emperor,1856,False,155782,9189,392,同治帝,0.6819393575918495
Emperor_Meiji,1852,False,122907,10684,362,明治天皇,0.6784885860291656
Gojong_of_Korea,1852,False,187973,3500,405,朝鮮高宗,0.6592431948852062
Woodrow_Wilson,1856,False,416309,3295,293,伍德罗·威尔逊,0.6539579567171947
Oscar_Wilde,1854,False,104757,5785,306,奥斯卡·王尔德,0.6529828932580544
Wilhelm_II_of_Germany,1859,False,228554,4213,279,威廉二世 (德国),0.6513050863569966
Antoni_Gaudí,1852,False,94562,6961,253,安东尼·高迪,0.6475627420225171
Robert_Baden-Powell,1857,False,209945,1223,410,羅伯特·貝登堡,0.6266887463516724
Arthur_Conan_Doyle,1859,False,112979,2681,235,阿瑟·柯南·道尔,0.6214733782928249
Max_Planck,1858,False,212293,2254,219,马克斯·普朗克,0.6213779258175721
John_Dewey,1859,False,137224,4039,159,约翰·杜威,0.6168096251814038
George_Bernard_Shaw,1856,False,119034,2213,219,萧伯纳,0.6135421328701258
Giacomo_Puccini,1858,False,109938,2421,176,贾科莫·普契尼,0.60523719503606
Julian_calendar,1859,False,108469,2413,165,儒略曆,0.6019666147966967
Henri_Poincaré,1854,False,234365,1205,196,儒勒·昂利·庞加莱,0.5980660256709538
1911,1851,False,110434,1162,211,1911年,0.5912161766629158
Guy_de_Maupassant,1850,False,90560,1876,157,居伊·德·莫泊桑,0.5903424845046409
Chulalongkorn,1853,False,73834,2358,138,拉玛五世,0.5878956709623332
J._J._Thomson,1856,False,129776,1376,164,约瑟夫·汤姆孙,0.5876351639028076
William_Howard_Taft,1857,False,131981,1096,163,威廉·霍华德·塔夫脱,0.5804948213075072
Heinrich_Hertz,1857,False,91862,959,196,海因里希·赫兹,0.5796882555003534
Philippe_Pétain,1856,False,137550,1325,138,菲利普·贝当,0.5792764414315109
Georges_Seurat,1859,False,66142,2542,111,喬治·秀拉,0.5776467058316895
Henri_Bergson,1859,False,216899,965,129,亨利·柏格森,0.5712652968139126
Hendrik_Lorentz,1853,False,365033,506,189,亨德里克·洛伦兹,0.5702259335704811
Arthur_Rimbaud,1854,False,78764,1262,123,阿蒂尔·兰波,0.5659770960444445
Franz_Boas,1858,False,208706,660,153,法蘭茲·鮑亞士,0.5658139608678758
Pope_Pius_XI,1857,False,182331,743,134,庇護十一世,0.5627026087674966
Billy_The_Kid,1859,False,67619,1695,99,比利小子,0.5617432667075464
Cecil_Rhodes,1853,False,153283,634,152,塞西尔·罗兹,0.5609583294002534
Pierre_Curie,1859,False,79066,920,131,皮埃尔·居里,0.5594349164981887
Edward_Elgar,1857,False,60952,1432,101,爱德华·埃尔加,0.5569865574840064
Ferdinand_de_Saussure,1857,False,103823,1186,99,弗迪南·德·索緒爾,0.55691834192641
Edmund_Husserl,1859,False,99242,1000,104,埃德蒙德·胡塞爾,0.5538698014141843
Robert_Louis_Stevenson,1850,False,121750,927,102,羅伯特·路易斯·史蒂文森,0.5528727276917211
Wilhelm_Ostwald,1853,False,130405,394,192,威廉·奥斯特瓦尔德,0.5509433038680734
Takahashi_Korekiyo,1854,False,166428,611,118,高桥是清,0.5495357427313095
Lafcadio_Hearn,1850,False,148644,1132,79,小泉八雲,0.5478010391882945
Edward_Smith_(sea_captain),1850,False,72600,1173,86,爱德华·约翰·史密斯,0.5455709325256505
Pope_Benedict_XV,1854,False,164968,474,121,本篤十五世,0.5417456841234277
Booker_T._Washington,1856,False,95450,532,120,布克·華盛頓,0.5399023736422456
Hara_Takashi,1856,False,100332,536,109,原敬,0.5364889786353192
Henri_Becquerel,1852,False,85334,445,121,亨利·贝可勒尔,0.5328983574093679
Albert_Abraham_Michelson,1852,False,90896,387,129,阿尔伯特·迈克耳孙,0.5311665475935335
Thomas_R._Marshall,1854,False,303628,277,132,托马斯·R·马歇尔,0.5303163363908695
Saitō_Makoto,1858,False,154961,438,100,齋藤實,0.5300001016388896
Liu_Buchan,1852,False,63619,869,76,劉步蟾,0.5295170686503218
Leoš_Janáček,1854,False,68762,441,118,莱奥什·雅纳切克,0.5292552227560691
Terauchi_Masatake,1852,False,129790,451,99,寺內正毅,0.5288925201321717
Ferdinand_Foch,1851,False,70922,623,86,費迪南·福煦,0.5268957320691936
Konstantin_Tsiolkovsky,1857,False,72722,604,86,康斯坦丁·齐奥尔科夫斯基,0.5261994376682039
Yamamoto_Gonnohyōe,1852,False,95904,472,96,山本權兵衛,0.5261093398396363
Joseph_Conrad,1857,False,55044,693,81,约瑟夫·康拉德,0.5245376380387003
John_Moses_Browning,1855,False,46533,944,66,约翰·勃朗宁,0.521102951947474
John_Singer_Sargent,1856,False,149123,560,67,约翰·辛格·萨金特,0.5185420444635808
John_Philip_Sousa,1854,False,71694,405,97,約翰·菲利普·蘇沙,0.5184312330436952
Alfonso_XII_of_Spain,1857,False,66299,391,99,阿方索十二世,0.5172964308666665
Frederick_Winslow_Taylor,1856,False,70344,584,72,弗雷德里克·温斯洛·泰勒,0.5162708980041927
Svante_Arrhenius,1859,False,79561,410,88,斯凡特·奥古斯特·阿伦尼乌斯,0.5156055627651954
Kitasato_Shibasaburō,1853,False,67347,409,86,北里柴三郎,0.5128293303242255
Jacobus_Henricus_van_'t_Hoff,1852,False,85627,335,91,雅各布斯·亨里克斯·范托夫,0.5107918258007921
Selma_Lagerlöf,1858,False,101078,315,92,塞尔玛·拉格洛夫,0.5106199745385426
Emil_von_Behring,1854,False,70803,308,96,埃米尔·阿道夫·冯·贝林,0.5082087531599746
James_George_Frazer,1854,False,49846,413,80,詹姆斯·弗雷澤,0.5068172351092829
"Frederick_Lugard,_1st_Baron_Lugard",1858,False,49975,414,77,盧吉,0.505187173976757
Charles_Taze_Russell,1852,False,92062,269,94,查尔斯·泰兹·罗素,0.5048412920990186
Henri_Moissan,1852,False,74910,247,103,亨利·莫瓦桑,0.5033906408676236
Santiago_Ramón_y_Cajal,1852,False,78152,286,89,圣地亚哥·拉蒙-卡哈尔,0.503276522000365
Karl_Ferdinand_Braun,1850,False,93875,259,93,卡尔·布劳恩,0.5031499854474352
"Prince_Arthur,_Duke_of_Connaught_and_Strathearn",1850,False,137937,268,83,阿瑟王子 (康诺特和斯特拉森公爵),0.5029864448726701
"Napoléon,_Prince_Imperial",1856,False,52914,478,65,拿破崙四世,0.5022866420529029
Eduard_Bernstein,1850,False,90652,483,58,爱德华·伯恩施坦,0.502064834118137
Heike_Kamerlingh_Onnes,1853,False,77875,303,79,海克·卡末林·昂內斯,0.5001507639536389
