century,language,name,description,image_url
1000s,de,Hildegard of Bingen,German mystic,http://www.feministezine.com/feminist/images/HidegardvonBingen-01.jpg
1000s,en,William the Conqueror,King of England,https://i.guim.co.uk/img/media/c108b53db7cfa2b268a4a3b5fa6c8cf6910f4536/0_782_3339_2003/master/3339.jpg?w=300&q=55&auto=format&usm=12&fit=max&s=168c98b0c959f488ed75fd4e484feca1
1000s,es,El Cid,Castilian military leader,http://www.badassoftheweek.com/elcid.jpg
1000s,fr,William the Conqueror,Duke of Normandy,https://i.guim.co.uk/img/media/c108b53db7cfa2b268a4a3b5fa6c8cf6910f4536/0_782_3339_2003/master/3339.jpg?w=300&q=55&auto=format&usm=12&fit=max&s=168c98b0c959f488ed75fd4e484feca1
1000s,ja,Minamoto no Yoshiie,Japanese samurai,http://www.antiquejapanesedolls.com/pub_artinfocus/musha_pair/A81002A_c_lrg.jpg
1000s,ru,Vladimir II Monomakh,Grand Prince of Kievan Rus',http://russiapedia.rt.com/files/prominent-russians/the-ryurikovich-dynasty/vladimir-i-monomakh-monomachus/vladimir-i-monomakh-monomachus_3-t.jpg
1000s,zh,Su Shi,Chinese writer-bureaucrat,http://factsanddetails.com/archives/004/201610/57fdcc382efb0.jpg
1100s,de,Frederick Barbarossa,Holy Roman Emperor,http://www.sanremonews.it/fileadmin/archivio/sanremonews/18_06_almanacco_barbarossa_risultato.jpg
1100s,en,Genghis Khan,Mongol ruler,https://upload.wikimedia.org/wikipedia/commons/3/35/YuanEmperorAlbumGenghisPortrait.jpg
1100s,es,Francis of Assisi,Italian saint,http://www.paginainizio.com/frasi/fonti/francescodassisi.jpg
1100s,fr,Averroes,Andalusian polymath,http://www.famousphilosophers.org/philosophers/averroes.jpg
1100s,ja,Minamoto no Yoshitsune,Japanese samurai,http://thefirstshogun.weebly.com/uploads/2/0/6/9/20696060/326087802.jpg
1100s,ru,Genghis Khan,Mongol ruler,https://upload.wikimedia.org/wikipedia/commons/3/35/YuanEmperorAlbumGenghisPortrait.jpg
1100s,zh,Genghis Khan,Mongol ruler,https://upload.wikimedia.org/wikipedia/commons/3/35/YuanEmperorAlbumGenghisPortrait.jpg
1200s,de,Marco Polo,Italian explorer,http://kg-portal.ru/img/33499/33499_big.jpg
1200s,en,Marco Polo,Italian explorer,http://kg-portal.ru/img/33499/33499_big.jpg
1200s,es,Thomas Aquinas,Italian theologian,https://media1.britannica.com/eb-media/00/131500-004-4E3E4827.jpg
1200s,fr,Louis IX,King of France,https://upload.wikimedia.org/wikipedia/commons/2/2a/Louis-ix.jpg
1200s,ja,Kusunoki Masashige,Japanese samurai,https://upload.wikimedia.org/wikipedia/commons/a/a0/Kusunoki_Masashige.jpg
1200s,ru,Alexander Nevsky,Grand Prince of Vladimir,https://upload.wikimedia.org/wikipedia/commons/4/40/Alexander_Newski.jpg
1200s,zh,Kublai Khan,Mongol ruler,http://cdn-ak.f.st-hatena.com/images/fotolife/t/tokdaru/20160515/20160515171151.jpg
1300s,de,Johannes Gutenberg,German printer,https://upload.wikimedia.org/wikipedia/commons/3/33/Gutenberg.jpg
1300s,en,Timur,Turkic conqueror,http://100leaders.org/sites/default/files/Tamerlane-Rijksmuseum.jpg
1300s,es,Johannes Gutenberg,German printer,https://upload.wikimedia.org/wikipedia/commons/3/33/Gutenberg.jpg
1300s,fr,Johannes Gutenberg,German printer,https://upload.wikimedia.org/wikipedia/commons/3/33/Gutenberg.jpg
1300s,ja,Ashikaga Takauji,Japanese shogun,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Ashikaga_Takauji_J%C5%8Ddo-ji.jpg/1200px-Ashikaga_Takauji_J%C5%8Ddo-ji.jpg
1300s,ru,Timur,Turkic conqueror,http://100leaders.org/sites/default/files/Tamerlane-Rijksmuseum.jpg
1300s,zh,Hongwu Emperor,Ming emperor,http://cdn.history.com/sites/2/2015/04/list-rags-to-riches-emperor-hongwu-E.jpeg
1400s,de,Martin Luther,German religious leader,https://s3.amazonaws.com/cli-website/Lucas_Cranach_d.%C3%84._-_Martin_Luther_1528_Veste_Coburg_cropped.jpg
1400s,en,Henry VIII,King of England,https://englishhistory.net/wp-content/uploads/2015/01/Henry-VIII.jpg
1400s,es,Christopher Columbus,Italian explorer,"https://upload.wikimedia.org/wikipedia/commons/c/c2/Portrait_of_a_Man,_Said_to_be_Christopher_Columbus.jpg"
1400s,fr,Leonardo da Vinci,Italian polymath,https://www.biography.com/.image/t_share/MTIwNjA4NjMzNTM4NDQ2ODYw/leonardo-da-vinci-40396-2-raw.jpg
1400s,ja,Joan of Arc,French hero,https://upload.wikimedia.org/wikipedia/commons/c/c3/Joan_of_Arc_miniature_graded.jpg
1400s,ru,Suleiman the Magnificent,Ottoman sultan,https://upload.wikimedia.org/wikipedia/commons/e/e9/EmperorSuleiman.jpg
1400s,zh,Leonardo da Vinci,Italian polymath,https://www.biography.com/.image/t_share/MTIwNjA4NjMzNTM4NDQ2ODYw/leonardo-da-vinci-40396-2-raw.jpg
1500s,de,William Shakespeare,English playwright,https://upload.wikimedia.org/wikipedia/commons/a/a2/Shakespeare.jpg
1500s,en,William Shakespeare,English playwright,https://upload.wikimedia.org/wikipedia/commons/a/a2/Shakespeare.jpg
1500s,es,Galileo Galilei,Italian scientist,http://www.crystalinks.com/galileo.jpg
1500s,fr,William Shakespeare,English playwright,https://upload.wikimedia.org/wikipedia/commons/a/a2/Shakespeare.jpg
1500s,ja,Oda Nobunaga,Japanese unifier,http://imgcc.naver.jp/kaze/mission/USER/20141023/60/6020240/18/448x448x2bcbc070a9ac23989b18102a.jpg
1500s,ru,Ivan the Terrible,Russian Tsar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Ivan_the_Terrible_%28cropped%29.JPG/240px-Ivan_the_Terrible_%28cropped%29.JPG
1500s,zh,Oda Nobunaga,Japanese unifier,http://imgcc.naver.jp/kaze/mission/USER/20141023/60/6020240/18/448x448x2bcbc070a9ac23989b18102a.jpg
1600s,de,Johann Sebastian Bach,German composer,https://upload.wikimedia.org/wikipedia/commons/6/6a/Johann_Sebastian_Bach.jpg
1600s,en,Isaac Newton,English scientist,http://www.fredsakademiet.dk/library/science/_gifs/newton.jpg
1600s,es,Isaac Newton,English scientist,http://www.fredsakademiet.dk/library/science/_gifs/newton.jpg
1600s,fr,Molière,French playwright,https://media1.britannica.com/eb-media/05/190005-004-BA757A5E.jpg
1600s,ja,Tokugawa Iemitsu,Japanese shogun,http://ikiryo.com/wp-content/uploads/2013/09/tokugawa-710x421.jpg
1600s,ru,Peter the Great,Russian Tsar,https://upload.wikimedia.org/wikipedia/commons/7/72/Peter_der-Grosse_1838.jpg
1600s,zh,Yongzheng Emperor,Qing emperor,https://3.bp.blogspot.com/-u5thxP7bO5o/VTpoSTN47FI/AAAAAAAAOsk/HAgX_MUYMvk/w1200-h630-p-k-no-nu/yongzheng.jpg
1700s,de,Johann Wolfgang von Goethe,German philosopher,https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg
1700s,en,George Washington,US president & general,http://s3.amazonaws.com/mtv-main-assets/files/callouts/washington-portrait-f1.jpg
1700s,es,Simón Bolívar,Venezuelan revolutionary,https://www.thefamouspeople.com/profiles/images/simon-bolivar-3.jpg
1700s,fr,Napoleon Bonaparte,Emperor of France,https://static.independent.co.uk/s3fs-public/thumbnails/image/2013/09/29/23/24-Napoleonv2.jpg
1700s,ja,Napoleon Bonaparte,Emperor of France,https://static.independent.co.uk/s3fs-public/thumbnails/image/2013/09/29/23/24-Napoleonv2.jpg
1700s,ru,Alexander Pushkin,Russian writer,https://upload.wikimedia.org/wikipedia/commons/5/56/Portrait_of_Alexander_Pushkin_%28Orest_Kiprensky%2C_1827%29.PNG
1700s,zh,Ludwig van Beethoven,German composer,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Beethoven.jpg/1200px-Beethoven.jpg
1800s,de,Adolf Hitler,German leader,http://cdn.images.express.co.uk/img/dynamic/20/590x/secondary/Adolf-Hitler-789141.jpg
1800s,en,Adolf Hitler,German leader,http://cdn.images.express.co.uk/img/dynamic/20/590x/secondary/Adolf-Hitler-789141.jpg
1800s,es,Adolf Hitler,German leader,http://cdn.images.express.co.uk/img/dynamic/20/590x/secondary/Adolf-Hitler-789141.jpg
1800s,fr,Adolf Hitler,German leader,http://cdn.images.express.co.uk/img/dynamic/20/590x/secondary/Adolf-Hitler-789141.jpg
1800s,ja,Adolf Hitler,German leader,http://cdn.images.express.co.uk/img/dynamic/20/590x/secondary/Adolf-Hitler-789141.jpg
1800s,ru,Joseph Stalin,Soviet leader,https://static.giantbomb.com/uploads/scale_small/3/32849/2163825-jstalin.jpg
1800s,zh,Chiang Kai-shek,Chinese leader
