year,name,score
1003,Herleva,0.6148962063358832
1013,Sancha of León,0.5473857931852161
1025,Agnes of Poitou,0.5644892241465226
1031,Matilda of Flanders,0.6906474346402918
1046,Matilda of Tuscany,0.6635120566509588
1054,Judith of Swabia,0.551677725785967
1066,Irene Doukaina,0.5566452393385508
1074,"Maud, Countess of Huntingdon",0.5513666051689327
1083,Anna Komnene,0.6751388489227604
1098,Hildegard of Bingen,0.7938493406549428
1102,Empress Matilda,0.7821595925245455
1116,"Richeza of Poland, Queen of Sweden",0.5676656497095603
1124,Eleanor of Aquitaine,0.8154529895971648
1135,Petronilla of Aragon,0.6155907986218031
1145,Rosamund Clifford,0.6226963121027975
1156,"Matilda of England, Duchess of Saxony",0.6236242542188565
1161,Börte,0.6637502431298116
1172,Isabella I of Jerusalem,0.640655318070611
1188,Blanche of Castile,0.6606823431106816
1194,Clare of Assisi,0.7337480605694016
1205,Razia Sultana,0.7401437566988802
1214,Isabella of England,0.625695604403443
1223,Eleanor of Provence,0.6661225690369895
1234,Beatrice of Provence,0.6039157434529703
1241,Eleanor of Castile,0.7007426599133505
1256,Gertrude the Great,0.621608359537072
1266,Beatrice Portinari,0.6713659482167362
1271,Elizabeth of Aragon,0.6383075748544743
1283,"Margaret, Maid of Norway",0.6882988131535228
1295,Isabella of France,0.758531126979296
1303,Bridget of Sweden,0.687976303519724
1314,Philippa of Hainault,0.7086177622074539
1328,Joan of Kent,0.6769087979272815
1338,Joanna of Bourbon,0.5962331457778661
1347,Catherine of Siena,0.7629877549190406
1353,Margaret I of Denmark,0.7026587153260707
1364,Christine de Pizan,0.6997953295895812
1374,Jadwiga of Poland,0.7305267899877814
1381,Rita of Cascia,0.7006279202309524
1390,Anne de Mortimer,0.6249712166937088
1401,Catherine of Valois,0.7053166160922858
1412,Joan of Arc,0.8823690292812761
1421,Agnès Sorel,0.6231567361424624
1437,Elizabeth Woodville,0.7823728729310787
1446,Margaret of York,0.6476685781337136
1451,Isabella I of Castile,0.8321386720980991
1466,Elizabeth of York,0.7688056170977865
1479,Joanna of Castile,0.7637759664730895
1485,Catherine of Aragon,0.8529378886092238
1496,"Mary Tudor, Queen of France",0.7540425639973766
1501,Anne Boleyn,0.8827911917841905
1516,Mary I of England,0.8773511547545334
1521,Catherine Howard,0.8157262998701579
1533,Elizabeth I of England,0.9159267719939401
1542,"Mary, Queen of Scots",0.9002049875315218
1553,Margaret of Valois,0.7139501499976014
1560,Elizabeth Báthory,0.8345072701508701
1574,Anne of Denmark,0.7448351450524121
1587,Virginia Dare,0.724269764669296
1595,Pocahontas,0.8710996297434291
1609,Henrietta Maria of France,0.7422659166326545
1612,Anne Bradstreet,0.7324441516159174
1626,"Christina, Queen of Sweden",0.7984798219433162
1638,Maria Theresa of Spain,0.7491183197998533
1641,"Françoise-Athénaïs, marquise de Montespan",0.7220178535522747
1656,Kateri Tekakwitha,0.7387251258567488
1665,"Anne, Queen of Great Britain",0.835502513246522
1674,Abigail Williams (Salem witch trials),0.7507965135673096
1683,Caroline of Ansbach,0.7165901401451572
1693,Anna of Russia,0.7103248416310455
1702,Anne Bonny,0.7764337339005184
1717,Maria Theresa,0.8149268435279581
1729,Catherine the Great,0.8620142860553643
1731,Martha Washington,0.8021501775726281
1744,Abigail Adams,0.8101185409623942
1755,Marie Antoinette,0.9012354788744579
1763,Joséphine de Beauharnais,0.7693849034778701
1775,Jane Austen,0.8675315396575093
1780,Elizabeth Fry,0.7269012078988154
1797,Mary Shelley,0.8443034172471736
1806,Elizabeth Barrett Browning,0.7683671763741069
1819,Queen Victoria,0.9066125876449052
1820,Florence Nightingale,0.8639541116870108
1830,Emily Dickinson,0.8406933209777743
1844,Sarah Bernhardt,0.7843432331545326
1858,Emmeline Pankhurst,0.7980993810344007
1867,Marie Curie,0.868925510819028
1879,Margaret Sanger,0.8394114668277122
1884,Eleanor Roosevelt,0.873549246633245
1897,Amelia Earhart,0.8783062120827891
1907,Frida Kahlo,0.8991043414072128
1910,Mother Teresa,0.9063874118072145
1926,Elizabeth II,0.947442618978537
1939,Tina Turner,0.8795260920845123
1947,Hillary Clinton,0.980952950756174
1958,Madonna (entertainer),0.9423702182998195
1961,"Diana, Princess of Wales",0.9432064561953717
1970,Mariah Carey,0.9417651776898939
1981,Beyoncé,0.9640746462066921
1992,Miley Cyrus,0.9280195597785413
