year,name,description,image_url
1003,Edward the Confessor,King of England,http://www.socialstudiesforkids.com/graphics/edwardtheconfessor-color.jpg
1015,Harald Hardrada,King of Norway,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Harald_Hardrada_window_in_Kirkwall_Cathedral_detail.jpg/240px-Harald_Hardrada_window_in_Kirkwall_Cathedral_detail.jpg
1028,William the Conqueror,King of England,https://i.guim.co.uk/img/media/c108b53db7cfa2b268a4a3b5fa6c8cf6910f4536/0_782_3339_2003/master/3339.jpg?w=300&q=55&auto=format&usm=12&fit=max&s=168c98b0c959f488ed75fd4e484feca1
1033,Anselm of Canterbury,archbishop & philosopher,https://upload.wikimedia.org/wikipedia/commons/5/59/Anselm_of_Canterbury.jpg
1044,El Cid,Castilian military leader,http://www.badassoftheweek.com/elcid.jpg
1058,Al-Ghazali,Persian theologian,http://www.durango.net.mx/biografias/uploadImagenes/200px-Algazel.jpg
1068,Henry I,King of England,https://www.wikitree.com/photo.php/1/11/King_of_England-68.jpg
1079,Peter Abelard,French theologian,http://www.greatthoughtstreasury.com/sites/default/files/wpid-abelard[1].jpeg
1084,David I,King of Scotland,https://www.britroyals.com/images/david1.jpg
1098,Hildegard of Bingen,German mystic,http://www.feministezine.com/feminist/images/HidegardvonBingen-01.jpg
1102,Empress Matilda,English throne claimant,http://nicolatallis.com/wp-content/uploads/2016/04/thumb_Empress_Mathilda.png
1114,Manuel I Komnenos,Byzantine emperor
1124,Eleanor of Aquitaine,Queen of France and England,http://nebula.wsimg.com/74a1f8e8644a74a0d0bd114b7649c26d?AccessKeyId=BDCD2A10AE82DD67CC3E&disposition=0&alloworigin=1
1137,Saladin,military leader & Sultan,https://upload.wikimedia.org/wikipedia/commons/a/ae/Portrait_of_Saladin_%28before_A.D._1185%3B_short%29.jpg
1141,Minamoto no Yoritomo,Japanese shogun
1157,Richard I,King of England,https://www.angus-donald.com/wp-content/uploads/lionheart.jpg
1162,Genghis Khan,Mongol ruler,https://upload.wikimedia.org/wikipedia/commons/3/35/YuanEmperorAlbumGenghisPortrait.jpg
1170,Fibonacci,Italian mathematician,http://www.mathstimes.com/wp-content/uploads/2014/10/leonardo-fibonacci-granger.jpg
1182,Francis of Assisi,Italian saint,http://www.paginainizio.com/frasi/fonti/francescodassisi.jpg
1195,Frederick II,Holy Roman Emperor,
1207,Rumi,Persian poet & mystic,https://images.gr-assets.com/authors/1217355543p5/875661.jpg
1215,Kublai Khan,Mongol ruler,http://cdn-ak.f.st-hatena.com/images/fotolife/t/tokdaru/20160515/20160515171151.jpg
1225,Thomas Aquinas,Italian theologian,https://media1.britannica.com/eb-media/00/131500-004-4E3E4827.jpg
1239,Edward I,King of England,https://s3.amazonaws.com/photos.geni.com/p13/3b/3b/4e/c4/53444842981a3909/edward_i_original.jpg
1241,John XXII,French pope
1254,Marco Polo,Italian explorer,http://kg-portal.ru/img/33499/33499_big.jpg
1265,Dante Alighieri,Italian poet,https://upload.wikimedia.org/wikipedia/commons/1/15/British_School_-_Dante_Alighieri.jpg
1270,William Wallace,Scottish hero,https://uagenealogies.as.ua.edu/wp-content/uploads/2015/04/portrait_sir_william.jpg
1284,Edward II,King of England,http://www.historytoday.com/sites/default/files/edwardii.jpg
1295,Isabella of France,Queen of England,https://s-media-cache-ak0.pinimg.com/736x/90/3b/76/903b76ad409319895e792fe069adec77--queen-of-england-frances-oconnor.jpg
1304,Ibn Battuta,Moroccan explorer,http://apworldhistory2012-2013.weebly.com/uploads/9/9/9/6/9996001/8331677.jpg
1312,Edward III,King of England,"http://3.bp.blogspot.com/-ndvfiR4EGdc/U6kj0nhQpeI/AAAAAAAALgM/Xjz71wqTz0o/s1600/EDWARD+III,+king+of+england.jpg"
1325,Hongwu Emperor,Ming Emperor
1336,Timur,Turkic conqueror,http://100leaders.org/sites/default/files/Tamerlane-Rijksmuseum.jpg
1343,Geoffrey Chaucer,English writer,https://www.biography.com/.image/t_share/MTE5NDg0MDU0OTIxMzgxMzkx/geoffrey-chaucer-9245691-1-402.jpg
1359,Dmitry Donskoy,Grand Prince of Moscow
1367,Richard II,King of England,https://faculty.history.wisc.edu/sommerville/123/123images/richard2.jpg
1371,Zheng He,Chinese explorer,http://4.bp.blogspot.com/-ZG5hwkwZhxk/UzPh5GrP1qI/AAAAAAAALzs/fdQokWaSTZY/w1200-h630-p-k-no-nu/zhenghe+(2).jpg
1386,Donatello,Italian sculptor
1398,Johannes Gutenberg,German printer,https://upload.wikimedia.org/wikipedia/commons/3/33/Gutenberg.jpg
1405,Gilles de Rais,French noble
1412,Joan of Arc,French hero,https://upload.wikimedia.org/wikipedia/commons/c/c3/Joan_of_Arc_miniature_graded.jpg
1421,Henry VI,King of England,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/King_Henry_VI_from_NPG_%282%29.jpg/220px-King_Henry_VI_from_NPG_%282%29.jpg
1431,Vlad the Impaler,ruler of Wallachia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Vlad_Tepes_002.jpg/220px-Vlad_Tepes_002.jpg
1445,Sandro Botticelli,Italian painter,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Sandro_Botticelli_083.jpg/1200px-Sandro_Botticelli_083.jpg
1452,Leonardo da Vinci,Italian polymath,https://www.biography.com/.image/t_share/MTIwNjA4NjMzNTM4NDQ2ODYw/leonardo-da-vinci-40396-2-raw.jpg
1469,Niccolò Machiavelli,Italian political writer,https://www.biography.com/.image/c_fill%2Ccs_srgb%2Cg_face%2Ch_300%2Cq_80%2Cw_300/MTE5NDg0MDU1MDQ5MzA3NjYz/niccolo-machiavelli-9392446-1-402.jpg
1473,Nicolaus Copernicus,Polish astronomer,https://upload.wikimedia.org/wikipedia/commons/f/f2/Nikolaus_Kopernikus.jpg
1483,Martin Luther,German religious leader,https://s3.amazonaws.com/cli-website/Lucas_Cranach_d.%C3%84._-_Martin_Luther_1528_Veste_Coburg_cropped.jpg
1491,Henry VIII,King of England,https://englishhistory.net/wp-content/uploads/2015/01/Henry-VIII.jpg
1501,Charles V,Holy Roman Emperor
1516,Mary I,Queen of England,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Mary_I_by_Master_John.jpg/220px-Mary_I_by_Master_John.jpg
1527,Philip II,King of Spain,https://weaponsandwarfare.files.wordpress.com/2017/01/philip_ii_of_spain_by_antonio_moro.jpg
1533,Elizabeth I,Queen of England,https://media1.britannica.com/eb-media/85/285-004-1108CDAD.jpg
1542,Mary,Queen of Scots,http://www.edinburghmusicaltour.co.uk/images/edinburgh/2017_05_14-14_36_34.jpg
1554,Henry IV,King of France
1564,William Shakespeare,English playwright,https://upload.wikimedia.org/wikipedia/commons/a/a2/Shakespeare.jpg
1570,Johannes Kepler,German astronomer
1588,Thomas Hobbes,English philosopher,http://yalebooksnetwork.org/yupblog/wp-content/uploads/sites/4/2013/04/hobbes.jpg
1599,René Descartes,French philosopher
1600,Charles I,King of Great Britain,http://i.telegraph.co.uk/multimedia/archive/03105/charles_portrait_3105782b.jpg
1618,Aurangzeb,Mughal Emperor,http://cdn.historydiscussion.net/wp-content/uploads/2015/07/LI_118_88-a-L.jpg
1623,Molière,French playwright
1638,Louis XIV,King of France,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNzA1MDA5Njc3/louis-xiv-9386885-2-sized.jpg
1642,Isaac Newton,English scientist,http://www.fredsakademiet.dk/library/science/_gifs/newton.jpg
1650,William III,King of Great Britain,http://static.bbc.co.uk/history/img/ic/640/images/resources/people/william_iii_of_orange.jpg
1665,Anne,Queen of Great Britain,http://www.timothylangston.com/lg/641835/studio-of-sir-godfrey-kneller-portrait-of-queen-anne.jpg
1672,Peter the Great,Russian Tsar,https://upload.wikimedia.org/wikipedia/commons/7/72/Peter_der-Grosse_1838.jpg
1685,Johann Sebastian Bach,German composer,https://upload.wikimedia.org/wikipedia/commons/6/6a/Johann_Sebastian_Bach.jpg
