year,name,description,image_url
1003,Edward the Confessor,King of England,http://www.socialstudiesforkids.com/graphics/edwardtheconfessor-color.jpg
1015,Robert II,King of France,https://www.wikitree.com/photo.php/3/37/King_of_France-40.jpg
1028,William the Conqueror,King of England,https://i.guim.co.uk/img/media/c108b53db7cfa2b268a4a3b5fa6c8cf6910f4536/0_782_3339_2003/master/3339.jpg?w=300&q=55&auto=format&usm=12&fit=max&s=168c98b0c959f488ed75fd4e484feca1
1033,Anselm of Canterbury,archbishop & philosopher,https://upload.wikimedia.org/wikipedia/commons/5/59/Anselm_of_Canterbury.jpg
1044,El Cid,Castilian military leader,http://www.badassoftheweek.com/elcid.jpg
1058,Henry IV,Holy Roman Emperor,http://i.onthisday.com/henry-iv-200.jpg
1068,Henry I,King of England,https://www.wikitree.com/photo.php/1/11/King_of_England-68.jpg
1079,Peter Abelard,French theologian,http://www.greatthoughtstreasury.com/sites/default/files/wpid-abelard[1].jpeg
1084,Louis VI,King of France,https://i.pinimg.com/originals/ee/21/68/ee2168970db3f7e30d7ec6a6075cbc64.jpg
1098,Hildegard of Bingen,German mystic,http://www.feministezine.com/feminist/images/HidegardvonBingen-01.jpg
1102,Empress Matilda,English throne claimant,http://nicolatallis.com/wp-content/uploads/2016/04/thumb_Empress_Mathilda.png
1114,Manuel I Komnenos,Byzantine emperor,https://upload.wikimedia.org/wikipedia/commons/a/af/Manuel_I_Comnenus.jpg
1124,Frederick I,Holy_Roman_Emperor,https://upload.wikimedia.org/wikipedia/commons/5/5a/Frederick_I_%28HRE%29.jpg
1137,Saladin,military leader & Sultan,https://upload.wikimedia.org/wikipedia/commons/a/ae/Portrait_of_Saladin_%28before_A.D._1185%3B_short%29.jpg
1141,Minamoto no Yorimtomo,Japanese shogun,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Minamoto_no_Yoritomo.jpg/1200px-Minamoto_no_Yoritomo.jpg
1157,Richard I,King of England,https://www.angus-donald.com/wp-content/uploads/lionheart.jpg
1162,Genghis Khan,Mongol ruler,https://upload.wikimedia.org/wikipedia/commons/3/35/YuanEmperorAlbumGenghisPortrait.jpg
1170,Fibonacci,Italian mathematician,http://www.mathstimes.com/wp-content/uploads/2014/10/leonardo-fibonacci-granger.jpg
1182,Francis of Assisi,Italian saint,http://www.paginainizio.com/frasi/fonti/francescodassisi.jpg
1195,Frederick II,Holy Roman Emperor,https://upload.wikimedia.org/wikipedia/commons/d/db/Frederick_II_and_eagle.jpg
1207,Rumi,Persian poet & mystic,https://images.gr-assets.com/authors/1217355543p5/875661.jpg
1215,Kublai Khan,Mongol ruler,http://cdn-ak.f.st-hatena.com/images/fotolife/t/tokdaru/20160515/20160515171151.jpg
1225,Thomas Aquinas,Italian theologian,https://media1.britannica.com/eb-media/00/131500-004-4E3E4827.jpg
1239,Edward I,King of England,https://s3.amazonaws.com/photos.geni.com/p13/3b/3b/4e/c4/53444842981a3909/edward_i_original.jpg
1241,John XXII,French pope,https://upload.wikimedia.org/wikipedia/commons/5/59/Papa_Ioannes_Vicesimus_Secundus.jpg
1254,Marco Polo,Italian explorer,http://kg-portal.ru/img/33499/33499_big.jpg
1265,Dante Alighieri,Italian poet,https://upload.wikimedia.org/wikipedia/commons/1/15/British_School_-_Dante_Alighieri.jpg
1270,William Wallace,Scottish hero,https://uagenealogies.as.ua.edu/wp-content/uploads/2015/04/portrait_sir_william.jpg
1284,Edward II,King of England,http://www.historytoday.com/sites/default/files/edwardii.jpg
1295,Isabella of France,Queen of England,https://s-media-cache-ak0.pinimg.com/736x/90/3b/76/903b76ad409319895e792fe069adec77--queen-of-england-frances-oconnor.jpg
1304,Petrarch,Italian scholar,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Francesco_Petrarca00.jpg/220px-Francesco_Petrarca00.jpg
1312,Edward III,King of England,"http://3.bp.blogspot.com/-ndvfiR4EGdc/U6kj0nhQpeI/AAAAAAAALgM/Xjz71wqTz0o/s1600/EDWARD+III,+king+of+england.jpg"
1325,Hongwu Emperor,Ming Emperor,http://cdn.history.com/sites/2/2015/04/list-rags-to-riches-emperor-hongwu-E.jpeg
1336,Timur,Turkic conqueror,http://100leaders.org/sites/default/files/Tamerlane-Rijksmuseum.jpg
1343,Geoffrey Chaucer,English writer,https://www.biography.com/.image/t_share/MTE5NDg0MDU0OTIxMzgxMzkx/geoffrey-chaucer-9245691-1-402.jpg
