state,link,score,description,image_url
Alabama,Jesse Owens,0.8838500731720993,athlete,http://www.jesseowens.com/photos/images/02.jpg
Alaska,Balto,0.7444949955501795,Siberian husky,http://www.baltostruestory.net/Balto4.jpg
Arizona,Barry Goldwater,0.8423676834232232,presidential candidate,https://spydersden.files.wordpress.com/2012/05/barry-goldwater.jpg
Arkansas,Johnny Cash,0.9212575940410288,singer-songwriter,https://www.thefamouspeople.com/profiles/images/johnny-cash-2.jpg
California,Steve Jobs,0.9417505280426496,entrepreneur,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Steve_Jobs_Headshot_2010-CROP.jpg/1200px-Steve_Jobs_Headshot_2010-CROP.jpg
Colorado,Terence McKenna,0.8039390846349818,ethnobotanist,http://30c1be84fhhqj3xa1lmshckme.wpengine.netdna-cdn.com/wp-content/uploads/2014/12/Hanna_jon_1999_mckenna_terence.jpg
Connecticut,Katharine Hepburn,0.8720345151197457,actor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Katharine_Hepburn_promo_pic.jpg/1200px-Katharine_Hepburn_promo_pic.jpg
Delaware,Annie Jump Cannon,0.7044042749572179,astronomer,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Annie_Jump_Cannon_1922_Portrait.jpg/1200px-Annie_Jump_Cannon_1922_Portrait.jpg
District of Columbia,Marvin Gaye,0.8708864029139461,singer-songwriter,https://www.jambase.com/wp-content/uploads/2015/04/Marvin-Gaye-Album-Cover-Crop.jpg
Florida,Jim Morrison,0.8837194367806461,singer-songwriter,https://www.biography.com/.image/t_share/MTE5NTU2MzE2MzIzMTUzNDE5/jim-morrison-9415576-1-402.jpg
Georgia,Martin Luther King Jr,0.0.9317459422596903,civil rights activist,https://www.biography.com/.image/t_share/MTE5NTU2MzE2MjgwNDg5NDgz/martin-luther-king-jr-9365086-2-402.jpg
Hawaii,Liliuokalani,0.8144189869850356,Queen of Hawaii,https://upload.wikimedia.org/wikipedia/commons/c/c5/Liliuokalani%2C_photograph_by_Prince%2C_of_Washington.jpg
Idaho,Ezra Pound,0.8377532726913848,poet,https://www.theparisreview.org/il/c9e981da63/large/Ezra-Pound-young.jpg
Illinois,Ronald Reagan,0.967670562513872,president,https://images.forbes.com/media/2010/07/21/0721_fc-ronald-reagan_400x400.jpg
Indiana,Michael Jackson,0.9818569866393216,pop singer,https://ichef.bbci.co.uk/images/ic/960x540/p01bqlx8.jpg
Iowa,John Wayne,0.8934803666281834,actor,"http://www.doctormacro.com/Images/Wayne,%20John/Annex/Annex%20-%20Wayne,%20John%20(Chisum)_02.jpg"
Kansas,Amelia Earhart,0.8783062120827891,aviator,http://www.ameliaearhart.com/wp-content/uploads/2017/06/01f_38_arve_g1928_055.jpg
Kentucky,Abraham Lincoln,0.9558113849268868,president,https://i.pinimg.com/736x/71/5f/a5/715fa5b3b1b2614540c48cd68dd5342c--colorized-historical-photos-abraham-lincoln.jpg
Louisiana,Lee Harvey Oswald,0.8900675483720336,assassin,http://www3.pictures.zimbio.com/bg/Infamous+mugshots+QpeNK_9yI7ox.jpg
Maine,Nelson Rockefeller,0.8145702881536354,vice president,https://media1.britannica.com/eb-media/90/3790-004-098413ED.jpg
Maryland,Babe Ruth,0.8947955123538258,baseball player,https://bodyheightweight.com/wp-content/uploads/2016/08/babe-ruth-height-weight-body-measurements.jpg
Massachusetts,John F. Kennedy,0.9589840674519488,president,https://www.biography.com/.image/c_fill%2Ccs_srgb%2Cg_face%2Ch_170%2Cq_80%2Cw_300/MTQ1NDY3OTIxMzExNzM3NjE3/john-f-kennedy---debating-richard-nixon.jpg
Michigan,Henry Ford,0.8692330283353646,industrialist,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Henry_ford_1919.jpg/1200px-Henry_ford_1919.jpg
Minnesota,Prince,0.922388593535375,singer-songwriter,http://img.wennermedia.com/article-leads-horizontal/gettyimages-86103158-0f8458c0-d64b-4c5d-8987-bb907391d304.jpg
Mississippi,Elvis Presley,0.9533963367598804,singer & actor,https://www.graceland.com/!userfiles/Biography/Bio3_VerticalResponsive.jpg
Missouri,Harry S. Truman,0.9182316823458401,president,http://cdn.history.com/sites/2/2013/11/Harry_Truman-AB.jpeg
Montana,Evel Knievel,0.8269441486574737,stunt performer,https://motorbikewriter.com/content/uploads/2017/02/evel-knievel-dare-devil-leather-jacket-3_1.jpg
Nebraska,Gerald Ford,0.9175932813580224,president,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Gerald_Ford_-_NARA_-_530680.tif/lossy-page1-220px-Gerald_Ford_-_NARA_-_530680.tif.jpg
Nevada,Pat Nixon,0.7832733607665631,first lady,https://upload.wikimedia.org/wikipedia/commons/b/bf/PatNixon.jpg
New Hampshire,Phineas Gage,0.8442968607773923,brain-injury survivor,http://thedollop.net/wp/wp-content/uploads/2015/12/137-1.png
New Jersey,Frank Sinatra,0.930441685788046,singer,http://assets.nydailynews.com/polopoly_fs/1.2043031.1449871161!/img/httpImage/image.jpg_gen/derivatives/gallery_1200/frank-sinatra.jpg
New Mexico,John Denver,0.8369450419627158,singer-songwriter,https://www.biography.com/.image/t_share/MTE1ODA0OTcxODM3NDU3OTMz/john-denver-9542069-1-402.jpg
New York,Franklin D. Roosevelt,0.9400823891466514,president,http://cdn.history.com/sites/2/2013/12/fdr-painting.jpg
North Carolina,Andrew Johnson³,0.877249296506083,president,http://3.bp.blogspot.com/-7LaNmTXLVAQ/VnmfhQJoBSI/AAAAAAAAs-g/PVYZrMn7Cto/s1600/Andrew%2BJohnson%252C%2Bafter%2B1866%252C%2BWashington%2BB.%2BCooper%252C%2BNPG.png
