state,link,score,description,image_url
Alabama,George Wallace,0.83784736634306,presidential candidate,https://www.democracynow.org/images/story/87/29087/full_hd/george-wallace.jpg
Alaska,Will Rogers,0.7759545732376657,actor,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Rogers-Will-LOC.jpg/220px-Rogers-Will-LOC.jpg
Arizona,Muhammad Ali,0.9403778464067029,boxer,http://static.boxrec.com/thumb/4/43/Ali_480938006.jpg/300px-Ali_480938006.jpg
Arkansas,Bill Hicks,0.8155577108243982,comedian,https://i.ytimg.com/vi/HWFhZ1oAKgo/maxresdefault.jpg
California,Michael Jackson,0.9818569866393216,pop singer,https://ichef.bbci.co.uk/images/ic/960x540/p01bqlx8.jpg
Colorado,Hunter S. Thompson,0.8500923763033149,author,https://1899281406.rsc.cdn77.org/wp/wp-content/uploads/2014/06/1216778.jpg
Connecticut,Jackie Robinson,0.8878716192030458,baseball player,http://apps.startribune.com/blogs/user_images/soozeblb_1397592319_jackie%20robinson.jpg
Delaware,Cab Calloway,,jazz singer,https://vignette.wikia.nocookie.net/mafiagame/images/d/da/Cab_Calloway.jpg
District of Columbia,Abraham Lincoln,0.9558113849268868,president,https://i.pinimg.com/736x/71/5f/a5/715fa5b3b1b2614540c48cd68dd5342c--colorized-historical-photos-abraham-lincoln.jpg
Florida,Ted Bundy,0.9131402362604052,serial killer,"https://media.newyorker.com/photos/5909711d1c7a8e33fb38ecb2/16:9/w_1200,h_630,c_limit/Beale-AnnRulesTedBundybook.jpg"
Georgia,Franklin D. Roosevelt,0.9400823891466514,president,http://cdn.history.com/sites/2/2013/12/fdr-painting.jpg
Hawaii,Ferdinand Marcos*,0.878021301479615,Filipino president,https://upload.wikimedia.org/wikipedia/commons/0/0f/Ferdinand_Marcos.JPEG
Idaho,Ernest Hemingway,0.9011893465677056,author,http://cdn.history.com/sites/2/2017/03/Hemingway-E.jpeg
Illinois,Joseph Smith,0.8897142065497682,Latter Day Saint,https://upload.wikimedia.org/wikipedia/commons/8/86/Joseph_Smith%2C_Jr._portrait_owned_by_Joseph_Smith_III.jpg
Indiana,Timothy McVeigh,0.8411147963830248,terrorist,https://vignette4.wikia.nocookie.net/criminalminds/images/6/69/Timothy_McVeigh.jpg
Iowa,Cary Grant,0.8814411253284421,actor,https://thenypost.files.wordpress.com/2016/08/carygrant.jpg
Kansas,James Naismith,0.8214072470516303,basketball inventor,http://media.graytvinc.com/images/810*968/naismith1.jpg
Kentucky,Colonel Sanders,0.8356869065343456,KFC founder,https://cdn.vox-cdn.com/uploads/chorus_asset/file/6744829/colonel-sanders.0.jpg
Louisiana,Jayne Mansfield,0.8702742852184044,actor,"https://images-na.ssl-images-amazon.com/images/M/MV5BODkyNTczMjM1OF5BMl5BanBnXkFtZTcwMjQyNzMwNA@@._V1_UY317_CR4,0,214,317_AL_.jpg"
Maine,John Ford,0.7869177507720387,film director,https://i.pinimg.com/originals/d6/b9/20/d6b920ff1bbe99f08d749439813bc044.jpg
Maryland,Edgar Allan Poe,0.8822768263092395,writer,https://upload.wikimedia.org/wikipedia/commons/b/b1/Edgar_Allan_Poe_portrait.jpg
Massachusetts,John Adams,0.8978999497939675,president,https://pastnow.files.wordpress.com/2013/12/joh.png
Michigan,Harry Houdini,0.8781741844116137,stunt performer,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/HarryHoudini1899.jpg/220px-HarryHoudini1899.jpg
Minnesota,Prince,0.922388593535375,musician,http://img.wennermedia.com/article-leads-horizontal/gettyimages-86103158-0f8458c0-d64b-4c5d-8987-bb907391d304.jpg
Mississippi,Robert Johnson,0.8238507196018847,blues singer,https://i1.wp.com/rolfpotts.com/wp-content/uploads/2016/11/robertjohnson.png
Missouri,Harry S. Truman,0.9182316823458401,president,http://cdn.history.com/sites/2/2013/11/Harry_Truman-AB.jpeg
Montana,George Armstrong Custer,0.8400368159177108,military officer,http://www.americancivilwarstory.com/images/Custer_Portrait.jpg
Nebraska,Crazy Horse,0.8171637238642062,Lakota leader,https://media.licdn.com/mpr/mpr/AAEAAQAAAAAAAAlFAAAAJDI1NjQ3Y2EyLTZjMTQtNGQ1My05N2M5LTI0ZGFjMzViYjY1OQ.jpg
Nevada,Tupac Shakur,0.9326959397190828,rapper,http://www.hdwallpaper.nu/wp-content/uploads/2015/06/img_flipped_2pac_tupac_shakur_marijuan.jpg
New Hampshire,Franklin Pierce,0.8434266885184875,president,http://jenschoeller.us/webi1711/final/images/presidents/Franklin-Pierce.jpg
New Jersey,Albert Einstein,0.9491396945832281,physicist,https://vignette2.wikia.nocookie.net/epicrapbattlesofhistory/images/4/4d/Albert_Einstein_Based_On.png
New Mexico,Billy the Kid,0.8745028714687563,gunfighter,http://www.aboutbillythekid.com/Billy_teen%20outlaw%20face_edited.jpg
New York,Alexander Hamilton,0.9381669499216309,founding father,https://upload.wikimedia.org/wikipedia/commons/0/05/Alexander_Hamilton_portrait_by_John_Trumbull_1806.jpg
North Carolina,Maya Angelou,0.8621097550259885,author,http://www.chicagonow.com/ndigo-chit-chat-all-that/files/2014/06/master-class-maya-angelou-2-600x411.jpg
North Dakota,Peggy Lee,0.7456200834609068,singer,http://cps-static.rovicorp.com/3/JPG_400/MI0003/420/MI0003420913.jpg
Ohio,Neil Armstrong,0.8868077069665848,astronaut,https://upload.wikimedia.org/wikipedia/commons/7/72/Neil_Armstrong_in_suit.jpg
Oklahoma,Geronimo,0.8298586688376629,Apache leader,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/GeronimoRinehart.jpg/220px-GeronimoRinehart.jpg
Oregon,Steve Prefontaine,0.7854654347685857,athlete,https://i.pinimg.com/736x/c2/ef/9e/c2ef9e3692089c30b4499404ccc23147--xc-running-steve-prefontaine.jpg
Pennsylvania,Benjamin Franklin,0.9109658647735503,founding father & scientist,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNjMyNzg5MDA1/benjamin-franklin-9301234-2-402.jpg
Puerto Rico,Roberto Clemente,0.8338979423474734,baseball player,http://a.espncdn.com/photo/2014/0505/mlb_break_05.jpg
Rhode Island,H. P. Lovecraft,0.8691978061246233,author,https://upload.wikimedia.org/wikipedia/commons/1/10/H._P._Lovecraft%2C_June_1934.jpg
South Carolina,Strom Thurmond,0.8184802649473045,senator,https://upload.wikimedia.org/wikipedia/commons/4/43/Strom_Thurmond.jpg
South Dakota,George McGovern,0.8176775263520872,presidential candidate,http://bilerico.lgbtqnation.com/images/George-McGovern-portrait.jpeg
Tennessee,Elvis Presley,0.9533963367598804,singer & actor,https://www.graceland.com/!userfiles/Biography/Bio3_VerticalResponsive.jpg
Texas,John F. Kennedy,0.9589840674519488,president,https://www.biography.com/.image/c_fill%2Ccs_srgb%2Cg_face%2Ch_170%2Cq_80%2Cw_300/MTQ1NDY3OTIxMzExNzM3NjE3/john-f-kennedy---debating-richard-nixon.jpg
