country_s,name_s,url_s,year_i
uk,Margaret Thatcher,http://www.abc.net.au/news/image/3980674-3x4-700x933.jpg,1979
pt,Maria de Lourdes Pintasilgo,https://upload.wikimedia.org/wikipedia/commons/0/0b/Maria_de_Lourdes_Pintasilgo_%281986%29_%28cropped%29.jpg,1979
is,Vigdís Finnbogadóttir,https://upload.wikimedia.org/wikipedia/commons/a/ae/Vigdis_Finnbogadottir_%281985%29.jpg,1980
no,Gro Harlem Brundtland,http://webcom.colostate.edu/international-initiatives/files/2016/02/GroBrundtland-200x300.jpg,1981
mt,Agatha Barbara,http://www.m3p.com.mt/media/wiki/thumb/1/15/Agathabarbara.jpg/250px-Agathabarbara.jpg,1982
yu,Milka Planinc,https://upload.wikimedia.org/wikipedia/en/2/28/MilkaPlaninc.jpg,1982
lt,Kazimira Prunskienė,https://upload.wikimedia.org/wikipedia/commons/5/5d/K._Prunskiene.jpg,1990
ie,Mary Robinson,http://www.independent.ie/lifestyle/article29417088.ece/ALTERNATES/h342/REV_20130713_AFE_002_28237096_I4.JPG,1990
fr,Édith Cresson,https://www.cvce.eu/content/publication/2008/1/30/a171215c-0bd0-4e25-a02c-042665567d27/publishable.jpg,1991
pl,Hanna Suchocka,https://upload.wikimedia.org/wikipedia/commons/b/ba/Hanna_Suchocka%2C_Prime_Minister_of_Poland_1992-1993.jpg,1992
tk,Tansu Çiller,https://charlie-p-2ac84d7056ca7f9d.s3.amazonaws.com/clips/thumbnails/000/023/208/feat_full/1HY610_005_lt.jpg?1453982469,1993
ie,Mary McAleese,https://upload.wikimedia.org/wikipedia/commons/6/62/Mary_McAleese.jpg,1997
lv,Vaira Vīķe-Freiberga,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Ministru_prezidenta_tik%C5%A1an%C4%81s_ar_eksprezidenti_%284108711953%29.jpg/1200px-Ministru_prezidenta_tik%C5%A1an%C4%81s_ar_eksprezidenti_%284108711953%29.jpg,1999
fi,Tarja Halonen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Tarja_Halonen_1c389_8827-2.jpg/1200px-Tarja_Halonen_1c389_8827-2.jpg,2000
