color,name
255|255|255,Sea
230|230|230,Language Borders
194|194|194,Country Borders
102|51|51,Portuguese
255|204|204,Icelandic
72|102|51,Amazigh
204|102|102,Spanish
204|153|153,Irish
255|182|153,Scottish
255|153|153,English
94|140|60,Tamazight
255|102|102,French
90|58|58,Faroese
126|88|88,Jèrriais
126|88|89,Guernésiais
255|255|102,Catalan
204|51|51,Dutch
255|51|51,Luxembourgish
255|51|0,Norwegian
51|0|0,German
204|0|0,Italian
153|153|51,Monégasque
119|189|67,Arabic
255|0|0,Danish
255|102|51,Swedish
204|102|0,Czech
255|255|51,Latin
204|153|51,Slovene
204|102|51,Polish
0|153|0,Maltese
204|51|0,Finnish
255|204|102,Hungarian
255|153|0,Slovak
255|153|102,Russian
255|102|0,Latvian
153|51|0,Lithuanian
204|153|0,Serbo-Croatian
255|204|153,Estonian
153|153|102,Albanian
102|51|0,Romanian
255|255|153,Greek
204|153|102,Belarusian
153|102|51,Ukrainian
255|255|204,Macedonian
204|204|153,Bulgarian
255|153|51,Moldovan
102|102|51,Turkish
107|130|186,Welsh
63|87|145,Galician
33|45|75,Basque
129|146|186,Breton
