bbox,color
98|148|205|203,255|204|204
748|293|854|344,204|51|0
248|297|332|338,90|58|58
480|368|587|424,255|51|0
763|413|885|448,255|204|153
974|416|1148|493,255|153|102
242|455|329|495,255|182|153
579|464|693|518,255|102|51
787|474|888|513,255|102|0
1365|506|1576|589,51|119|153
494|525|601|576,255|0|0
763|533|869|572,153|51|0
862|577|975|634,204|153|102
158|593|244|634,204|153|153
692|627|806|695,204|102|51
298|635|386|700,255|153|153
238|643|296|675,107|130|186
510|646|630|723,51|0|0
400|657|501|721,204|51|51
940|671|1103|750,153|102|51
623|735|726|786,204|102|0
439|754|509|776,255|51|51
728|760|828|802,255|153|0
215|767|275|819,129|146|186
313|809|474|927,255|102|102
1294|817|1426|863,102|170|204
1441|817|1567|863,153|221|255
722|820|822|869,255|204|102
841|832|972|898,102|51|0
1367|864|1498|911,0|170|255
636|871|692|904,204|153|51
703|902|815|965,204|153|0
1425|914|1576|971,102|0|102
79|921|157|974,63|87|145
205|942|292|992,33|45|75
885|943|974|984,204|204|153
454|950|532|983,153|153|51
562|966|668|1012,204|0|0
306|995|400|1043,255|255|102
822|1005|896|1035,255|255|204
1076|1009|1222|1082,102|102|51
585|1016|658|1038,255|255|51
135|1023|270|1101,204|102|102
782|1038|852|1068,153|153|102
30|1044|125|1093,102|51|51
820|1075|924|1110,255|255|153
1335|1095|1526|1184,119|189|67
1224|1197|1343|1243,102|51|102
327|1199|466|1244,94|140|60
76|1207|186|1244,72|102|51
653|1214|718|1244,0|153|0
