bbox,color
98|147|205|202,255|204|204
748|292|854|343,204|51|0
480|367|587|423,255|51|0
763|412|885|447,255|204|153
974|415|1148|492,255|153|102
242|454|329|494,255|182|153
579|463|693|517,255|102|51
787|473|888|512,255|102|0
494|524|601|575,255|0|0
763|532|869|571,153|51|0
862|576|975|633,204|153|102
158|592|244|633,204|153|153
692|626|806|694,204|102|51
298|634|386|699,255|153|153
238|642|296|674,107|130|186
510|645|630|722,51|0|0
400|656|501|720,204|51|51
940|670|1103|749,153|102|51
623|734|726|785,204|102|0
439|753|509|775,255|51|51
728|759|828|801,255|153|0
215|766|275|818,129|146|186
313|808|474|926,255|102|102
722|819|822|868,255|204|102
841|831|972|897,102|51|0
636|870|692|903,204|153|51
703|901|815|964,204|153|0
79|920|157|973,63|87|145
205|941|292|991,33|45|75
885|942|974|983,204|204|153
454|949|532|982,153|153|51
562|965|668|1011,204|0|0
306|994|400|1042,255|255|102
822|1004|896|1034,255|255|204
1076|1008|1222|1081,102|102|51
585|1015|658|1037,255|255|51
135|1022|270|1100,204|102|102
782|1037|852|1067,153|153|102
30|1043|125|1092,102|51|51
820|1074|924|1109,255|255|153
653|1213|718|1244,0|153|0
