color_ai,name_s
255|255|255,sea
102|51|51,portugal
255|204|204,iceland
72|102|51,morocco
204|102|102,spain
0|102|0,gibraltar
204|153|153,ireland
255|153|153,uk
94|140|60,algeria
255|102|102,france
90|58|58,faroe islands
126|88|88,channel islands
255|255|102,andorra
153|51|51,belgium
204|51|51,netherlands
102|0|0,switzerland
255|51|51,luxembourg
255|51|0,norway
51|0|0,germany
204|0|0,italy
153|153|51,monaco
119|189|67,tunisia
255|0|0,denmark
255|102|51,sweden
51|51|0,liechtenstein
153|0|0,austria
204|102|0,czech republic
204|204|51,san marino
255|255|51,vatican
204|153|51,slovenia
204|102|51,poland
153|102|0,croatia
0|153|0,malta
204|51|0,finland
255|204|51,bosnia
255|204|102,hungary
255|153|0,slovakia
255|153|102,russia
255|102|0,latvia
153|51|0,lithuania
204|153|0,serbia
255|204|153,estonia
255|204|0,montenegro
153|153|102,albania
102|51|0,romania
255|255|153,greece
204|153|102,belarus
153|102|51,ukraine
255|255|204,macedonia
204|204|153,bulgaria
255|153|51,moldova
102|102|51,turkey
204|204|102,cyprus
