color_ai,name_s
255|255|255,sea
102|51|51,color1
255|204|204,color2
72|102|51,color3
204|102|102,color4
0|102|0,color5
204|153|153,color6
255|153|153,color7
94|140|60,color8
255|102|102,color9
90|58|58,color10
126|88|88,color11
255|255|102,color12
153|51|51,color13
204|51|51,color14
102|0|0,color15
255|51|51,color16
255|51|0,color17
51|0|0,color18
204|204|204,color19
204|0|0,color20
153|153|51,color21
119|189|67,color22
255|0|0,color23
255|102|51,color24
51|51|0,color25
153|0|0,color26
204|102|0,color27
204|204|51,color28
255|255|51,color29
204|153|51,color30
204|102|51,color31
153|102|0,color32
0|153|0,color33
204|51|0,color34
255|204|51,color35
255|204|102,color36
255|153|0,color37
255|153|102,color38
255|102|0,color39
153|51|0,color40
204|153|0,color41
255|204|153,color42
255|204|0,color43
153|153|102,color44
102|51|0,color45
255|255|153,color46
204|153|102,color47
153|102|51,color48
255|255|204,color49
204|204|153,color50
51|204|51,color51
255|153|51,color52
102|102|51,color53
51|153|255,color54
204|204|102,color55
153|153|153,color56
