bbox,color
98|147|205|202,255|204|204
236|290|334|339,90|58|58
748|292|854|343,204|51|0
480|367|587|423,255|51|0
777|413|869|446,255|204|153
974|415|1148|492,255|153|102
579|463|693|517,255|102|51
787|473|888|512,255|102|0
1363|506|1572|589,51|119|153
494|524|601|575,255|0|0
763|532|869|571,153|51|0
862|576|975|633,204|153|102
158|592|244|633,204|153|153
692|626|806|694,204|102|51
286|634|369|699,255|153|153
510|649|624|721,51|0|0
413|657|501|698,204|51|51
940|670|1103|749,153|102|51
396|709|492|752,153|51|51
623|734|726|785,204|102|0
448|753|499|775,255|51|51
728|759|828|801,255|153|0
935|773|1021|818,255|153|51
614|803|718|856,153|0|0
313|808|456|926,255|102|102
1292|817|1424|863,102|170|204
1439|817|1565|863,153|221|255
722|819|822|868,255|204|102
841|831|972|897,102|51|0
471|837|563|889,102|0|0
1365|864|1496|911,0|170|255
636|870|692|903,204|153|51
693|877|773|914,153|102|0
782|914|863|957,204|153|0
1423|914|1572|971,102|0|102
696|918|781|952,255|204|51
885|942|974|983,204|204|153
453|949|531|982,153|153|51
562|965|667|1011,204|0|0
811|971|852|998,204|153|16
767|973|806|997,255|204|0
822|1004|896|1034,255|255|204
1076|1008|1222|1081,102|102|51
584|1015|657|1037,255|255|51
135|1022|270|1100,204|102|102
782|1037|852|1067,153|153|102
30|1043|125|1092,102|51|51
1267|1064|1404|1119,204|0|204
820|1074|924|1109,255|255|153
1411|1100|1572|1165,255|102|255
1178|1142|1235|1172,204|204|102
1253|1147|1317|1176,204|102|204
1315|1183|1389|1218,255|153|255
1249|1191|1314|1218,102|51|102
325|1199|464|1244,94|140|60
1398|1199|1538|1244,255|0|255
492|1205|590|1243,119|189|67
74|1207|184|1244,72|102|51
653|1213|718|1244,0|153|0
1249|1220|1314|1242,204|153|204
