bbox,color
761|457|894|535,255|102|0
473|588|662|844,51|0|0
471|6|803|481,255|51|0
215|1197|517|1244,94|140|60
82|39|1218|1244,230|230|230
698|908|791|995,255|204|51
826|506|1005|672,204|153|102
604|719|748|800,204|102|0
806|990|1063|1223,255|255|153
231|714|547|1045,255|102|102
85|917|409|1231,204|102|102
0|0|1235|1244,255|255|255
127|1185|128|1186,0|102|0
72|100|217|219,255|204|204
1188|1132|1233|1174,204|204|102
420|640|500|727,204|51|51
693|42|887|403,204|51|0
795|991|843|1085,153|153|102
464|832|568|893,102|0|0
577|96|756|573,255|102|51
765|513|876|596,153|51|0
74|1196|211|1244,72|102|51
679|1230|689|1236,0|153|0
812|965|851|1002,204|153|16
489|963|494|966,153|153|51
283|751|283|751,126|88|89
467|752|479|771,255|51|51
546|850|549|853,51|51|0
970|911|1235|1150,102|102|51
770|963|811|1012,255|204|0
767|869|877|989,204|153|0
480|855|781|1207,204|0|0
207|383|387|724,255|153|153
642|584|855|766,204|102|51
933|761|1018|851,255|153|51
828|598|1215|859,153|102|51
705|786|846|887,255|204|102
512|1190|588|1244,119|189|67
292|761|292|762,126|88|88
712|756|831|820,255|153|0
861|906|1012|1017,204|204|153
42|969|146|1139,102|51|51
549|787|716|873,153|0|0
828|989|887|1042,255|255|204
640|857|706|905,204|153|51
401|704|477|768,153|51|51
616|953|619|956,204|204|51
344|994|347|997,255|255|102
142|540|236|656,204|153|153
522|496|653|598,255|0|0
748|0|1235|817,255|153|102
644|868|781|993,153|102|0
769|398|872|466,255|204|153
620|1025|623|1028,255|255|51
281|311|293|337,90|58|58
800|772|1022|934,102|51|0
