,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
  [16.3%],t [14.2%],a [12.0%],o [7.1%],s [6.7%],i [6.4%],c [5.6%],w [5.3%],b [4.5%],p [4.3%],f [4.2%],m [3.8%],h [3.7%],r [3.2%],d [3.0%],  [2.7%],e [2.6%],l [2.5%],n [2.2%],g [1.7%],u [1.4%],v [0.9%],j [0.7%],k [0.6%],y [0.4%],q [0.2%],z [0.1%],x [0.1%]
e [10.1%],  [30.5%],r [14.1%],n [8.7%],d [8.7%],s [8.5%],a [4.7%],l [3.6%],c [3.0%],t [2.9%],m [2.3%],e [2.1%],v [1.6%],i [1.2%],p [1.1%],x [1.1%],g [1.0%],f [0.9%],w [0.9%],y [0.8%],o [0.6%],b [0.4%],h [0.3%],u [0.3%],q [0.3%],k [0.2%],z [0.1%],j [0.0%]
a [7.2%],n [19.1%],t [12.5%],r [11.4%],l [10.8%],s [9.4%],  [8.1%],c [3.9%],m [3.8%],d [3.5%],i [3.1%],g [2.2%],y [1.9%],p [1.7%],b [1.7%],v [1.6%],u [1.3%],k [0.9%],f [0.9%],w [0.6%],h [0.3%],e [0.3%],z [0.2%],j [0.2%],x [0.2%],a [0.1%],o [0.1%],q [0.1%]
t [7.2%],h [29.7%],  [16.0%],e [12.1%],i [11.1%],o [9.1%],a [5.2%],r [4.1%],s [3.2%],u [2.2%],y [2.2%],t [1.7%],l [1.1%],w [0.9%],c [0.3%],m [0.2%],b [0.1%],n [0.1%],f [0.1%],v [0.1%],z [0.1%],p [0.1%],d [0.1%],g [0.0%],k [0.0%],j [0.0%],x [0.0%],q [0.0%]
i [6.3%],n [26.3%],s [11.7%],t [11.2%],o [7.8%],c [7.8%],l [5.1%],e [4.1%],a [4.0%],r [3.5%],v [3.1%],m [2.9%],d [2.8%],g [2.7%],f [1.5%],  [1.2%],p [1.1%],b [0.9%],z [0.7%],k [0.5%],u [0.3%],x [0.3%],i [0.3%],q [0.1%],j [0.0%],h [0.0%],w [0.0%],y [0.0%]
n [6.2%],  [26.1%],d [14.0%],t [10.7%],g [10.4%],e [7.6%],s [5.6%],a [5.0%],i [4.7%],c [4.3%],o [4.1%],n [1.2%],u [1.1%],y [1.0%],f [0.7%],l [0.7%],k [0.5%],v [0.5%],m [0.4%],b [0.3%],h [0.3%],r [0.2%],w [0.1%],j [0.1%],p [0.1%],z [0.1%],q [0.0%],x [0.0%]
o [6.1%],n [18.6%],r [14.2%],f [11.4%],  [10.2%],u [7.4%],m [6.0%],l [4.6%],t [3.9%],w [3.5%],s [3.1%],p [2.7%],v [2.2%],o [2.1%],d [2.0%],c [2.0%],g [1.2%],b [0.9%],i [0.9%],a [0.8%],k [0.7%],y [0.4%],e [0.4%],h [0.4%],x [0.3%],j [0.1%],z [0.1%],q [0.0%]
s [5.6%],  [39.2%],t [14.4%],e [10.3%],i [7.3%],o [5.1%],s [4.2%],h [4.1%],u [3.3%],a [2.6%],p [2.4%],c [2.1%],m [0.9%],l [0.9%],y [0.7%],k [0.5%],w [0.4%],b [0.3%],f [0.3%],n [0.2%],r [0.2%],d [0.2%],q [0.1%],g [0.1%],v [0.1%],j [0.0%],z [0.0%],x [0.0%]
r [5.5%],e [20.5%],  [17.1%],i [10.2%],o [9.6%],a [9.3%],s [5.6%],t [5.1%],y [3.0%],d [2.6%],n [2.4%],m [2.3%],c [1.7%],u [1.7%],r [1.7%],g [1.5%],l [1.5%],k [1.4%],v [0.9%],p [0.6%],b [0.5%],f [0.5%],h [0.2%],w [0.2%],z [0.0%],q [0.0%],j [0.0%],x [0.0%]
h [4.0%],e [48.0%],  [12.1%],a [12.1%],i [11.9%],o [8.0%],t [1.8%],r [1.5%],u [1.4%],y [0.7%],n [0.6%],s [0.4%],l [0.3%],m [0.3%],w [0.2%],b [0.1%],d [0.1%],c [0.1%],f [0.1%],p [0.1%],h [0.0%],k [0.0%],v [0.0%],g [0.0%],q [0.0%],z [0.0%],j [0.0%],x [0.0%]
l [3.6%],e [16.0%],  [15.1%],i [12.5%],a [12.4%],l [10.9%],o [7.5%],y [7.5%],d [4.3%],s [3.5%],u [2.7%],t [2.6%],m [0.9%],f [0.8%],v [0.6%],b [0.6%],p [0.4%],k [0.4%],c [0.3%],w [0.2%],g [0.2%],r [0.2%],h [0.1%],n [0.1%],j [0.0%],z [0.0%],q [0.0%],x [0.0%]
d [3.2%],  [51.1%],e [16.4%],i [10.1%],a [4.3%],o [3.5%],u [3.5%],s [2.9%],r [1.9%],d [1.0%],y [0.8%],l [0.6%],g [0.6%],t [0.6%],m [0.4%],v [0.4%],w [0.4%],h [0.3%],c [0.3%],n [0.2%],b [0.2%],f [0.2%],p [0.1%],j [0.1%],q [0.0%],k [0.0%],z [0.0%],x [0.0%]
c [2.9%],o [18.5%],h [14.5%],e [14.0%],a [13.8%],t [9.1%],i [6.7%],  [4.4%],l [4.1%],r [3.8%],k [3.4%],u [3.2%],c [1.9%],s [0.9%],y [0.9%],d [0.1%],q [0.1%],m [0.1%],b [0.1%],p [0.1%],n [0.1%],z [0.1%],f [0.0%],g [0.0%],w [0.0%],v [0.0%],j [0.0%],x [0.0%]
u [2.2%],s [14.5%],n [14.3%],r [14.2%],t [9.9%],l [8.1%],c [5.2%],m [4.7%],e [4.5%],a [4.5%],g [3.8%],p [3.7%],d [3.3%],i [3.1%],b [2.9%],  [1.2%],k [0.5%],f [0.5%],o [0.3%],x [0.2%],v [0.1%],y [0.1%],z [0.1%],h [0.1%],j [0.1%],u [0.0%],w [0.0%],q [0.0%]
m [2.2%],e [23.3%],a [19.4%],  [12.7%],o [10.6%],i [10.5%],p [6.9%],b [3.9%],u [3.5%],m [3.3%],s [2.7%],y [1.1%],t [0.4%],c [0.3%],n [0.3%],d [0.2%],l [0.2%],r [0.2%],h [0.1%],f [0.1%],w [0.1%],g [0.1%],k [0.0%],v [0.0%],j [0.0%],x [0.0%],z [0.0%],q [0.0%]
f [1.9%],  [36.8%],o [17.1%],i [10.5%],r [8.0%],e [7.5%],a [5.5%],f [4.3%],t [3.9%],u [2.7%],l [2.5%],s [0.3%],y [0.2%],c [0.2%],m [0.1%],g [0.1%],d [0.1%],b [0.1%],p [0.0%],h [0.0%],w [0.0%],n [0.0%],j [0.0%],k [0.0%],x [0.0%],v [0.0%],z [0.0%],q [0.0%]
p [1.8%],e [16.4%],r [15.4%],o [13.3%],a [13.1%],l [9.2%],  [5.7%],i [5.6%],u [4.7%],p [4.7%],h [3.9%],t [3.6%],s [2.2%],m [0.7%],y [0.4%],k [0.2%],c [0.2%],d [0.1%],n [0.1%],g [0.1%],b [0.1%],f [0.1%],w [0.1%],v [0.0%],j [0.0%],z [0.0%],x [0.0%],q [0.0%]
g [1.6%],  [29.3%],e [17.3%],h [8.6%],a [8.0%],r [7.9%],i [6.7%],o [4.8%],u [4.5%],n [3.0%],l [2.8%],s [2.3%],y [1.2%],t [1.0%],g [0.9%],d [0.5%],m [0.4%],b [0.2%],w [0.2%],f [0.1%],p [0.1%],c [0.1%],k [0.0%],j [0.0%],z [0.0%],v [0.0%],x [0.0%],q [0.0%]
w [1.4%],a [23.1%],i [17.4%],e [16.2%],h [13.9%],o [9.8%],  [8.4%],n [5.2%],s [2.0%],r [1.7%],l [0.6%],t [0.4%],y [0.2%],d [0.2%],w [0.1%],b [0.1%],k [0.1%],c [0.1%],f [0.1%],m [0.1%],u [0.1%],p [0.1%],g [0.0%],v [0.0%],j [0.0%],z [0.0%],x [0.0%],q [0.0%]
y [1.3%],  [69.8%],e [5.4%],s [5.2%],o [3.1%],a [2.2%],t [1.9%],i [1.9%],p [1.6%],l [1.5%],m [1.3%],n [1.2%],c [0.9%],r [0.7%],d [0.7%],b [0.5%],w [0.4%],h [0.4%],u [0.4%],f [0.3%],g [0.2%],z [0.1%],k [0.1%],v [0.1%],j [0.1%],y [0.0%],x [0.0%],q [0.0%]
b [1.3%],e [26.7%],a [11.4%],o [10.7%],y [10.3%],l [9.8%],u [9.4%],r [7.4%],i [6.1%],s [2.8%],  [1.7%],b [1.0%],j [0.6%],c [0.6%],t [0.4%],m [0.3%],n [0.2%],d [0.2%],h [0.1%],v [0.1%],f [0.1%],w [0.1%],p [0.1%],g [0.0%],k [0.0%],z [0.0%],x [0.0%],q [0.0%]
v [0.9%],e [56.6%],i [23.1%],a [11.0%],o [5.5%],  [1.7%],y [0.7%],s [0.3%],u [0.2%],d [0.2%],r [0.2%],l [0.1%],t [0.1%],c [0.1%],n [0.1%],p [0.0%],g [0.0%],h [0.0%],m [0.0%],f [0.0%],b [0.0%],v [0.0%],k [0.0%],w [0.0%],x [0.0%],j [0.0%],z [0.0%],q [0.0%]
k [0.5%],  [25.8%],e [24.9%],i [14.8%],s [7.6%],a [5.8%],n [5.6%],o [3.1%],l [2.1%],y [1.5%],h [1.4%],u [1.4%],r [1.1%],t [1.1%],m [1.0%],w [0.5%],b [0.3%],g [0.3%],k [0.3%],f [0.3%],p [0.3%],d [0.2%],c [0.2%],v [0.1%],j [0.1%],x [0.0%],z [0.0%],q [0.0%]
x [0.2%],  [17.4%],p [16.9%],t [15.8%],i [14.6%],a [10.5%],e [7.1%],c [6.4%],u [1.8%],o [1.8%],h [1.5%],y [1.2%],f [1.2%],m [0.6%],s [0.6%],x [0.5%],l [0.4%],b [0.4%],v [0.3%],r [0.3%],w [0.2%],n [0.1%],d [0.1%],g [0.1%],j [0.1%],k [0.0%],q [0.0%],z [0.0%]
j [0.2%],o [28.5%],u [21.7%],a [21.0%],e [19.8%],i [3.7%],  [2.3%],r [0.8%],p [0.3%],s [0.3%],k [0.2%],d [0.2%],n [0.2%],t [0.1%],c [0.1%],m [0.1%],h [0.1%],j [0.1%],l [0.1%],f [0.1%],b [0.1%],v [0.1%],y [0.1%],g [0.0%],w [0.0%],z [0.0%],x [0.0%],q [0.0%]
z [0.1%],e [35.1%],a [18.3%],i [13.5%],  [9.7%],o [7.4%],z [3.4%],u [2.4%],h [1.9%],y [1.6%],l [1.0%],s [0.7%],t [0.7%],b [0.5%],m [0.5%],n [0.5%],k [0.4%],d [0.3%],w [0.3%],r [0.3%],g [0.3%],c [0.3%],v [0.2%],f [0.2%],p [0.2%],q [0.1%],x [0.1%],j [0.0%]
q [0.1%],u [92.5%],  [2.8%],i [1.6%],a [1.1%],s [0.3%],t [0.3%],l [0.2%],r [0.2%],o [0.1%],b [0.1%],e [0.1%],n [0.1%],c [0.1%],q [0.1%],v [0.1%],f [0.1%],h [0.1%],m [0.1%],p [0.1%],w [0.0%],d [0.0%],x [0.0%],g [0.0%],z [0.0%],j [0.0%],k [0.0%],y [0.0%]
