label,image,align
Elizabeth I,https://englishhistory.net/wp-content/uploads/2015/01/queen-elizabeth-1.jpg,0
Elizabeth II,https://hedonprimaryschool.co.uk/wp-content/uploads/2016/06/queen-elizabeth-ii-3.jpg,0.1
Elizabeth III,https://vignette.wikia.nocookie.net/honorverse/images/a/a5/ElizabethIII.png/revision/latest?cb=20120218101634
Elizabeth de Burgh,https://collectionimages.npg.org.uk/large/mw35598/Elizabeth-de-Clare-Lady-de-Burgh.jpg,0.1
Elizabeth Woodville,http://www.amazingwomeninhistory.com/wp-content/uploads/2014/01/ElizabethWoodville.jpg,0.25
Elizabeth of York,https://upload.wikimedia.org/wikipedia/commons/2/22/Elizabeth_of_York_from_Kings_and_Queens_of_England.jpg,0.35
Elizabeth Bowes-Lyon,https://upload.wikimedia.org/wikipedia/commons/2/2d/Queen_Elizabeth_the_Queen_Mother_portrait.jpg,0.3
Elisabeth of Bavaria,http://www.gogmsite.net/_Media/1865-empress-elisabeth-of_med.jpeg,0.3
Elizabeth of Aragon,https://www.franciscanmedia.org/wp-content/uploads/2016/07/SOD-0704-SaintElizabethofPortugal-790x480.jpg
Elisabeth of Valois,https://upload.wikimedia.org/wikipedia/commons/e/e2/Isabel_de_Valois2..jpg,0.2
Elisabeth Farnese,https://upload.wikimedia.org/wikipedia/commons/1/11/Isabel_de_Farnesio.jpg,0.23
Elisabeth of France,https://upload.wikimedia.org/wikipedia/commons/6/63/Rodrigo_de_Villandrando_-_Isabel_of_France_-_WGA25100.jpg,0.1
Elizabeth of Poland,https://upload.wikimedia.org/wikipedia/commons/4/4a/El%C5%BCbieta_%C5%81okietk%C3%B3wna_z_dzie%C4%87mi.JPG
Elizabeth of Bosnia,https://img-9gag-fun.9cache.com/photo/avOpvEE_700b.jpg,0.1
Elizabeth of Luxembourg,https://media.gettyimages.com/photos/elizabeth-of-luxembourg-queen-of-bohemia-1828-found-in-the-collection-picture-id600030987,0.1
Elizabeth of Belgium,https://upload.wikimedia.org/wikipedia/commons/1/13/Elisabeth_of_Belgium.jpg,0.05
Isabella I,http://www.ancient-origins.net/sites/default/files/field/image/Queen-Isabella-I-of-Castile.jpg
Isabella II,https://upload.wikimedia.org/wikipedia/commons/3/35/Isabel_de_Borb%C3%B3n_y_Borb%C3%B3n-Dos_Sicilias.jpg
