group,image
F,https://i.colnect.net/b/19597/912/Link.jpg
F,https://i.colnect.net/b/19597/913/Pac-Man.jpg
F,https://i.colnect.net/b/19597/915/Prince-of-Persia.jpg
F,https://i.colnect.net/b/19597/917/Spyro.jpg
F,https://i.colnect.net/b/19597/918/Donkey-Kong.jpg
F,https://i.colnect.net/b/19597/906/Mario.jpg
F,https://i.colnect.net/b/19597/919/Adibou.jpg
F,https://i.colnect.net/b/19597/920/Rayman.jpg
F,https://i.colnect.net/b/19597/922/Lara-Croft.jpg
F,https://i.colnect.net/b/19597/909/The-Sims.jpg
I,https://i.colnect.net/b/2461/500/Computer-Icons.jpg
U,https://i.colnect.net/b/6643/054/Elite-Worms.jpg
U,https://i.colnect.net/b/6643/057/Sensible-Soccer-Lemmings.jpg
U,https://i.colnect.net/b/6643/060/Wipeout-Micro-Machines.jpg
U,https://i.colnect.net/b/6643/064/Dizzy-Populous.jpg
